generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
33000,Epidendrum_centropetalum,Epidendrum_magnoliae,1.84554,5.97911,-0.197589,2.55561,0
34000,Cattleya_hoehnei,Epidendrum_centropetalum,0,0.653272,-0.0151619,0.0374006,0
34000,Epidendrum_centropetalum,Epidendrum_magnoliae,1.67143,6.55904,-0.201008,2.37495,0
35000,Cattleya_hoehnei,Epidendrum_centropetalum,0,0.493374,0.0349,0.000539837,0
35000,Cattleya_lueddemanniana,NA,6.67889,2.15462,-0.0145996,11.3391,0
35000,Epidendrum_centropetalum,Epidendrum_magnoliae,1.44281,7.10694,-0.230935,2.44892,0
36000,Cattleya_hoehnei,Epidendrum_centropetalum,0,0.646222,0.0341599,0.0881487,0
36000,Epidendrum_centropetalum,Epidendrum_magnoliae,1.95669,3.7029,-0.279738,0.175449,0
37000,Cattleya_hoehnei,Epidendrum_centropetalum,0,0.398097,0.268516,0.00819677,0
37000,Cattleya_lueddemanniana,NA,6.59468,2.22098,0.0167573,4.39141,0
37000,Epidendrum_centropetalum,Epidendrum_magnoliae,1.39201,2.44313,-0.0128015,0.938127,0
38000,Cattleya_hoehnei,Epidendrum_centropetalum,0,0.500124,0.149947,0.0427472,0
38000,Epidendrum_centropetalum,Epidendrum_magnoliae,1.7597,1.88584,-0.0779832,0.0108114,0
39000,Cattleya_hoehnei,Epidendrum_centropetalum,0,0.754459,-0.00479501,0.00785112,0
39000,Cattleya_hoehnei,Cattleya_endsfeldzii,5.25517,2.59461,-0.113576,1.05836,0
39000,Myrmecophila_tibicinis,NA,5.67323,0.852717,-0.301533,1.6456,0
39000,Epidendrum_centropetalum,Epidendrum_magnoliae,1.73603,2.3695,-0.227604,0.00786798,0
39000,Caularthron_bilamellatum,NA,6.08951,0.613894,0.0121878,0.861067,0
40000,Cattleya_hoehnei,Epidendrum_centropetalum,0,0.951862,-0.107456,0.0152113,0
40000,Cattleya_hoehnei,Cattleya_endsfeldzii,5.0351,1.70491,-0.0716071,0.243663,0
40000,Epidendrum_centropetalum,Epidendrum_magnoliae,1.9012,1.44909,0.0216915,0.179258,0
41000,Cattleya_hoehnei,Epidendrum_centropetalum,0,0.632367,-0.0544386,0.100982,0
41000,Cattleya_hoehnei,Cattleya_ghillanyi,4.26084,3.18002,-0.334639,0.71034,0
41000,Epidendrum_centropetalum,Epidendrum_magnoliae,1.99154,2.62698,-0.240966,0.198177,0
42000,Cattleya_hoehnei,Epidendrum_centropetalum,0,0.795422,-0.0912107,0.0373212,0
42000,Cattleya_hoehnei,Cattleya_ghillanyi,4.17807,1.88421,-0.185031,0.644936,0
42000,Cattleya_intermedia,NA,6.38322,1.98094,-0.0212219,3.12617,0
42000,Brassavola_cucullata,NA,6.05964,2.57242,0.0385418,2.19087,0
42000,Epidendrum_centropetalum,Epidendrum_magnoliae,1.53766,3.661,-0.127834,1.24093,0
43000,Cattleya_hoehnei,Epidendrum_centropetalum,0,0.705856,-0.0257373,0.023174,0
43000,Cattleya_hoehnei,Cattleya_ghillanyi,4.07671,1.22173,0.178206,0.225847,0
43000,Cattleya_forbesii,Cattleya_intermedia,5.17254,3.02373,-0.2124,0.820297,0
43000,Epidendrum_centropetalum,Epidendrum_magnoliae,1.74723,2.53248,-0.194512,0.263234,0
44000,Cattleya_hoehnei,Epidendrum_centropetalum,0,0.549319,-0.0543906,0.0465848,0
44000,Cattleya_hoehnei,Cattleya_ghillanyi,3.39913,1.57378,-0.000860348,0.176468,0
44000,Epidendrum_centropetalum,Epidendrum_magnoliae,1.32233,3.75475,-0.134351,1.15491,0
45000,Cattleya_hoehnei,Epidendrum_centropetalum,0,0.730563,-0.0996915,0.0784953,0
45000,Cattleya_hoehnei,Cattleya_ghillanyi,4.27445,2.99539,-0.284052,0.377737,0
