generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Vellozia_bradei,Acanthochlamys_bracteata,0,0.032,0,0.005,0
1000,Vellozia_bradei,Acanthochlamys_bracteata,0,0.106997,0.0168707,0.0848559,0
2000,Vellozia_bradei,Acanthochlamys_bracteata,0,0.107355,0.0127393,0.0574315,0
3000,Vellozia_bradei,Acanthochlamys_bracteata,0,0.109921,0.0136831,0.0728999,0
4000,Vellozia_bradei,Acanthochlamys_bracteata,0,0.100911,0.00355413,0.0276162,0
4000,Barbacenia_flava_var_minor,Barbacenia_contasana,65.673,0.522362,-0.0225894,0.221453,0
5000,Vellozia_bradei,Acanthochlamys_bracteata,0,0.109023,0.00340901,0.00319701,0
5000,Barbacenia_plantaginea,NA,72.233,0.0956583,0.00668897,0.249058,0
5000,Barbacenia_flava_var_minor,Barbacenia_contasana,65.4062,0.329501,-0.00125729,0.0344357,0
6000,Vellozia_bradei,Acanthochlamys_bracteata,0,0.151952,0.00360861,0.0134734,0
6000,Acanthochlamys_bracteata,NA,18.0315,0.0504119,-0.0154158,0.0688311,0
7000,Vellozia_bradei,Acanthochlamys_bracteata,0,0.1278,0.00343596,0.0269557,0
7000,Acanthochlamys_bracteata,NA,2.33195,0.0629063,-0.00199867,0.065038,0
8000,Vellozia_bradei,Acanthochlamys_bracteata,0,0.0732858,0.011431,0.00141517,0
8000,Barbacenia_flava_var_minor,Barbacenia_contasana,64.3582,0.388964,-0.00851642,0.00405581,0
8000,Acanthochlamys_bracteata,NA,25.1587,0.102385,0.00661693,0.246263,0
9000,Vellozia_bradei,Acanthochlamys_bracteata,0,0.101649,0.00671601,0.00414568,0
9000,Barbacenia_flava_var_minor,Barbacenia_minima,63.3774,0.370283,0.00806869,0.0770943,0
9000,Acanthochlamys_bracteata,NA,42.7245,0.24897,0.000270399,0.401121,0
10000,Vellozia_bradei,Acanthochlamys_bracteata,0,0.123611,0.00724975,0.0135097,0
10000,Acanthochlamys_bracteata,NA,33.2724,0.0704199,0.00401883,0.248162,0
11000,Vellozia_bradei,Acanthochlamys_bracteata,0,0.0727561,0.0173581,0.000622195,0
11000,Vellozia_geotegens,Vellozia_glauca,68.3327,0.3383,-0.01631,0.251913,0
11000,Barbacenia_flava_var_minor,Barbacenia_regis,57.7181,0.40854,0.00244749,0.0984284,0
11000,Acanthochlamys_bracteata,NA,55.6776,0.47927,0.0185786,0.855717,0
12000,Vellozia_bradei,Acanthochlamys_bracteata,0,0.0757014,0.0158575,0.0067283,0
12000,Vellozia_bradei,Vellozia_auriculata,65.4603,0.209982,-0.0263977,0.0251137,0
12000,Barbacenia_flava_var_minor,Barbacenia_minima,63.8552,0.474117,-0.0309543,0.0836764,0
12000,Barbacenia_blanchetii,NA,69.716,0.0462635,-0.0122932,0.14477,0
12000,Acanthochlamys_bracteata,NA,21.9124,0.18888,-0.0108277,0.221423,0
13000,Vellozia_bradei,Acanthochlamys_bracteata,0,0.0661327,0.0144805,0.00138648,0
13000,Vellozia_bradei,Vellozia_ciliata,61.5154,0.325162,-0.000956689,0.0628951,0
13000,Xerophyta_sp2,Xerophyta_eglandulosa,46.7966,0.113823,-0.00633509,0.041295,0
13000,Barbacenia_flava_var_minor,Barbacenia_contasana,65.1825,0.398368,0.0141455,0.0208904,0
13000,Acanthochlamys_bracteata,NA,20.6751,0.0200465,-0.0247201,0.0544428,0
14000,Vellozia_bradei,Acanthochlamys_bracteata,0,0.0606155,0.0225936,0.00382837,0
14000,Vellozia_bradei,Vellozia_ciliata,62.1723,0.349178,-0.0158044,0.0205359,0
14000,Barbacenia_flava_var_minor,Barbacenia_contasana,64.8814,0.646622,-0.0191326,0.10904,0
14000,Acanthochlamys_bracteata,NA,22.6176,0.0128435,-0.0065509,0.118537,0
15000,Vellozia_bradei,Acanthochlamys_bracteata,0,0.0600875,0.0224543,0.00203939,0
15000,Vellozia_bradei,Vellozia_cipoensis,64.6977,0.32919,-0.0246894,0.00173367,0
15000,Barbacenia_flava_var_minor,Barbacenia_minima,63.3379,0.660289,-0.0306071,0.0316792,0
15000,Acanthochlamys_bracteata,NA,20.435,0.151838,-0.00799563,0.233213,0
16000,Vellozia_bradei,Acanthochlamys_bracteata,0,0.0707009,0.0150636,0.0110026,0
16000,Vellozia_bradei,Vellozia_ciliata,61.6346,0.243441,-0.00506575,0.0366079,0
16000,Vellozia_plicata,NA,61.2321,0.0561086,-0.00956091,0.00456192,0
16000,Barbacenia_flava_var_minor,Barbacenia_minima,62.6016,0.333086,0.0124295,0.0580189,0
16000,Acanthochlamys_bracteata,NA,20.2106,0.0279751,-0.00678102,0.0826329,0
17000,Vellozia_bradei,Acanthochlamys_bracteata,0,0.0641801,0.0156759,0.00324137,0
17000,Vellozia_bradei,Vellozia_abietina,62.8318,0.185059,0.00534364,0.00271398,0
17000,Barbacenia_flava_var_minor,Barbacenia_contasana,65.8372,0.662034,-0.023727,0.116444,0
17000,Acanthochlamys_bracteata,NA,19.9056,0.046705,-0.00345974,0.0713002,0
17000,Acanthochlamys_bracteata,NA,73.9884,0.00505761,-0.00661632,0.193681,0
18000,Vellozia_bradei,Acanthochlamys_bracteata,0,0.0619852,0.0235028,0.00132065,0
18000,Vellozia_bradei,Vellozia_ciliata,61.9984,0.172901,0.0177766,0.0137057,0
18000,Xerophyta_humilis,NA,68.8202,0.0438539,-0.0239879,0.356678,0
18000,Barbacenia_flava_var_minor,Barbacenia_regis,57.9898,0.307554,0.025915,0.0499008,0
18000,Acanthochlamys_bracteata,NA,9.19737,0.279493,-0.0254501,0.221899,0
19000,Vellozia_bradei,Acanthochlamys_bracteata,0,0.0903656,0.00593713,0.0102577,0
19000,Vellozia_bradei,Vellozia_ciliata,61.5627,0.244479,-0.00435438,0.0112737,0
19000,Barbacenia_flava_var_minor,Barbacenia_gounelleana,46.7924,0.260614,-0.00117949,0.0492049,0
19000,Acanthochlamys_bracteata,NA,51.5248,0.103355,-0.0110238,0.360112,0
20000,Vellozia_bradei,Acanthochlamys_bracteata,0,0.0553979,0.0259988,0.0109035,0
20000,Vellozia_bradei,Vellozia_ciliata,61.6291,0.330122,-0.00821901,0.0810308,0
20000,Barbacenia_purpurea,NA,72.9433,0.130665,-0.00486937,0.0285242,0
20000,Barbacenia_flava_var_minor,Barbacenia_celiae,55.7285,0.306408,0.00711947,0.0739129,0
21000,Vellozia_bradei,Acanthochlamys_bracteata,0,0.0642888,0.0116462,0.00658665,0
21000,Vellozia_bradei,Vellozia_ciliata,61.2369,0.279108,-0.0118323,0.0243688,0
21000,Barbacenia_flava_var_minor,Barbacenia_gounelleana,50.1903,0.268191,0.00776202,0.0942405,0
21000,Acanthochlamys_bracteata,NA,3.90092,0.0293129,0.00452995,0.0587543,0
22000,Vellozia_bradei,Acanthochlamys_bracteata,0,0.0542388,0.00887836,0.00871161,0
22000,Vellozia_bradei,Vellozia_abietina,62.549,0.314908,-0.0100076,0.0616566,0
22000,Barbacenia_flava_var_minor,Barbacenia_bishopii,59.2523,0.31908,-0.013563,0.0707769,0
23000,Vellozia_bradei,Acanthochlamys_bracteata,0,0.0518245,0.0169676,0.0152904,0
23000,Vellozia_bradei,Vellozia_geotegens,50.5421,0.134956,0.0301849,0.000684515,0
23000,Barbacenia_flava_var_minor,Barbacenia_bishopii,59.4433,0.498314,-0.023218,0.0282444,0
24000,Vellozia_bradei,Acanthochlamys_bracteata,0,0.161719,-0.000128989,0.0145296,0
24000,Vellozia_bradei,Vellozia_compacta,57.0793,0.189167,0.0206082,0.00607004,0
24000,Acanthochlamys_bracteata,NA,23.2437,0.143372,-0.0116929,0.170872,0
25000,Vellozia_bradei,Acanthochlamys_bracteata,0,0.065334,0.006792,0.00898169,0
25000,Vellozia_bradei,Vellozia_aloifolia,55.924,0.31743,-0.0233119,0.0148232,0
25000,Barbacenia_flava_var_minor,Barbacenia_bishopii,59.3874,0.34464,-0.00298743,0.0568439,0
