generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
26000,Eremanthus_arboreus,Albertinia_brasiliensis,0,0.691577,0.0300567,0.0453076,0
26000,Albertinia_brasiliensis,NA,1.47931,0.240872,-0.118466,0.962931,0
27000,Eremanthus_arboreus,Albertinia_brasiliensis,0,0.749131,0.262101,0.580762,0
27000,Albertinia_brasiliensis,NA,4.57031,0.382256,-0.0840429,2.13691,0
27000,Albertinia_brasiliensis,NA,7.01127,0.0137289,-0.0777023,1.74354,0
28000,Eremanthus_arboreus,Albertinia_brasiliensis,0,0.695866,0.15562,0.0298453,0
28000,Hololepis_pedunculata,NA,7.10479,0.629643,-0.115732,0.934375,0
28000,Albertinia_brasiliensis,NA,3.69119,0.204947,-0.0188137,0.623213,0
28000,Albertinia_brasiliensis,NA,6.37349,2.00316,-0.165411,2.835,0
29000,Eremanthus_arboreus,Albertinia_brasiliensis,0,0.698463,0.0371595,0.0280639,0
29000,Paralychnophora_reflexoauriculata,NA,8.25209,2.26322,-0.0681035,0.301567,0
29000,Albertinia_brasiliensis,NA,4.92541,0.609232,0.0443144,1.22795,0
30000,Eremanthus_arboreus,Albertinia_brasiliensis,0,0.647067,0.0620969,0.0331581,0
30000,Eremanthus_pabstii,Piptolepis_ericoides,7.42809,1.81038,0.00536662,1.02913,0
30000,Albertinia_brasiliensis,NA,4.9807,2.02827,-0.0963078,4.13449,0
31000,Eremanthus_arboreus,Albertinia_brasiliensis,0,0.622065,0.0772337,0.236812,0
31000,Albertinia_brasiliensis,NA,1.77453,0.865146,-0.0415464,0.886699,0
32000,Eremanthus_arboreus,Albertinia_brasiliensis,0,0.84517,0.0101561,0.0328468,0
32000,Albertinia_brasiliensis,NA,1.56725,0.127384,0.076749,0.392413,0
33000,Eremanthus_arboreus,Albertinia_brasiliensis,0,0.832706,0.0722157,0.0400599,0
33000,Albertinia_brasiliensis,NA,1.79435,0.675054,0.166244,2.03256,0
34000,Eremanthus_arboreus,Albertinia_brasiliensis,0,1.01632,0.0230449,0.25155,0
34000,Albertinia_brasiliensis,NA,3.31472,0.0391112,0.176546,1.41015,0
35000,Eremanthus_arboreus,Albertinia_brasiliensis,0,0.715552,0.0303099,0.0718013,0
35000,Proteopsis_argentea,Proteopsis_sp1,7.41368,1.43495,0.0807178,0.115348,0
35000,Albertinia_brasiliensis,NA,3.83557,5.05151,-0.186878,4.55026,0
36000,Eremanthus_arboreus,Albertinia_brasiliensis,0,0.930271,-0.00891983,0.0486534,0
36000,Albertinia_brasiliensis,NA,2.57311,0.28809,-0.0171067,0.479555,0
37000,Eremanthus_arboreus,Albertinia_brasiliensis,0,0.713239,0.160082,0.319377,0
37000,Albertinia_brasiliensis,NA,2.5893,0.304451,-0.03946,1.40318,0
38000,Eremanthus_arboreus,Albertinia_brasiliensis,0,1.13038,0.00147493,0.157204,0
38000,Hololepis_pedunculata,NA,6.61302,0.564339,-0.0814946,0.492424,0
38000,Blanchetia_heterotricha,NA,6.96693,0.976095,0.214734,1.91985,0
38000,Albertinia_brasiliensis,NA,3.71041,0.375639,-0.260167,1.64026,0
39000,Eremanthus_arboreus,Albertinia_brasiliensis,0,1.22684,-0.0119305,0.0728361,0
39000,Albertinia_brasiliensis,NA,4.35657,0.776682,0.00359397,2.73648,0
40000,Eremanthus_arboreus,Albertinia_brasiliensis,0,0.505759,0.199244,0.00564761,0
40000,Lychnophora_gardneri,Lychnophora_pinaster,6.57854,2.46523,0.0484321,0.496215,0
40000,Albertinia_brasiliensis,NA,2.38467,0.62968,0.177565,2.16874,0
41000,Eremanthus_arboreus,Albertinia_brasiliensis,0,0.551861,0.277515,0.0209885,0
41000,Blanchetia_heterotricha,NA,7.95033,3.36329,-0.322019,7.03263,0
41000,Albertinia_brasiliensis,NA,1.55137,0.391757,0.0657006,1.33398,0
42000,Eremanthus_arboreus,Albertinia_brasiliensis,0,1.16757,-0.00971545,0.0861835,0
42000,Eremanthus_pabstii,Piptolepis_ericoides,7.48178,4.16578,0.339856,0.637776,0
42000,Albertinia_brasiliensis,NA,2.83336,0.0838684,0.0409981,1.61108,0
43000,Eremanthus_arboreus,Albertinia_brasiliensis,0,0.813418,0.0446598,0.140819,0
43000,Lychnophora_markgravii,NA,8.17856,6.468,0.0406921,2.50086,0
43000,Albertinia_brasiliensis,NA,5.80432,0.270929,-0.336194,1.82671,0
44000,Eremanthus_arboreus,Albertinia_brasiliensis,0,0.967009,0.0148911,0.0500272,0
44000,Albertinia_brasiliensis,NA,5.54909,0.391275,-0.0924534,1.90531,0
45000,Eremanthus_arboreus,Albertinia_brasiliensis,0,0.492475,0.194952,0.0512139,0
45000,Lychnophora_passerina,NA,7.87066,0.208902,0.0689799,8.0139,0
45000,Albertinia_brasiliensis,NA,5.30552,1.44888,-0.102286,2.19126,0
46000,Eremanthus_arboreus,Albertinia_brasiliensis,0,0.651329,0.200052,0.225816,0
46000,Albertinia_brasiliensis,NA,5.55216,0.0704094,0.172197,1.85724,0
47000,Eremanthus_arboreus,Albertinia_brasiliensis,0,0.666113,0.0469698,0.03955,0
47000,Albertinia_brasiliensis,NA,6.78709,0.760985,-0.101487,5.46178,0
48000,Eremanthus_arboreus,Albertinia_brasiliensis,0,0.727813,0.0534556,0.0346717,0
48000,Eremanthus_uniflorus,NA,8.14028,0.617777,0.0167877,1.68812,0
48000,Albertinia_brasiliensis,NA,6.35851,0.55617,0.0401347,5.04489,0
49000,Eremanthus_arboreus,Albertinia_brasiliensis,0,0.730071,0.109572,0.132561,0
49000,Albertinia_brasiliensis,NA,6.30971,0.7983,-0.189471,4.81129,0
50000,Eremanthus_arboreus,Albertinia_brasiliensis,0,0.769732,0.0978647,0.0667295,0
50000,Prestelia_eriopus,Pretelia_sp1,7.22259,1.29395,0.0474853,0.701527,0
50000,Albertinia_brasiliensis,NA,5.31685,1.10143,0.0478543,1.22611,0
51000,Eremanthus_arboreus,Albertinia_brasiliensis,0,0.770949,0.0943516,0.135513,0
51000,Anteremanthus_hatschbachii,NA,7.79331,0.961601,0.208001,3.20224,0
51000,Blanchetia_heterotricha,NA,7.4329,0.947587,-0.0668948,4.72638,0
51000,Albertinia_brasiliensis,NA,5.54644,2.04406,-0.134697,3.74757,0
52000,Eremanthus_arboreus,Albertinia_brasiliensis,0,0.557202,0.256679,0.095838,0
52000,Eremanthus_pabstii,Piptolepis_schultziana,7.81023,4.54833,0.0142642,0.389116,0
52000,Albertinia_brasiliensis,NA,2.45012,0.368728,-0.0801976,0.791525,0
52000,Anteremanthus_hatschbachii,Lychnophora_sp2,6.27011,1.02701,-0.0540869,0.241287,0
53000,Eremanthus_arboreus,Albertinia_brasiliensis,0,0.629974,0.115122,0.0793062,0
53000,Eremanthus_erythropappus,NA,8.19297,4.35554,0.126977,0.503608,0
53000,Eremanthus_pabstii,Piptolepis_ericoides,7.36206,2.91249,-0.256981,1.17045,0
53000,Albertinia_brasiliensis,NA,4.203,0.356963,-0.353785,1.44299,0
54000,Eremanthus_arboreus,Albertinia_brasiliensis,0,0.525018,0.302652,0.105167,0
54000,Albertinia_brasiliensis,NA,2.42125,0.133388,0.133211,0.0439415,0
55000,Eremanthus_arboreus,Albertinia_brasiliensis,0,0.723508,0.123043,0.104433,0
