generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
4892000,Chamaecrista_decumbens,Chamaecrista_dalbergiifolia,29.8774,1.72295,-0.0216491,0.425408,0
4892000,Chamaecrista_cardiostegia,Chamaecrista_simplifacta,30.2665,0.926321,0.0294967,0.275159,0
4893000,Chamaecrista_decumbens,Chamaecrista_onusta,0,0.158021,0.00127699,0.0463677,0
4893000,Chamaecrista_decumbens,Chamaecrista_dalbergiifolia,29.367,1.31149,0.019952,0.0324358,0
4893000,Chamaecrista_cardiostegia,Chamaecrista_simplifacta,29.4477,1.02705,-0.00300627,0.0319966,0
4893000,Chamaecrista_decora,Chamaecrista_coriacea,22.3282,1.08849,-0.00425938,0.704581,0
4894000,Chamaecrista_decumbens,Chamaecrista_onusta,0,0.133171,0.00334753,0.0127503,0
4894000,Chamaecrista_belladonna,NA,31.6554,1.19346,-0.0178395,0.571658,0
4894000,Chamaecrista_decumbens,Chamaecrista_dalbergiifolia,29.861,1.41342,-0.0300799,0.00600972,0
4894000,Chamaecrista_cardiostegia,Chamaecrista_simplifacta,29.4547,0.864319,-0.00559488,0.0489296,0
4894000,Chamaecrista_decora,Chamaecrista_coriacea,24.5797,1.00027,-0.046768,0.418501,0
4895000,Chamaecrista_decumbens,Chamaecrista_onusta,0,0.277489,-0.00689706,0.169033,0
4895000,Chamaecrista_decumbens,Chamaecrista_speciosa,30.1538,1.45955,-0.0399681,0.375973,0
4895000,Chamaecrista_cardiostegia,Chamaecrista_simplifacta,30.0476,0.772718,0.0266465,0.0640619,0
4895000,Chamaecrista_decora,Chamaecrista_coriacea,24.8334,1.05823,-0.0231279,0.369714,0
4896000,Chamaecrista_decumbens,Chamaecrista_onusta,0,0.223803,-0.0114598,0.0153498,0
4896000,Chamaecrista_decumbens,Chamaecrista_speciosa,30.324,1.68205,-0.0310743,0.1232,0
4896000,Chamaecrista_cardiostegia,Chamaecrista_latifolia,30.8072,0.683321,-0.00561994,0.0718525,0
4897000,Chamaecrista_decumbens,Chamaecrista_onusta,0,0.131904,0.0488306,0.122819,0
4897000,Chamaecrista_decumbens,Chamaecrista_dalbergiifolia,29.4383,1.06161,-0.0105528,0.0427667,0
4897000,Chamaecrista_cardiostegia,Chamaecrista_latifolia,30.833,1.17521,-0.0255858,0.160026,0
4898000,Chamaecrista_decumbens,Chamaecrista_onusta,0,0.202212,0.00230952,0.0689017,0
4898000,Chamaecrista_decumbens,Chamaecrista_speciosa,30.4319,1.15646,0.0256933,0.158406,0
4898000,Chamaecrista_cardiostegia,Chamaecrista_latifolia,30.9618,1.54707,0.0432819,0.757178,0
4899000,Chamaecrista_decumbens,Chamaecrista_onusta,0,0.188632,-0.0146457,0.0121508,0
4899000,Chamaecrista_decumbens,Chamaecrista_dalbergiifolia,29.7592,0.941925,0.0471469,0.0356479,0
