generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,3.44167,-607.873,1,0
100,0,-2.30606,-484.818,1.21856,0.36
200,1,5.04029,-484.981,2.14048,0.46
300,0,2.82794,-484.882,1.18616,0.486667
400,1,5.93061,-482.696,0.633611,0.4675
500,0,3.50222,-485.659,0.427738,0.434
600,0,3.27282,-488.342,0.146212,0.395
700,0,3.10599,-485.712,0.523361,0.364286
800,0,2.57537,-484.829,1.16764,0.34125
900,0,2.80184,-485.168,0.88929,0.332222
1000,0,2.88623,-485.674,0.491547,0.331668
1100,1,6.80133,-484.754,0.412187,0.39
1200,1,6.13966,-485.653,0.762004,0.44
1300,1,6.52293,-486.303,0.139293,0.433333
1400,1,4.98983,-487.599,0.641729,0.4225
1500,1,5.06366,-487.616,1.06495,0.452
1600,0,3.22267,-484.61,0.602317,0.448333
1700,1,6.50341,-485.05,0.394359,0.432857
1800,0,2.76087,-485.919,0.934147,0.4325
1900,1,7.44433,-486.701,0.524669,0.427778
2000,0,3.51919,-484.646,0.195747,0.433
2100,0,2.84652,-483.594,0.434561,0.36
2200,0,2.97329,-483.92,0.330066,0.325
2300,0,3.55534,-483.784,0.263209,0.323333
2400,0,3.71439,-484.54,0.00062128,0.315
2500,0,2.71708,-483.873,0.113528,0.318
2600,0,3.70105,-484.513,0.0678012,0.325
2700,0,3.38777,-483.9,0.618179,0.321429
2800,0,3.47752,-483.974,0.50745,0.31625
2900,0,2.66582,-484.116,0.323308,0.306667
3000,0,3.19299,-485.122,0.41515,0.349
3100,1,5.52323,-479.67,0.996184,0.4
3200,1,6.98944,-477.006,0.277151,0.42
3300,1,5.64439,-476.671,0.518486,0.416667
3400,1,3.66515,-473.393,1.98554,0.425
3500,1,3.42142,-472.513,2.69459,0.424
3600,1,6.05033,-472.74,0.412363,0.421667
3700,1,5.90738,-471.603,0.753181,0.424286
3800,1,4.62672,-476.595,2.08037,0.4175
3900,1,0.283012,-471.959,1.70136,0.421111
4000,1,4.85707,-473.238,0.508821,0.373157
4100,1,6.13608,-473.51,1.05203,0.47
4200,1,4.52876,-470.818,2.29715,0.47
4300,1,3.68538,-472.85,2.8044,0.44
4400,1,5.31536,-471.567,1.76583,0.4325
4500,1,6.44899,-470.481,0.636752,0.43
4600,1,5.59682,-470.372,0.664552,0.431667
4700,1,7.10414,-471.624,0.659056,0.428571
4800,1,7.04026,-474.84,0.0466676,0.41875
4900,1,6.32117,-473.036,0.64231,0.415556
5000,2,10.0971,-471.49,0.948178,0.421
5100,2,10.9357,-473.938,0.63981,0.45
5200,1,4.91998,-472.447,1.25648,0.47
5300,1,3.41981,-470.533,1.93377,0.496667
5400,1,6.6817,-469.252,0.195793,0.4675
5500,1,4.64878,-473.887,1.97778,0.462
5600,1,5.64564,-473.041,1.35119,0.456667
5700,1,5.37349,-473.821,0.531781,0.454286
5800,1,5.34374,-470.686,0.942886,0.45625
5900,1,3.28164,-470.522,1.94468,0.463333
6000,1,5.43279,-480.823,2.28762,0.410598
6100,1,7.10414,-477.945,0.0971563,0.49
6200,1,6.31099,-480.363,0.430459,0.505
6300,2,7.13031,-478.335,2.16984,0.51
6400,1,5.19319,-476.795,2.17919,0.4825
6500,1,4.79168,-478.922,2.04084,0.508
6600,1,5.51138,-479.116,0.561373,0.496667
6700,1,5.12994,-479.711,1.88803,0.491429
6800,1,5.86103,-475.91,1.37211,0.48375
6900,1,6.0902,-476.31,1.75543,0.484444
7000,1,5.57753,-478.177,2.63814,0.48
7100,1,7.20431,-477.215,0.974468,0.55
7200,1,7.33795,-476.406,0.425467,0.535
7300,1,5.94294,-477.742,0.602379,0.516667
7400,1,6.26902,-476.73,0.40902,0.49
7500,1,6.81309,-476.722,0.379446,0.486
7600,1,6.89396,-477.731,0.816303,0.485
7700,1,6.79205,-475.703,1.49556,0.49
7800,1,7.99323,-476.853,0.24953,0.5025
7900,1,4.26627,-476.417,3.75169,0.494444
8000,2,9.8249,-461.484,0.840244,0.428333
8100,2,9.72928,-461.949,1.12356,0.41
8200,2,6.97194,-459.807,0.821441,0.465
8300,2,7.22033,-461.912,1.60594,0.483333
8400,2,5.43838,-461.22,2.88017,0.4875
8500,3,9.97527,-459.832,2.36657,0.474
8600,3,9.56006,-460.989,1.24382,0.47
8700,3,6.34979,-462.197,1.48731,0.472857
8800,3,8.32848,-462.896,1.08596,0.4625
8900,3,8.61587,-461.461,0.84781,0.455556
9000,2,9.07429,-463.15,0.698886,0.4305
9100,2,7.50366,-461.801,2.34423,0.39
9200,2,8.35823,-463.878,1.12044,0.44
9300,2,7.6353,-465.405,2.09837,0.413333
9400,3,12.0719,-468.256,2.06056,0.41
9500,3,12.6805,-466.108,1.98208,0.414
9600,3,9.48283,-470.421,1.51319,0.415
9700,3,12.1914,-466.695,0.364911,0.411429
9800,2,5.71085,-465.742,3.32913,0.41
9900,2,8.27789,-466.738,0.739202,0.408889
10000,1,6.39263,-476.906,1.18663,0.497333
10100,1,7.70342,-477.377,0.0248674,0.45
10200,1,4.8441,-476.123,1.98621,0.46
10300,1,5.33738,-477.749,2.2479,0.483333
10400,1,4.0736,-478.553,3.29947,0.4575
10500,1,3.08834,-475.787,1.35217,0.456
10600,2,8.82301,-479.077,1.61907,0.451667
10700,3,7.17551,-475.725,6.3416,0.454286
10800,3,5.30744,-478.107,4.58096,0.4675
10900,3,7.65475,-477.199,1.77689,0.456667
11000,3,7.60923,-467.236,1.0737,0.457
11100,2,6.55505,-464.754,0.720172,0.37
11200,2,7.08345,-463.288,0.669599,0.41
11300,2,5.58763,-462.018,1.69543,0.4
11400,2,6.56725,-462.779,0.63061,0.4025
11500,2,7.15068,-461.459,0.582342,0.412
11600,3,6.28851,-460.574,2.43862,0.408333
11700,2,6.79571,-459.613,1.01135,0.4
11800,3,11.8037,-459.779,1.26897,0.41
11900,2,7.55256,-463.13,1.31576,0.406667
12000,4,11.3846,-457.616,2.36469,0.434333
12100,3,10.1834,-464.109,1.79068,0.51
12200,3,9.38946,-461.47,2.40892,0.475
12300,4,11.7291,-452.6,3.29595,0.47
12400,4,11.1328,-454.176,2.2921,0.4475
12500,5,14.3805,-453.908,6.13297,0.464
12600,5,17.73,-453.96,1.74753,0.475
12700,4,10.4864,-456.855,1.49542,0.475714
12800,3,9.91235,-457.428,1.82653,0.48125
12900,3,8.30976,-454.552,3.33493,0.473333
13000,4,14.818,-455.231,2.38176,0.473
13100,4,15.2894,-455.596,2.71455,0.44
13200,4,12.9084,-450.32,1.02004,0.46
13300,3,9.58022,-453.036,1.2432,0.456667
13400,3,8.59612,-450.155,0.88649,0.4425
13500,3,8.59984,-451.978,1.47661,0.462
13600,4,13.4213,-455.57,1.73794,0.456667
13700,4,10.4809,-457.659,2.27359,0.455714
13800,4,12.7608,-452.747,1.49492,0.4625
13900,4,13.1505,-453.538,1.56199,0.458889
14000,3,9.68531,-452.188,2.07744,0.453
14100,3,9.90135,-452.428,2.11924,0.42
14200,3,10.7912,-455.835,1.289,0.43
14300,3,12.1869,-452.033,1.05603,0.45
14400,3,8.62761,-451.878,2.32892,0.445
14500,3,7.92188,-450.593,3.55126,0.43
14600,3,7.40939,-450.367,1.54206,0.421667
14700,3,7.5446,-453.423,0.458154,0.42
14800,6,11.3555,-452.894,3.82407,0.4325
14900,4,5.57675,-452.287,2.66103,0.436667
15000,3,5.63294,-452.549,3.70789,0.43
15100,3,8.39302,-451.866,1.63869,0.48
15200,3,8.91761,-452.149,1.49638,0.45
15300,3,11.607,-452.338,2.19767,0.423333
15400,4,12.1995,-451.952,5.14564,0.405
15500,4,13.1965,-453.717,2.79829,0.42
15600,4,13.6013,-454.99,2.54013,0.445
15700,4,13.7786,-456.137,1.47211,0.437143
15800,3,11.6938,-455.13,0.911581,0.44875
15900,4,15.7261,-455.227,0.894742,0.456667
16000,4,13.974,-453.131,4.85209,0.465
16100,4,16.1346,-456.148,1.97352,0.46
16200,4,14.2907,-458.296,2.0841,0.515
16300,4,14.2151,-453.925,2.49955,0.5
16400,4,12.5913,-453.827,3.57828,0.5125
16500,3,5.9388,-448.863,3.89764,0.508
16600,3,8.01686,-449.349,2.19606,0.486667
16700,3,-0.627478,-451.753,5.44521,0.474286
16800,4,5.57424,-449.951,3.36566,0.47125
16900,4,8.44198,-450.033,3.997,0.466667
17000,4,13.9556,-453.13,2.84792,0.47
17100,4,14.0941,-454.024,2.10048,0.5
17200,4,13.063,-452.906,3.38374,0.485
17300,4,7.33663,-453.083,1.65481,0.483333
17400,3,10.7128,-452.359,1.15824,0.505
17500,4,12.3747,-452.741,3.04528,0.506
17600,3,11.6155,-453.092,1.35132,0.508333
17700,3,11.6892,-452.231,0.950655,0.49
17800,3,10.2496,-456.076,1.19012,0.48875
17900,3,10.1221,-459.569,1.40288,0.48
18000,4,6.91275,-456.527,5.51184,0.476
18100,4,7.44508,-452.66,3.55782,0.44
18200,5,12.5135,-453.482,2.4292,0.475
18300,5,12.3611,-457.728,4.21916,0.47
18400,5,14.542,-454.454,2.54221,0.4725
18500,5,18.0555,-453.561,1.3159,0.474
18600,4,15.5617,-453.038,1.8558,0.456667
18700,4,5.52278,-452.831,8.36517,0.454286
18800,3,8.5865,-453.026,2.35488,0.4675
18900,3,9.74374,-454.522,3.41685,0.47
