generation,N_shifts,logPrior,logLik,eventRate,acceptRate
19000,3,13.3808,-459.797,1.03122,0.441125
19100,3,11.1215,-462.32,3.44732,0.46
19200,3,13.375,-459.744,1.19018,0.45
19300,3,10.1303,-460.838,3.34398,0.44
19400,3,11.5419,-461.074,2.23671,0.44
19500,4,17.8662,-459.799,1.12083,0.446
19600,4,15.7877,-466.06,1.53004,0.456667
19700,4,17.5095,-463.962,0.913113,0.467143
19800,3,10.915,-462.596,3.57745,0.47
19900,3,11.4763,-463.823,2.4272,0.473333
20000,3,11.4495,-464.758,1.97042,0.467
20100,2,4.87012,-463.656,3.44358,0.49
20200,2,7.74565,-463.02,1.02948,0.505
20300,2,7.52938,-462.928,0.737762,0.476667
20400,2,7.20602,-462.801,0.784268,0.4625
20500,3,6.16098,-464.792,1.8961,0.46
20600,2,7.66635,-463.228,3.01905,0.468333
20700,2,7.91544,-460.717,2.52322,0.457143
20800,2,6.73419,-465.535,2.08352,0.44875
20900,3,12.9679,-457.693,1.56998,0.45
21000,3,13.5989,-458.039,1.36674,0.449
21100,3,12.1087,-459.873,2.48517,0.46
21200,4,11.1762,-460.766,3.45404,0.475
21300,3,12.703,-459.827,1.46442,0.456667
21400,3,12.3825,-457.011,1.51731,0.4475
21500,3,11.9699,-458.709,1.68629,0.44
21600,3,12.2234,-454.211,1.09145,0.436667
21700,3,10.0287,-455.812,4.54443,0.438571
21800,3,13.7272,-454.71,1.29916,0.45375
21900,2,9.50806,-460.697,1.45512,0.46
22000,2,9.3369,-462.583,1.04715,0.457
22100,2,8.62551,-469.704,0.457283,0.48
22200,2,5.2331,-465.567,1.82747,0.485
22300,2,4.76435,-464.473,1.46251,0.466667
22400,2,5.167,-460.273,1.44965,0.44
22500,2,5.02731,-461.422,1.93673,0.426
22600,2,4.00811,-459.132,1.80015,0.443333
22700,2,6.5351,-460.457,0.949415,0.45
22800,2,6.67303,-464.904,0.995679,0.4525
22900,2,7.77976,-462.047,0.617158,0.451111
23000,2,5.83795,-460.384,1.98574,0.452
23100,2,8.18527,-459.53,1.42057,0.4
23200,2,7.34423,-459.942,2.61299,0.42
23300,2,8.16849,-457.901,2.22987,0.38
23400,2,8.70708,-462.363,1.37968,0.405
23500,2,8.34785,-462.291,1.20577,0.406
23600,2,6.80076,-461.929,1.77257,0.4
23700,2,9.49592,-463.049,1.01734,0.398571
23800,2,9.1481,-466.926,1.15393,0.3925
23900,2,9.47368,-466.332,0.775432,0.398889
24000,2,9.74678,-477.077,0.660632,0.442929
24100,2,7.82915,-477.365,2.12456,0.4
24200,2,10.5077,-475.499,1.24554,0.405
24300,1,6.48535,-479.576,1.31506,0.416667
24400,1,6.32014,-479.273,0.840358,0.4225
24500,1,4.84265,-480.693,1.91858,0.404
24600,1,6.97652,-479.771,0.323351,0.411667
24700,1,7.38925,-479.519,0.459405,0.408571
24800,1,6.84932,-479.886,0.779836,0.42
24900,1,7.22569,-476.601,0.506117,0.426667
25000,3,11.8483,-455.032,1.16936,0.475429
25100,4,13.7355,-458.593,1.24672,0.43
25200,4,12.8604,-459.091,1.6183,0.455
25300,4,7.81596,-459.919,1.73139,0.463333
25400,5,12.1706,-459.306,3.00452,0.4675
25500,6,15.0124,-457.136,3.14919,0.472
25600,6,10.7978,-457.421,3.8926,0.463333
25700,6,15.1159,-456.821,4.04301,0.461429
25800,6,17.3723,-458.528,3.22394,0.46125
25900,5,11.7678,-457.074,4.62838,0.462222
26000,5,10.6956,-459.268,3.26166,0.464
26100,4,1.54579,-456.15,3.53258,0.47
26200,3,2.90798,-456.111,1.46904,0.455
26300,3,3.80558,-454.297,1.59055,0.423333
26400,3,5.56753,-456.578,4.7793,0.4075
26500,3,10.16,-460.519,2.06872,0.414
26600,5,15.7932,-457.902,2.43114,0.435
26700,5,14.3091,-459.121,2.51456,0.447143
26800,6,21.36,-461.516,1.35224,0.4425
26900,5,17.6543,-458.909,2.31376,0.445556
27000,5,17.3413,-462.917,3.55071,0.444
27100,4,16.8009,-457.45,1.622,0.47
27200,4,17.3543,-458.068,1.55718,0.485
27300,4,15.1959,-456.46,3.24936,0.466667
27400,4,14.4637,-458.91,3.5108,0.4525
27500,4,14.0194,-457.163,2.38916,0.438
27600,4,12.9255,-459.686,2.75797,0.443333
27700,4,14.5197,-458.683,1.21785,0.457143
27800,5,17.1287,-461.331,2.79565,0.47
27900,5,17.4274,-460.623,2.81554,0.472222
28000,4,13.0677,-457.962,3.65121,0.477
28100,5,15.9955,-459.159,3.95233,0.45
28200,5,17.0168,-457.221,2.92523,0.45
28300,4,14.13,-458.319,3.17822,0.476667
28400,4,11.9213,-457.379,3.67647,0.48
28500,4,9.49427,-458.711,5.58374,0.482
28600,4,11.3882,-462.201,3.31742,0.475
28700,4,11.4842,-457.518,2.80403,0.467143
28800,4,10.7468,-458.577,3.19607,0.4775
28900,4,10.8633,-456.509,2.42116,0.463333
29000,2,10.3087,-464.383,1.17358,0.429167
29100,2,11.1105,-463.692,0.767373,0.44
29200,2,10.1837,-465.104,1.76515,0.43
29300,2,9.88134,-467.384,1.50582,0.426667
29400,2,10.6692,-471.562,0.737242,0.4075
29500,2,9.51468,-467.854,1.55851,0.428
29600,3,11.8492,-467.887,3.26936,0.43
29700,2,10.1676,-469.381,1.15023,0.442857
29800,1,7.18182,-472.925,0.301956,0.44625
29900,1,4.50902,-472.244,0.0578903,0.442222
30000,3,10.2754,-460.813,3.71783,0.430893
30100,3,12.2792,-462.054,1.65028,0.47
30200,3,13.2011,-459.715,0.740098,0.425
30300,4,10.8275,-458.825,1.60476,0.446667
30400,4,12.82,-456.037,1.11964,0.44
30500,4,15.5233,-455.28,1.14627,0.45
30600,4,16.435,-457.376,1.63027,0.443333
30700,5,17.2488,-459.857,2.78769,0.455714
30800,5,13.781,-459.691,2.9428,0.45875
30900,5,16.376,-457.067,3.03488,0.458889
31000,5,15.625,-456.106,1.30335,0.467
31100,5,13.8001,-455.628,3.7944,0.43
31200,4,13.2887,-454.824,2.50253,0.455
31300,4,14.4164,-456.537,1.59926,0.456667
31400,4,14.2601,-457.185,2.11587,0.4525
31500,4,13.7139,-455.53,2.19144,0.456
31600,4,14.6165,-457.402,1.32886,0.458333
31700,3,8.78095,-457.069,1.55277,0.455714
31800,3,9.2262,-455.941,1.46763,0.44875
31900,3,12.1179,-455.643,0.882914,0.454444
32000,3,10.8872,-459.462,1.48666,0.477375
32100,3,9.34344,-459.191,1.98377,0.51
32200,3,8.26089,-462.297,2.25202,0.52
32300,3,9.92096,-465.219,1.11093,0.513333
32400,2,9.23448,-470.666,1.17079,0.505
32500,2,9.15308,-466.203,1.20979,0.482
32600,2,6.56049,-463.644,2.04843,0.47
32700,2,7.40604,-462.903,0.777588,0.467143
32800,2,7.9667,-463.29,1.02632,0.45875
32900,2,7.00072,-465.038,2.40568,0.463333
33000,2,9.75693,-465.976,0.763757,0.4482
33100,2,9.21895,-467.443,0.948835,0.42
33200,2,8.62835,-465.382,1.91209,0.395
33300,3,9.89819,-466.985,3.579,0.396667
33400,3,9.29828,-464.647,2.75331,0.3925
33500,2,9.29615,-463.945,1.273,0.41
33600,2,7.39309,-463.695,2.88794,0.408333
33700,2,5.09475,-462.872,2.87587,0.408571
33800,2,7.99089,-464.682,0.337927,0.405
33900,2,8.95439,-458.778,1.78352,0.403333
34000,2,9.63559,-459.192,0.570489,0.4098
34100,2,8.32826,-462.5,1.29696,0.43
34200,2,8.29249,-460.808,1.98323,0.42
34300,3,11.5668,-463.019,0.921803,0.426667
34400,4,15.2429,-459.55,0.857015,0.445
34500,4,12.6764,-462.368,1.23999,0.444
34600,4,13.1487,-464.71,2.23122,0.445
34700,4,11.7424,-465.069,4.21631,0.444286
34800,4,13.8625,-462.751,2.72625,0.45125
34900,2,9.37677,-463.49,1.05051,0.452222
35000,2,9.76749,-466.295,0.255514,0.444
35100,3,6.96324,-468.52,3.68155,0.45
35200,3,9.27859,-465.313,1.28122,0.455
35300,3,5.77276,-461.264,2.50541,0.456667
35400,2,9.38696,-462.61,1.73672,0.455
35500,2,8.89759,-461.034,1.27522,0.468
35600,2,7.85243,-460.152,2.55526,0.466667
35700,2,7.14231,-460.493,2.46319,0.47
35800,2,6.46402,-459.691,3.27157,0.47
35900,2,8.8974,-468.993,0.71193,0.462222
36000,3,10.9391,-460.659,2.28901,0.465
36100,3,9.67653,-460.843,3.37063,0.36
36200,3,7.02345,-464.254,4.21681,0.42
36300,3,9.7922,-460.945,1.06368,0.38
36400,3,10.0602,-461.407,1.20322,0.39
36500,3,7.76925,-459.999,1.72325,0.4
36600,2,8.28604,-457.6,0.618248,0.411667
36700,2,9.49123,-462.221,0.84529,0.427143
36800,2,9.8345,-458.121,0.977573,0.42875
36900,2,9.14971,-456.194,0.599652,0.428889
37000,3,11.6938,-456.639,0.835531,0.434
37100,2,6.03651,-459.891,1.55687,0.37
37200,2,6.59982,-457.234,2.27682,0.37
37300,3,8.51541,-460.139,2.96687,0.4
37400,3,11.4022,-458.674,0.793587,0.425
37500,2,6.40826,-457.141,1.80216,0.438
37600,3,11.3015,-457.367,1.67647,0.441667
37700,3,10.9576,-457.87,1.52042,0.435714
37800,5,16.9345,-458.336,2.28466,0.44375
37900,5,14.1028,-458.014,4.51182,0.448889
38000,4,9.35717,-457.176,4.05143,0.459
38100,5,14.2734,-455.501,2.14389,0.4
38200,5,14.8773,-453.017,3.13015,0.44
38300,3,11.227,-451.702,2.05587,0.44
38400,4,13.4635,-452.197,1.62188,0.4325
38500,4,6.51872,-451.229,5.67793,0.452
38600,4,12.4968,-451.961,2.71599,0.451667
38700,3,9.30521,-450.44,2.34505,0.448571
38800,3,8.13893,-456.722,3.65268,0.45875
38900,2,7.18347,-458.269,2.82765,0.455556
39000,2,9.04012,-459.966,0.969051,0.455
39100,2,7.79098,-456.693,1.92741,0.51
39200,2,5.43016,-458.612,0.566606,0.54
39300,2,1.54656,-456.488,1.42445,0.49
39400,3,1.19614,-457.278,1.12568,0.475
39500,3,6.53261,-450.678,2.10227,0.48
39600,6,15.4165,-452.165,3.1076,0.485
39700,6,16.7899,-449.266,2.02521,0.485714
39800,6,11.1011,-450.742,5.38876,0.48875
39900,6,14.2506,-454.886,3.34591,0.495556
40000,4,13.8048,-462.532,2.27169,0.476625
40100,3,8.8177,-461.821,4.15974,0.45
40200,4,11.6752,-461.65,1.48091,0.47
40300,3,10.2101,-462.002,1.30973,0.473333
40400,3,10.4296,-464.59,1.60339,0.48
40500,4,9.2904,-466.878,2.97826,0.49
40600,2,1.86008,-467.8,2.68478,0.48
40700,2,4.11428,-468.138,0.425384,0.454286
40800,2,7.60178,-465.39,1.52206,0.44125
40900,2,7.5419,-468.409,1.31035,0.435556
41000,2,8.41638,-468.921,0.234355,0.43
41100,3,11.7988,-470.328,0.951286,0.46
41200,3,9.90169,-469.27,2.78374,0.46
41300,2,9.85347,-467.563,0.535244,0.443333
41400,2,6.8959,-466.607,1.7732,0.4425
41500,2,5.34549,-467.566,2.3591,0.432
41600,2,2.4042,-469.54,1.59848,0.426667
41700,2,8.08703,-466.355,0.672725,0.428571
41800,2,6.92665,-470.12,1.17776,0.435
41900,2,6.21241,-466.152,2.04194,0.438889
42000,3,11.3264,-468.314,2.35154,0.444
42100,3,10.4714,-469.003,3.12269,0.46
42200,4,16.3793,-465.423,2.00211,0.475
42300,4,17.0429,-466.739,1.29665,0.48
42400,3,12.1232,-458.894,0.938243,0.4975
42500,3,11.1694,-459.716,2.5076,0.464
42600,3,10.9613,-455.005,1.27615,0.456667
42700,3,8.41671,-458.207,2.45727,0.461429
42800,3,7.75469,-454.881,1.67877,0.4575
42900,3,9.43057,-454.803,1.57142,0.455556
43000,3,10.2791,-453.457,1.74419,0.457
43100,3,8.70216,-456.78,2.18716,0.42
43200,3,3.16831,-455.006,5.227,0.435
43300,3,6.4665,-452.416,4.51502,0.44
43400,3,6.65901,-455.662,5.8118,0.4375
43500,3,11.6037,-455.309,1.27898,0.428
43600,3,10.3512,-454.432,2.8868,0.428333
43700,3,8.17803,-455.852,4.08537,0.432857
43800,4,12.8931,-456.185,1.63741,0.4375
43900,4,13.6957,-455.45,1.13849,0.441111
44000,4,13.5506,-457.198,2.11099,0.446
44100,5,18.2733,-456.475,3.81457,0.41
44200,5,18.39,-455.3,3.3561,0.435
44300,6,16.5286,-458.262,4.53723,0.436667
44400,6,15.4941,-460.171,4.53723,0.4425
44500,7,20.3533,-459.882,2.2347,0.438
44600,7,17.5676,-459.858,2.63726,0.451667
44700,7,21.6546,-457.651,2.01195,0.462857
44800,7,16.9833,-457.133,3.91283,0.4725
44900,7,14.1051,-454.444,5.16813,0.477778
45000,3,8.3352,-453.889,2.4519,0.444
45100,3,8.00027,-455.515,3.72878,0.4
45200,3,11.6375,-459.702,1.34562,0.435
45300,4,12.9349,-459.038,2.80327,0.4
45400,3,12.4144,-458.227,0.787416,0.4025
45500,3,10.1724,-457.78,2.86409,0.41
45600,3,11.3005,-455.186,2.00551,0.41
45700,3,10.3478,-455.322,2.73021,0.401429
45800,4,14.9723,-455.899,1.76253,0.3975
45900,3,12.538,-457.213,1.13952,0.395556
46000,4,12.2503,-463.523,2.18587,0.407
46100,3,7.43342,-463.304,3.72907,0.52
46200,3,10.764,-461.682,2.83562,0.49
46300,3,11.767,-469.668,1.53977,0.493333
46400,3,10.543,-462.21,1.62854,0.485
46500,4,13.272,-468.623,2.25739,0.468
46600,5,17.9398,-466.41,2.41841,0.476667
46700,5,17.8675,-464.566,2.37422,0.491429
46800,6,15.992,-463.151,5.09685,0.49375
46900,4,12.286,-467.007,2.77787,0.498889
47000,5,14.4497,-465.494,5.81969,0.489
47100,6,22.1947,-465.815,2.65359,0.5
47200,5,11.6226,-470.053,7.76509,0.51
47300,4,13.6108,-470.688,1.94509,0.533333
47400,4,13.6555,-468.456,1.84778,0.5125
47500,3,11.9766,-467.463,1.02939,0.526
47600,2,7.6078,-467.635,1.58808,0.526667
47700,2,7.95393,-466.362,1.11794,0.525714
47800,2,8.41349,-466.261,1.23497,0.52
47900,2,9.73157,-464.864,0.882646,0.51
48000,2,8.73153,-467.354,1.26496,0.496
48100,2,9.41161,-466.094,0.675703,0.45
48200,2,9.85069,-465.81,1.02791,0.46
48300,2,8.75902,-466.209,2.09897,0.433333
48400,2,9.58535,-465.172,0.141215,0.44
48500,2,7.18918,-467.61,3.24378,0.426
48600,2,10.0722,-467.314,0.787231,0.416667
48700,2,8.56241,-465.349,2.10594,0.417143
48800,2,8.60443,-463.238,1.95444,0.41
48900,2,9.9299,-461.361,0.76556,0.404444
49000,2,10.2336,-465.14,0.277103,0.399
49100,2,8.9005,-462.924,2.67999,0.45
49200,3,10.5277,-459.4,4.42082,0.44
49300,3,10.8172,-461.559,3.32701,0.426667
49400,4,9.8513,-458.784,1.46087,0.45
49500,4,7.14455,-459.781,4.347,0.444
49600,3,1.16181,-456.2,4.81573,0.433333
49700,3,4.76073,-456.652,1.88287,0.431429
49800,3,7.80655,-456.573,2.14841,0.42
49900,3,6.21522,-453.852,1.0208,0.423333
50000,3,8.86531,-464.964,1.09247,0.438789
50100,3,10.0274,-462.634,1.86817,0.44
50200,3,10.0357,-463.507,2.66838,0.47
50300,3,14.1409,-458.375,0.655849,0.483333
50400,3,11.7959,-460.952,3.13227,0.48
50500,2,9.24718,-463.244,1.2607,0.472
50600,2,9.97125,-460.294,1.45951,0.466667
50700,2,9.79588,-458.689,0.562386,0.461429
50800,2,8.45711,-465.376,0.730315,0.45875
50900,2,5.70972,-464.933,1.12177,0.445556
51000,2,4.75205,-464.548,2.20192,0.427
51100,3,12.8597,-463.345,1.27681,0.42
51200,3,9.89471,-462.126,4.1709,0.42
51300,3,11.3274,-460.153,1.5467,0.45
51400,4,12.1321,-463.125,4.01255,0.4575
51500,2,8.72752,-461.179,1.27899,0.438
51600,2,9.29099,-461.527,0.995837,0.431667
51700,3,10.0634,-461.2,1.58035,0.428571
51800,2,8.8351,-460.921,1.01604,0.4225
51900,2,8.2195,-460.259,0.926384,0.422222
52000,2,5.06806,-463.931,2.65971,0.423667
52100,2,7.34407,-464.278,0.640014,0.47
52200,2,8.893,-463.463,2.39572,0.45
52300,2,9.15459,-464.809,1.73247,0.443333
52400,2,10.3562,-466.425,0.564488,0.435
52500,2,8.51629,-464.722,2.00174,0.44
52600,2,9.88149,-463.427,0.897492,0.431667
52700,2,7.88175,-462.733,2.3243,0.425714
52800,2,9.54138,-461.913,1.0821,0.42625
52900,2,10.2775,-461.668,0.848206,0.426667
53000,2,5.64428,-463.826,3.41904,0.431
53100,3,9.11817,-465.173,1.59696,0.41
53200,3,7.51271,-461.312,0.396898,0.395
53300,3,9.32073,-462.428,2.57276,0.406667
53400,3,12.5698,-464.184,2.1999,0.42
53500,2,9.30404,-463.861,1.91679,0.434
53600,2,10.9686,-462.236,0.388972,0.446667
53700,2,10.3403,-461.592,0.900765,0.447143
53800,2,8.0183,-459.696,3.0002,0.43625
53900,3,12.7857,-461.635,1.48934,0.442222
54000,3,11.5167,-458.745,1.29435,0.439
54100,3,12.3838,-460.988,0.685757,0.44
54200,3,12.6797,-462.918,1.27464,0.425
54300,3,10.9682,-461.823,1.80847,0.433333
54400,3,7.18722,-463.347,2.24274,0.4275
54500,2,8.84151,-462.17,0.962256,0.446
54600,2,5.37962,-460.875,1.23855,0.445
54700,2,8.40775,-460.47,1.10773,0.448571
54800,3,7.8729,-461.362,2.70954,0.4475
54900,2,8.73169,-462.693,0.850773,0.444444
55000,4,9.53357,-459.104,4.08671,0.43125
55100,4,12.1128,-457.02,2.13549,0.51
55200,4,11.3215,-455.377,1.56942,0.53
55300,4,10.6153,-457.164,1.49925,0.526667
55400,4,6.14498,-455.824,3.84641,0.5175
55500,4,13.5389,-454.487,1.23129,0.504
55600,4,15.4335,-454.077,2.06189,0.495
55700,4,13.1828,-456.143,3.7395,0.492857
55800,4,13.3523,-456.557,3.99082,0.49375
55900,4,14.5445,-455.887,3.07598,0.495556
56000,4,14.5542,-455.841,2.95575,0.5
56100,5,13.3647,-454.331,6.7064,0.39
56200,5,15.4066,-454.415,3.03068,0.475
56300,6,18.865,-457.702,1.906,0.476667
56400,5,15.9523,-458.981,2.91625,0.495
56500,4,14.8179,-460.386,2.16226,0.498
56600,4,15.2351,-460.452,2.79776,0.493333
56700,4,17.0722,-462.672,0.921722,0.484286
56800,4,16.2043,-460.306,1.9408,0.4825
56900,4,13.0135,-459.19,3.94002,0.47
57000,5,16.2147,-457.483,3.23863,0.450923
