generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Calliandra_longipes,Afrocalliandra_gilbertii,0,0.032,0,0.005,0
1000,Calliandra_longipes,Afrocalliandra_gilbertii,0,0.294662,-0.00257628,0.0115648,0
1000,Calliandra_gardneri,NA,16.4393,0.0439304,-0.0630489,1.63388,0
2000,Calliandra_longipes,Afrocalliandra_gilbertii,0,0.248293,0.0119295,0.0435651,0
2000,Calliandra_renvoizeana,Calliandra_debilis,12.8488,1.15607,-0.041549,0.315266,0
3000,Calliandra_longipes,Afrocalliandra_gilbertii,0,0.66525,-0.0630348,0.0138654,0
3000,Calliandra_renvoizeana,Calliandra_haematomma,11.1619,1.01482,-0.0186418,0.280915,0
4000,Calliandra_longipes,Afrocalliandra_gilbertii,0,0.707501,-0.0687661,0.0326516,0
4000,Calliandra_renvoizeana,Calliandra_haematomma,10.009,1.19551,-0.104771,0.237888,0
5000,Calliandra_longipes,Afrocalliandra_gilbertii,0,0.19863,0.0276474,0.00861554,0
5000,Calliandra_renvoizeana,Calliandra_debilis,13.6363,1.40671,-0.0756578,0.294023,0
6000,Calliandra_longipes,Afrocalliandra_gilbertii,0,0.286622,-0.00459341,0.0314209,0
6000,Calliandra_renvoizeana,Calliandra_sp1,8.44754,0.625494,0.0816586,0.464696,0
7000,Calliandra_longipes,Afrocalliandra_gilbertii,0,0.165787,0.0882152,0.00287761,0
7000,Calliandra_haematomma,NA,14.9091,0.102502,0.1124,1.05315,0
7000,Calliandra_sp1,NA,9.99186,0.0583266,0.0678637,0.274559,0
7000,Calliandra_renvoizeana,Calliandra_sp1,8.82712,0.808222,0.0148113,0.0701489,0
7000,Calliandra_gardneri,NA,8.77706,0.138643,0.0196277,0.143021,0
7000,Afrocalliandra_gilbertii,Afrocalliandra_redacta,7.11458,1.15116,-0.139273,0.547034,0
8000,Calliandra_longipes,Afrocalliandra_gilbertii,0,0.152498,0.0833104,0.0159572,0
8000,Calliandra_haematomma,NA,16.5938,0.0946599,-0.0172937,1.23618,0
8000,Afrocalliandra_redacta,NA,16.5369,1.06512,0.0504855,0.701668,0
8000,Calliandra_renvoizeana,Calliandra_haematomma,9.64423,0.424325,0.039079,0.0353964,0
8000,Afrocalliandra_gilbertii,Afrocalliandra_redacta,6.58314,1.47596,-0.102408,1.11184,0
9000,Calliandra_longipes,Afrocalliandra_gilbertii,0,0.210205,0.0799054,0.0217151,0
9000,Calliandra_mollissima,NA,17.0222,0.107464,-0.0210204,0.162693,0
10000,Calliandra_longipes,Afrocalliandra_gilbertii,0,0.235902,0.0260749,0.0137649,0
10000,Calliandra_gardneri,NA,5.59409,0.0783051,-0.0696904,0.144415,0
10000,Calliandra_brenesii,NA,16.5113,1.33519,-0.092899,0.413244,0
10000,Calliandra_renvoizeana,Calliandra_debilis,12.8681,0.874552,0.050029,0.0268186,0
11000,Calliandra_longipes,Afrocalliandra_gilbertii,0,0.504765,-0.0322862,0.00322667,0
11000,Calliandra_renvoizeana,Calliandra_debilis,12.2714,1.43589,-0.0442321,0.816961,0
12000,Calliandra_longipes,Afrocalliandra_gilbertii,0,0.346229,-0.0197094,0.0497721,0
12000,Calliandra_renvoizeana,Calliandra_debilis,13.3748,1.2471,-0.111114,0.151706,0
13000,Calliandra_longipes,Afrocalliandra_gilbertii,0,0.181382,0.0472994,0.0172571,0
14000,Calliandra_longipes,Afrocalliandra_gilbertii,0,0.18443,0.101076,0.0343819,0
14000,Calliandra_dolichopoda,NA,17.0356,0.217677,-0.0556576,0.123669,0
14000,Calliandra_eriophylla,NA,16.2166,0.564133,0.0574759,0.956782,0
15000,Calliandra_longipes,Afrocalliandra_gilbertii,0,0.350174,0.00148116,0.0867125,0
16000,Calliandra_longipes,Afrocalliandra_gilbertii,0,0.193314,0.0104336,0.000630294,0
16000,Calliandra_renvoizeana,Calliandra_debilis,13.0831,0.725948,-0.00154353,0.0718706,0
17000,Calliandra_longipes,Afrocalliandra_gilbertii,0,0.195901,0.0132488,0.00465001,0
17000,Calliandra_renvoizeana,Calliandra_debilis,13.0485,0.769072,-0.0359724,0.0762625,0
18000,Calliandra_longipes,Afrocalliandra_gilbertii,0,0.164092,0.0416922,0.00360105,0
18000,Calliandra_renvoizeana,Calliandra_debilis,13.2067,1.18704,-0.0824835,0.186446,0
19000,Calliandra_longipes,Afrocalliandra_gilbertii,0,0.18949,0.0574448,0.0333418,0
19000,Calliandra_pedicellata,NA,14.5399,0.506012,-0.0701395,1.36242,0
19000,Calliandra_renvoizeana,Calliandra_debilis,13.3645,0.716406,0.0612315,0.178131,0
20000,Calliandra_longipes,Afrocalliandra_gilbertii,0,0.331466,-0.00618827,0.0432509,0
20000,Calliandra_renvoizeana,Calliandra_debilis,12.9116,1.09128,0.0358087,0.286919,0
20000,Afrocalliandra_gilbertii,Afrocalliandra_redacta,3.95743,0.290907,0.00976391,0.431643,0
21000,Calliandra_longipes,Afrocalliandra_gilbertii,0,0.220507,0.0494159,0.0326538,0
21000,Calliandra_renvoizeana,Calliandra_haematomma,11.3726,0.757446,0.0544879,0.378865,0
22000,Calliandra_longipes,Afrocalliandra_gilbertii,0,0.128547,-0.0745846,0.0332796,0
22000,Calliandra_longipes,Calliandra_tsugoides,5.87244,1.06782,-0.136163,0.0411361,0
22000,Calliandra_renvoizeana,Calliandra_debilis,13.1858,1.13416,-0.0327758,0.143143,0
23000,Calliandra_longipes,Afrocalliandra_gilbertii,0,0.506877,-0.154607,0.013178,0
23000,Calliandra_longipes,Calliandra_hirsuta,6.50432,1.17623,-0.178026,0.038317,0
23000,Calliandra_renvoizeana,Calliandra_haematomma,11.6321,1.1187,-0.0264107,0.389749,0
