generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Marcetia_grandiflora,Comolia_lythrarioides,0,0.032,0,0.005,0
1000,Marcetia_grandiflora,Comolia_lythrarioides,0,0.127636,0.0800367,0.0490281,0
2000,Marcetia_grandiflora,Comolia_lythrarioides,0,0.320238,-0.018314,0.0654503,0
2000,Marcetia_grandiflora,Comolia_coriacea,1.77554,0.256135,0.0175081,0.240155,0
3000,Marcetia_grandiflora,Comolia_lythrarioides,0,0.410456,-0.00568051,0.304712,0
4000,Marcetia_grandiflora,Comolia_lythrarioides,0,0.101919,0.0484288,0.0422004,0
4000,Marcetia_grandiflora,Marcetia_latifolia,18.6333,0.739258,0.0140614,0.221791,0
5000,Marcetia_grandiflora,Comolia_lythrarioides,0,0.130502,0.0118422,0.0265433,0
5000,Marcetia_grandiflora,Marcetia_latifolia,18.6894,0.560987,0.0220509,0.093385,0
5000,Acisanthera_alsinaefolia,Acisanthera_uniflora,24.0209,0.864169,0.0428605,0.624294,0
6000,Marcetia_grandiflora,Comolia_lythrarioides,0,0.140349,0.00631943,0.0210458,0
6000,Marcetia_grandiflora,Marcetia_latifolia,20.9003,0.675081,0.00646797,0.256747,0
7000,Marcetia_grandiflora,Comolia_lythrarioides,0,0.377138,-0.0272048,0.12117,0
7000,Marcetia_grandiflora,Marcetia_latifolia,22.5375,0.999738,-0.0643491,0.315774,0
7000,Comolia_vernicosa,NA,27.0953,0.912975,-0.04802,0.107319,0
8000,Marcetia_grandiflora,Comolia_lythrarioides,0,0.195707,-0.00650474,0.0319726,0
8000,Marcetia_grandiflora,Marcetia_latifolia,22.4391,0.932602,-0.0498353,0.380174,0
9000,Marcetia_grandiflora,Comolia_lythrarioides,0,0.252203,-0.00953792,0.117162,0
9000,Marcetia_grandiflora,Marcetia_latifolia,19.2078,0.700454,-0.0108129,0.197987,0
9000,Aciotis_polystachya,Aciotis_purpurascens,19.0694,0.579562,0.0219722,0.531955,0
9000,Sandemania_hoehnei,NA,26.8765,0.21814,0.0858876,1.37246,0
10000,Marcetia_grandiflora,Comolia_lythrarioides,0,0.140715,0.0305168,0.0651294,0
10000,Marcetia_grandiflora,Marcetia_latifolia,21.8061,1.23813,-0.0438327,0.613059,0
10000,Comolia_coriacea,Comolia_montana,27.7523,0.771052,0.0542099,3.61858,0
10000,Comolia_vernicosa,Sandemania_hoehnei,17.2838,0.0446456,0.0291822,0.0431688,0
10000,Comolia_coriacea,Comolia_montana,23.7549,0.69092,-0.0172266,1.16219,0
11000,Marcetia_grandiflora,Comolia_lythrarioides,0,0.185578,-0.00189407,0.0874973,0
11000,Marcetia_grandiflora,Marcetia_latifolia,18.4555,0.486175,-0.00194769,0.124559,0
11000,Acisanthera_alsinaefolia,Acisanthera_uniflora,26.0389,1.47368,0.0246937,1.26011,0
12000,Marcetia_grandiflora,Comolia_lythrarioides,0,0.0736269,0.0403003,0.000720481,0
12000,Marcetia_grandiflora,Marcetia_latifolia,16.6659,0.382585,0.0292843,0.0282375,0
12000,Acisanthera_alsinaefolia,Acisanthera_variabilis,23.7122,0.515835,0.0227818,0.010724,0
