generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Pseudotrimezia_planifolia,Neomarica_northiana,0,0.032,0,0.005,0
1000,Pseudotrimezia_planifolia,Neomarica_northiana,0,0.34567,0.149451,0.218499,0
2000,Pseudotrimezia_planifolia,Neomarica_northiana,0,0.337392,0.0665052,0.0610059,0
3000,Pseudotrimezia_planifolia,Neomarica_northiana,0,0.246099,0.209024,0.0231025,0
3000,Neomarica_northiana,Neomarica_eburnea,9.16629,1.38664,0.0605266,0.012038,0
4000,Pseudotrimezia_planifolia,Neomarica_northiana,0,0.24874,0.162548,0.0308976,0
4000,Neomarica_northiana,Neomarica_glauca,7.8552,1.38458,0.10957,0.522183,0
5000,Pseudotrimezia_planifolia,Neomarica_northiana,0,0.285539,0.0784052,0.0554739,0
5000,Pseudiris_speciosa,NA,8.8988,0.194217,0.205512,2.11924,0
5000,Neomarica_northiana,Neomarica_rigida,5.87342,1.32272,0.0205468,0.611607,0
6000,Pseudotrimezia_planifolia,Neomarica_northiana,0,0.446944,0.0169683,0.0469264,0
6000,Trimezia_steyermarkii,NA,6.78164,0.974261,-0.00909279,0.76039,0
6000,Neomarica_northiana,Neomarica_eburnea,9.39949,1.48135,0.0512007,0.551863,0
7000,Pseudotrimezia_planifolia,Neomarica_northiana,0,0.816117,-0.0240528,0.524798,0
8000,Pseudotrimezia_planifolia,Neomarica_northiana,0,0.953941,-0.0263142,0.59169,0
9000,Pseudotrimezia_planifolia,Neomarica_northiana,0,0.282408,0.00979005,0.0516172,0
9000,Trimezia_steyermarkii,NA,7.69354,1.09245,-0.0292792,0.587265,0
9000,Neomarica_northiana,Neomarica_glauca,8.04483,2.00273,-0.0451897,0.967533,0
10000,Pseudotrimezia_planifolia,Neomarica_northiana,0,0.313083,0.0429575,0.00944706,0
10000,Trimezia_spathata,NA,8.80292,0.626262,0.073228,0.406832,0
10000,Neomarica_northiana,Neomarica_eburnea,9.46838,2.57749,-0.101649,1.84486,0
11000,Pseudotrimezia_planifolia,Neomarica_northiana,0,0.293141,0.0255692,0.0344826,0
11000,Neomarica_northiana,Neomarica_eburnea,9.54451,2.27241,-0.113707,0.301556,0
11000,Trimezia_campanula,NA,9.84409,1.5815,-0.182465,1.63738,0
11000,Neomarica_floscella,NA,10.8135,1.19627,0.0029877,0.459541,0
12000,Pseudotrimezia_planifolia,Neomarica_northiana,0,0.312892,0.0507116,0.170853,0
12000,Neomarica_northiana,Neomarica_unca,8.92791,1.3768,-0.0160253,0.17837,0
13000,Pseudotrimezia_planifolia,Neomarica_northiana,0,0.33311,0.016048,0.0238583,0
13000,Neomarica_northiana,Neomarica_glauca,7.84928,1.09424,0.105633,0.458569,0
14000,Pseudotrimezia_planifolia,Neomarica_northiana,0,0.30169,0.0383145,0.051641,0
14000,Neomarica_northiana,Neomarica_glauca,7.37604,1.37116,0.0587239,0.5904,0
15000,Pseudotrimezia_planifolia,Neomarica_northiana,0,0.652772,-0.058382,0.118886,0
15000,Neomarica_northiana,Neomarica_glauca,7.59632,1.2623,-0.0261282,0.578858,0
16000,Pseudotrimezia_planifolia,Neomarica_northiana,0,0.327143,0.135998,0.191486,0
17000,Pseudotrimezia_planifolia,Neomarica_northiana,0,0.545048,-0.018408,0.191382,0
17000,Neomarica_northiana,Neomarica_eburnea,9.23637,2.03813,0.0156951,0.115069,0
18000,Pseudotrimezia_planifolia,Neomarica_northiana,0,0.320756,0.0324322,0.0624072,0
18000,Pseudotrimezia_sp1,NA,8.54285,0.0048135,0.147338,0.448657,0
18000,Neomarica_northiana,Neomarica_imbricata,3.67823,1.20786,0.13145,1.71509,0
19000,Pseudotrimezia_planifolia,Neomarica_northiana,0,0.321648,0.102732,0.282591,0
19000,Neomarica_northiana,Neomarica_glauca,6.50508,4.70881,-0.116047,2.64551,0
20000,Pseudotrimezia_planifolia,Neomarica_northiana,0,0.363816,0.00110822,0.0661553,0
20000,Neomarica_northiana,Neomarica_unca,8.56469,1.70486,-0.0103408,0.577702,0
21000,Pseudotrimezia_planifolia,Neomarica_northiana,0,0.238007,0.0767976,0.0498101,0
21000,Pseudiris_speciosa,NA,6.57932,0.109785,-0.0508419,0.0196941,0
21000,Neomarica_northiana,Neomarica_unca,8.31303,1.09062,0.0911278,0.0467632,0
22000,Pseudotrimezia_planifolia,Neomarica_northiana,0,0.73669,-0.0757948,0.179647,0
22000,Pseudotrimezia_planifolia,Pseudotrimezia_elegans,7.38544,0.650947,-0.0613129,0.192188,0
22000,Neomarica_northiana,Neomarica_eburnea,9.0908,2.00033,0.176458,1.49552,0
23000,Pseudotrimezia_planifolia,Neomarica_northiana,0,0.435298,-0.0839852,0.0471077,0
23000,Pseudotrimezia_planifolia,Pseudotrimezia_elegans,6.95609,0.588373,-0.0995742,0.0570505,0
23000,Neomarica_northiana,Neomarica_glauca,8.03274,1.32502,0.210194,0.925999,0
24000,Pseudotrimezia_planifolia,Neomarica_northiana,0,0.550078,-0.0235585,0.0256982,0
25000,Pseudotrimezia_planifolia,Neomarica_northiana,0,0.277274,0.102367,0.0916636,0
25000,Pseudiris_speciosa,NA,3.98449,0.19552,0.0237177,0.254777,0
26000,Pseudotrimezia_planifolia,Neomarica_northiana,0,0.291326,0.148487,0.148498,0
27000,Pseudotrimezia_planifolia,Neomarica_northiana,0,0.367572,-0.0238999,0.00826233,0
27000,Pseudotrimezia_planifolia,Pseudotrimezia_elegans,7.59296,1.28864,-0.103344,0.0109352,0
27000,Neomarica_northiana,Neomarica_glauca,6.97007,0.810667,0.173021,0.138796,0
28000,Pseudotrimezia_planifolia,Neomarica_northiana,0,0.211935,0.123077,0.0276116,0
28000,Pseudotrimezia_planifolia,Pseudotrimezia_elegans,7.43305,1.06675,-0.052831,0.0634009,0
28000,Neomarica_northiana,Neomarica_glauca,8.06247,1.1468,-0.00577113,0.248458,0
28000,Neomarica_imbricata,Neomarica_sp1,9.39028,1.03073,-0.10269,1.65659,0
29000,Pseudotrimezia_planifolia,Neomarica_northiana,0,1.22086,-0.128368,0.161805,0
29000,Neomarica_northiana,Neomarica_unca,8.74694,2.26921,0.0484015,1.55594,0
30000,Pseudotrimezia_planifolia,Neomarica_northiana,0,1.66138,-0.0471358,1.097,0
31000,Pseudotrimezia_planifolia,Neomarica_northiana,0,0.41852,0.101616,0.321031,0
32000,Pseudotrimezia_planifolia,Neomarica_northiana,0,1.05179,-0.0160829,0.68567,0
33000,Pseudotrimezia_planifolia,Neomarica_northiana,0,0.439565,0.0689141,0.163989,0
