hpd_names,cleaned_names,accepted_name,,clade,sampling_fraction,ITS (nuclear),matK (chloroplast),,Reference ,,,campo_rupestre,non_campo_rupestre
Bonatea_antennifera,Bonatea_antennifera,Bonatea antennifera Rolfe,,(outgroup),(outgroup),DQ522049.1,DQ522082.1,,Batista et al. 2013,,,0,1
Bonatea_boltonii,Bonatea_boltonii,Bonatea boltonii (Harv.) Bolus,,(outgroup),(outgroup),DQ522054.1,DQ522083.1,,Batista et al. 2013,,,0,1
Bonatea_bracteata,Bonatea_bracteata,Habenaria transvaalensis Schltr.,,(outgroup),(outgroup),DQ522057.1,DQ522084.1,,Batista et al. 2013,,,0,1
Bonatea_cassidea,Bonatea_cassidea,Bonatea cassidea Sond.,,(outgroup),(outgroup),DQ522059.1,DQ522085.1,,Batista et al. 2013,,,0,1
Bonatea_lamprophylla,Bonatea_lamprophylla,Bonatea lamprophylla J.Stewart,,(outgroup),(outgroup),DQ522060.1,DQ522086.1,,Batista et al. 2013,,,0,1
Bonatea_polypodantha,Bonatea_polypodantha,Bonatea polypodantha (Rchb.f.) L.Bolus,,(outgroup),(outgroup),DQ522062.1,DQ522087.1,,Batista et al. 2013,,,0,1
Bonatea_porrecta,Bonatea_porrecta,Bonatea porrecta (Bolus) Summerh.,,(outgroup),(outgroup),DQ522064.1,DQ522088.1,,Batista et al. 2013,,,0,1
Bonatea_pulchella,Bonatea_pulchella,Bonatea pulchella Summerh.,,(outgroup),(outgroup),DQ522066.1,DQ522089.1,,Batista et al. 2013,,,0,1
Bonatea_saundersioides,Bonatea_saundersioides,Bonatea saundersioides (Kraenzl. & Schltr.) Cortesi,,(outgroup),(outgroup),DQ522067.1,DQ522090.1,,Batista et al. 2013,,,0,1
Bonatea_speciosa,Bonatea_speciosa,Bonatea speciosa (L.f.) Willd.,,(outgroup),(outgroup),DQ522069.1,DQ522091.1,,Batista et al. 2013,,,0,1
Cynorkis_grandiflora,Cynorkis_grandiflora,Cynorkis uniflora Lindl.,,(outgroup),(outgroup),EF079186.1,EF065584.1,,Batista et al. 2013,,,0,1
Disa_ochrostachya,Disa_ochrostachya,Disa ochrostachya Rchb.f.,,(outgroup),(outgroup),DQ414966.1,DQ415109.1,,Batista et al. 2013,,,0,1
Disa_uniflora,Disa_uniflora,Disa uniflora P.J.Bergius,,(outgroup),(outgroup),DQ414864.1,DQ415007.1,,Batista et al. 2013,,,0,1
Gennaria_diphylla,Gennaria_diphylla,Gennaria diphylla (Link) Parl.,,(outgroup),(outgroup),AY351380.1,AY368383.1,,Batista et al. 2013,,,0,1
Habenaria_achalensis,Habenaria_achalensis,Habenaria achalensis Kraenzl.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777526.1,HM777794.1,,Batista et al. 2013,,,0,1
Habenaria_alata,Habenaria_alata,Habenaria alata Hook.,,(BAMM analysis not performed),(BAMM analysis not performed),HF560562.1,HF560586.1,,Batista et al. 2013,,,0,1
Habenaria_alpestris,Habenaria_alpestris,Habenaria alpestris Cogn.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777655.1,HM777952.1,,Batista et al. 2013,,,1,1
Habenaria_anisitsii,Habenaria_anisitsii,Habenaria anisitsii Kraenzl.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777668.1,HM777920.1,,Batista et al. 2013,,,1,1
Habenaria_araneiflora,Habenaria_araneiflora,Habenaria araneiflora Barb.Rodr.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777527.1,HM777795.1,,Batista et al. 2013,,,0,1
Habenaria_aranifera,Habenaria_aranifera,Habenaria repens Nutt.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777626.1,HM777819.1,,Batista et al. 2013,,,0,1
Habenaria_arenaria,Habenaria_arenaria,Habenaria arenaria Lindl.,,(outgroup),(outgroup),DQ522073.1,HF560587.1,,Batista et al. 2013,,,0,1
Habenaria_armata,Habenaria_armata,Habenaria armata Rchb.f.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777677.1,HM777931.1,,Batista et al. 2013,,,1,1
Habenaria_ayangannensis,Habenaria_ayangannensis,Habenaria ayangannensis Renz,,(BAMM analysis not performed),(BAMM analysis not performed),HM777706.1,HM777934.1,,Batista et al. 2013,,,1,0
Habenaria_bahiensis,Habenaria_bahiensis,Habenaria bahiensis Schltr.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777562.1,HM777808.1,,Batista et al. 2013,,,1,0
Habenaria_balansae_Batista2382,Habenaria_balansae,Habenaria balansae Cogn.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777682.1,HM777884.1,,Batista et al. 2013,,,1,1
Habenaria_batesii,Habenaria_batesii,Habenaria batesii la Croix,,(BAMM analysis not performed),(BAMM analysis not performed),HF560564.1,HF560588.1,,Batista et al. 2013,,,0,1
Habenaria_brachyphyton,Habenaria_brachyphyton,Habenaria parviflora Lindl.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777557.1,HM777797.1,,Batista et al. 2013,,,0,1
Habenaria_bractescens,Habenaria_bractescens,Habenaria bractescens Lindl.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777615.1,HM777839.1,,Batista et al. 2013,,,0,1
Habenaria_brevidens_Batista2617,Habenaria_brevidens,Habenaria brevidens Lindl.,,(BAMM analysis not performed),(BAMM analysis not performed),KC257473.1,HM777902.1,,Batista et al. 2013,,,1,0
Habenaria_brevilabiata,Habenaria_brevilabiata,Habenaria brevilabiata A.Rich. & Galeotti,,(BAMM analysis not performed),(BAMM analysis not performed),HF560565.1,HF560589.1,,Batista et al. 2013,,,0,1
Habenaria_caldensis_Batista1798,Habenaria_caldensis,Habenaria caldensis Kraenzl.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777646.1,HM777882.1,,Batista et al. 2013,,,1,0
Habenaria_calicis,Habenaria_calicis,Habenaria calicis R.GonzÃ¡lez,,(BAMM analysis not performed),(BAMM analysis not performed),HF560566.1,HF560590.1,,Batista et al. 2013,,,0,1
Habenaria_canantrensis,Habenaria_canantrensis,Habenaria canastrensis J.A.N.Bat. & B.M.Carvalho,,(BAMM analysis not performed),(BAMM analysis not performed),HM777726.1,HM777941.1,,Batista et al. 2013,,,1,0
Habenaria_cardiostigmatica,Habenaria_cardiostigmatica,Habenaria cardiostigmatica J.A.N.Bat. & Bianch.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777575.1,HM778018.1,,Batista et al. 2013,,,1,0
Habenaria_ciliatisepala_Batista1610,Habenaria_ciliatisepala,Habenaria ciliatisepala J.A.N.Bat. & Bianch.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777567.1,HM777997.1,,Batista et al. 2013,,,1,0
Habenaria_clavata,Habenaria_clavata,Habenaria clavata (Lindl.) Rchb.f.,,(BAMM analysis not performed),(BAMM analysis not performed),DQ522074.1,DQ522093.1,,Batista et al. 2013,,,0,1
Habenaria_clipeata,Habenaria_clipeata,Habenaria clypeata Lindl.,,(BAMM analysis not performed),(BAMM analysis not performed),HF560567.1,HF560591.1,,Batista et al. 2013,,,0,1
Habenaria_coxipoensis,Habenaria_coxipoensis,Habenaria coxipoensis Hoehne,,(BAMM analysis not performed),(BAMM analysis not performed),HM777536.1,HM777905.1,,Batista et al. 2013,,,1,1
Habenaria_crassicornis,Habenaria_crassicornis,Habenaria crassicornis Lindl.,,(BAMM analysis not performed),(BAMM analysis not performed),HF560568.1,HF560592.1,,Batista et al. 2013,,,0,1
Habenaria_crucifera,Habenaria_crucifera,Habenaria crucifera Rchb.f. & Warm.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777574.1,KC257476.1,,Batista et al. 2013,,,1,1
Habenaria_crucifera_var_brevidactyla,Habenaria_crucifera_var_brevidactyla,Habenaria crucifera Rchb.f. & Warm.,,(BAMM analysis not performed),(BAMM analysis not performed),KC257471.1,HM778014.1,,Batista et al. 2013,,,1,0
Habenaria_cryptophila,Habenaria_cryptophila,Habenaria cryptophila Barb.Rodr.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777582.1,HM777870.1,,Batista et al. 2013,,,1,1
Habenaria_culicina,Habenaria_culicina,Habenaria culicina Rchb.f. & Warm.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777571.1,HM778012.1,,Batista et al. 2013,,,1,1
Habenaria_cultellifolia,Habenaria_cultellifolia,Habenaria cultellifolia Barb.Rodr.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777675.1,HM777923.1,,Batista et al. 2013,,,1,1
Habenaria_curti_bradei,Habenaria_curti_bradei,Habenaria curti ,,(BAMM analysis not performed),(BAMM analysis not performed),HM777667.1,HM777918.1,,Batista et al. 2013,,,1,1
Habenaria_curvilabra_vandenBerg1573,Habenaria_curvilabra,Habenaria curvilabra Barb.Rodr.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777598.1,HM777860.1,,Batista et al. 2013,,,1,0
Habenaria_depressifolia,Habenaria_depressifolia,Habenaria depressifolia Hoehne,,(BAMM analysis not performed),(BAMM analysis not performed),HM777601.1,HM777868.1,,Batista et al. 2013,,,1,0
Habenaria_distans_Jimenez2662,Habenaria_distans,Habenaria distans Griseb.,,(BAMM analysis not performed),(BAMM analysis not performed),HF560569.1,HF560593.1,,Batista et al. 2013,,,1,0
Habenaria_dives,Habenaria_dives,Habenaria dives Rchb.f.,,(BAMM analysis not performed),(BAMM analysis not performed),DQ522075.1,DQ522095.1,,Batista et al. 2013,,,0,1
Habenaria_edwallii,Habenaria_edwallii,Habenaria edwallii Cogn.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777564.1,HM777803.1,,Batista et al. 2013,,,1,1
Habenaria_egleriana_Batista2378,Habenaria_egleriana,Habenaria egleriana J.A.N.Batista & Bianchetti,,(BAMM analysis not performed),(BAMM analysis not performed),HM777695.1,HM777962.1,,Batista et al. 2013,,,1,0
Habenaria_espinhacensis_Batista2814,Habenaria_espinhacensis,Habenaria espinhacensis ,,(BAMM analysis not performed),(BAMM analysis not performed),HM777701.1,HM777949.1,,Batista et al. 2016,,,1,0
Habenaria_exaltata,Habenaria_exaltata,Habenaria exaltata Barb.Rodr.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777621.1,HM777829.1,,Batista et al. 2013,,,0,1
Habenaria_aff_filifera,Habenaria_filifera,NA,,(BAMM analysis not performed),(BAMM analysis not performed),HF560571.1,HF560595.1,,Batista et al. 2013,,,0,1
Habenaria_aff_flexuosa,Habenaria_flexuosa,NA,,(BAMM analysis not performed),(BAMM analysis not performed),HF560572.1,HF560596.1,,Batista et al. 2013,,,0,1
Habenaria_fluminensis,Habenaria_fluminensis,Habenaria fluminensis Hoehne,,(BAMM analysis not performed),(BAMM analysis not performed),HM777659.1,HM777945.1,,Batista et al. 2013,,,1,1
Habenaria_glaucophylla_var_brevifolia,Habenaria_glaucophylla_var_brevifolia,Habenaria glaucophylla Barb.Rodr.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777632.1,HM777876.1,,Batista et al. 2013,,,1,1
Habenaria_glaucophylla_var_glaucophylla,Habenaria_glaucophylla_var_glaucophylla,Habenaria glaucophylla Barb.Rodr.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777631.1,HM777875.1,,Batista et al. 2013,,,1,1
Habenaria_glazioviana,Habenaria_glazioviana,Habenaria glazioviana Kraenzl.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777545.1,HM777849.1,,Batista et al. 2013,,,0,1
Habenaria_gonzalez_tamayoi,Habenaria_gonzalez_tamayoi,Habenaria gonzalez ,,(BAMM analysis not performed),(BAMM analysis not performed),HF560573.1,HF560597.1,,Batista et al. 2013,,,0,1
Habenaria_gourlieana,Habenaria_gourlieana,Habenaria gourlieana Gill. ex Lindl.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777612.1,HM777844.1,,Batista et al. 2013,,,0,1
Habenaria_guadalajarana,Habenaria_guadalajarana,Habenaria guadalajarana S.Watson,,(BAMM analysis not performed),(BAMM analysis not performed),HF560574.1,HF560598.1,,Batista et al. 2013,,,0,1
Habenaria_guilleminii_Batista2414,Habenaria_guilleminii,Habenaria guilleminii Rchb.f.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777542.1,HM777898.1,,Batista et al. 2013,,,1,1
Habenaria_gustavo_edwallii_Batista2537,Habenaria_gustavo_edwallii,Habenaria gustavo ,,(BAMM analysis not performed),(BAMM analysis not performed),HM777529.1,HM777793.1,,Batista et al. 2013,,,0,1
Habenaria_hamata_Batista1519,Habenaria_hamata,Habenaria hamata Barb.Rodr.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777586.1,HM777865.1,,Batista et al. 2013,,,1,1
Habenaria_henscheniana_Batista2802,Habenaria_henscheniana,Habenaria henscheniana Barb.Rodr.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777623.1,HM777828.1,,Batista et al. 2013,,,0,1
Habenaria_heptadactyla,Habenaria_heptadactyla,Habenaria heptadactyla Rchb.f.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777653.1,HM777956.1,,Batista et al. 2013,,,1,1
Habenaria_heringeri,Habenaria_heringeri,Habenaria heringeri Pabst,,(BAMM analysis not performed),(BAMM analysis not performed),HM777602.1,HM777915.1,,Batista et al. 2013,,,1,0
Habenaria_hexaptera_Batista2399,Habenaria_hexaptera,Habenaria hexaptera Lindl.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777538.1,HM777909.1,,Batista et al. 2013,,,1,1
