hpd_name,cleaned_name,accepted_name,clade,sampling_fraction,,ITS (nuclear),ETS (nuclear),rpl32 - trnL (plastid),ndhf (plastid),,Reference ,,campo_rupestre,non_campo_rupestre
Heterocoma_lanuginosa,Heterocoma_lanuginosa,"Heterocoma lanuginosa (Glaz. ex Oliv.) Loeuille, J.N. Nakaj. & Semir",Heterocoma,1,,,,KM243819.1,,,Loeuille et al. 2015,,1,0
Heterocoma_robinsoniana,Heterocoma_robinsoniana,"Heterocoma robinsoniana Loeuille, J. N. Nakaj. & Semir",Heterocoma,1,,KM278346.1,KM278413.1,KM358503.1,KM278485.1,,Loeuille et al. 2015,,1,0
Hololepis_pedunculata,Hololepis_pedunculata,Hololepis pedunculata (DC. ex Pers.) DC.,Hololepis,0.5,,KM053307.1,KM278414.1,KM243795.1,KM243855.1,,Loeuille et al. 2015,,1,1
Lychnophora_bishopii,Lychnophora_bishopii,Lychnophora bishopii H.Rob.,Lychnophorella,0.55,,KM053315.1,KM278419.1,KM243804.1,KM243863.1,,Loeuille et al. 2015,,1,0
Lychnophora_crispa,Lychnophora_crispa,Lychnophora crispa Mattf.,Lychnophora,0.57,,KM278350.1,KM278420.1,KM358473.1,KM278489.1,,Loeuille et al. 2015,,1,0
Lychnophora_diamantinana,Lychnophora_diamantinana,Lychnophora diamantinana Coile & Jones,Lychnophora,0.57,,KM278351.1,KM278421.1,KM358514.1,KM278490.1,,Loeuille et al. 2015,,1,0
Lychnophora_ericoides,Lychnophora_ericoides,Lychnophora ericoides Mart.,Lychnophora,0.57,,KM053316.1,KM278422.1,KM243805.1,KM243864.1,,Loeuille et al. 2015,,1,0
Lychnophora_gardneri,Lychnophora_gardneri,Lychnophora gardneri Sch.Bip.,Lychnophora,0.57,,KM278352.1,KM278423.1,KM358512.1,KM278491.1,,Loeuille et al. 2015,,1,0
Lychnophora_granmogolensis,Lychnophora_granmogolensis,Lychnophora granmogolensis (Duarte) Semir,Lychnophora,0.57,,KM278353.1,KM278424.1,KM358501.1,KM278492.1,,Loeuille et al. 2015,,1,0
Lychnophora_humillima,Lychnophora_humillima,Lychnophora humillima Sch.Bip.,Lychnocephalus,1,,KM278354.1,KM278425.1,KM358494.1,KM278493.1,,Loeuille et al. 2015,,1,0
Lychnophora_markgravii,Lychnophora_markgravii,Lychnophora markgravii G.M.Barroso,Maschalostachys,1,,KM278357.1,KM278428.1,KM358480.1,KM278496.1,,Loeuille et al. 2015,,1,0
Lychnophora_mello_barretoi,Lychnophora_mello_barretoi,,Lychnocephalus,1,,KM278358.1,KM278430.1,KM358513.1,KM278497.1,,Loeuille et al. 2015,,1,0
Lychnophora_passerina,Lychnophora_passerina,Lychnophora passerina (Mart. ex DC.) Gardner,Lychnophora,0.57,,KM053317.1,KM278431.1,KM243806.1,KM243865.1,,Loeuille et al. 2015,,1,0
Lychnophora_pinaster,Lychnophora_pinaster,Lychnophora pinaster Mart.,Lychnophora,0.57,,KM278360.1,KM278432.1,KM358483.1,KM278499.1,,Loeuille et al. 2015,,1,1
Lychnophora_ramosissima,Lychnophora_ramosissima,Lychnophora ramosissima Gardner,Lychnophora,0.57,,KM278361.1,KM278433.1,KM358515.1,KM278500.1,,Loeuille et al. 2015,,1,0
Lychnophora_regis,Lychnophora_regis,Lychnophora regis H.Rob.,Lychnophorella,0.55,,KM278362.1,KM278434.1,KM358523.1,KM278501.1,,Loeuille et al. 2015,,1,0
Lychnophora_salicifolia,Lychnophora_salicifolia,Lychnophora salicifolia Mart.,Lychnophora,0.57,,KM053318.1,KM278435.1,KM243807.1,KM243866.1,,Loeuille et al. 2015,,1,0
Lychnophora_santosii,Lychnophora_santosii,Lychnophora santosii H.Rob.,Lychnophorella,0.55,,KM278363.1,KM278436.1,KM358488.1,KM278502.1,,Loeuille et al. 2015,,1,0
Lychnophora_sellowii,Lychnophora_sellowii,Lychnophora sellowii Sch.Bip.,Lychnocephalus,1,,KM278364.1,KM278437.1,KM358495.1,KM278503.1,,Loeuille et al. 2015,,1,0
Lychnophora_sp_BL_2014b,Lychnophora_sp1,NA,Lychnocephalus,1,,KM278355.1,KM278426.1,KM358502.1,KM278494.1,,Loeuille et al. 2015,,1,0
Lychnophora_sp_BL_2014c,Lychnophora_sp2,NA,Maschalostachys2,1,,KM278356.1,KM278427.1,KM358474.1,KM278495.1,,Loeuille et al. 2015,,1,0
Lychnophora_sp_BL_2014a,Lychnophora_sp3,NA,Lychnophora,0.57,,KM278359.1,KM278429.1,KM358475.1,KM278498.1,,Loeuille et al. 2015,,1,0
Lychnophora_syncephala,Lychnophora_syncephala,Lychnophora syncephala (Sch.Bip.) Sch.Bip.,Eremanthus,0.74,,KM278365.1,KM278438.1,KM358487.1,KM278504.1,,Loeuille et al. 2015,,1,1
Lychnophora_tomentosa,Lychnophora_tomentosa,Lychnophora tomentosa (Mart. ex DC.) Sch.Bip.,Lychnocephalus,1,,KM278366.1,KM278439.1,KM358525.1,KM278505.1,,Loeuille et al. 2015,,1,0
Lychnophora_triflora_,Lychnophora_triflora,Lychnophora triflora (Mattf.) H.Rob.,Lychnophorella,0.55,,KM278367.1,KM278440.1,KM358524.1,KM278506.1,,Loeuille et al. 2015,,1,0
