hpd_name,cleaned_name,accepted_name,clade,sampling_fraction,,,,,Reference,,cr,nonCr
Acanthochlamys_bracteata,Acanthochlamys_bracteata,Acanthochlamys bracteata P.C.Kao,Acanthochlamys,1,,(tree obtained directly from author),,,Alcantara et al. 2018,,0,1
Barbacenia_bishopii,Barbacenia_bishopii,Barbacenia bishopii L.B.Sm.,Barbacenia,0.49,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Barbacenia_blackii,Barbacenia_blackii,Barbacenia blackii L.B.Sm.,Barbacenia,0.49,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Barbacenia_blanchetii,Barbacenia_blanchetii,Barbacenia blanchetii Goethart & Henrard,Barbacenia,0.49,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Barbacenia_celiae,Barbacenia_celiae,Barbacenia celiae Maguire,Barbacenia,0.49,,(tree obtained directly from author),,,Alcantara et al. 2018,,0,1
Barbacenia_coccinea,Barbacenia_coccinea,Barbacenia coccinea Mart. ex Schult. & Schult.f.,Barbacenia,0.49,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Barbacenia_contasana,Barbacenia_contasana,Barbacenia contasana L.B.Sm. & Ayensu,Barbacenia,0.49,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Barbacenia_delicatula,Barbacenia_delicatula,Barbacenia delicatula L.B.Sm. & Ayensu,Barbacenia,0.49,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Barbacenia_excapa,Barbacenia_excapa,Barbacenia exscapa Mart.,Barbacenia,0.49,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Barbacenia_fanniae,Barbacenia_fanniae,Barbacenia fanniae (N.L.Menezes) Mello-Silva,Barbacenia,0.49,,(tree obtained directly from author),,,Alcantara et al. 2018,,0,1
Barbacenia_filamentifera,Barbacenia_filamentifera,Barbacenia filamentifera L.B.Sm. & Ayensu,Barbacenia,0.49,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Barbacenia_flava_var_flava,Barbacenia_flava_var_flava,Barbacenia flava Mart. ex Schult. & Schult.f.,Barbacenia,0.49,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,1
Barbacenia_flava_var_minor,Barbacenia_flava_var_minor,Barbacenia flava Mart. ex Schult. & Schult.f.,Barbacenia,0.49,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,1
Barbacenia_flavida,Barbacenia_flavida,Barbacenia flavida Goethart & Henrard,Barbacenia,0.49,,(tree obtained directly from author),,,Alcantara et al. 2018,,0,1
Barbacenia_fulva,Barbacenia_fulva,Barbacenia fulva Goethart & Henrard,Barbacenia,0.49,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,1
Barbacenia_gardneri,Barbacenia_gardneri,Barbacenia gardneri Seub.,Barbacenia,0.49,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Barbacenia_gentianoides,Barbacenia_gentianoides,Barbacenia gentianoides Goethart & Henrard,Barbacenia,0.49,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Barbacenia_glabra,Barbacenia_glabra,Barbacenia glabra Goethart & Henrard,Barbacenia,0.49,,(tree obtained directly from author),,,Alcantara et al. 2018,,0,1
Barbacenia_glutinosa,Barbacenia_glutinosa,Barbacenia glutinosa Goethart & Henrard,Barbacenia,0.49,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Barbacenia_gounelleana,Barbacenia_gounelleana,Barbacenia gounelleana Beauverd,Barbacenia,0.49,,(tree obtained directly from author),,,Alcantara et al. 2018,,0,1
Barbacenia_graminifolia,Barbacenia_graminifolia,Barbacenia graminifolia L.B.Sm.,Barbacenia,0.49,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Barbacenia_ignea,Barbacenia_ignea,Barbacenia ignea Mart. ex Schult. & Schult.f.,Barbacenia,0.49,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Barbacenia_involucrata,Barbacenia_involucrata,Barbacenia involucrata L.B.Sm.,Barbacenia,0.49,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Barbacenia_irwiniana,Barbacenia_irwiniana,Barbacenia irwiniana L.B.Sm.,Barbacenia,0.49,,(tree obtained directly from author),,,Alcantara et al. 2018,,0,1
Barbacenia_latifolia,Barbacenia_latifolia,Barbacenia latifolia L.B.Sm. & Ayensu,Barbacenia,0.49,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Barbacenia_longiflora,Barbacenia_longiflora,Barbacenia longiflora Mart.,Barbacenia,0.49,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Barbacenia_longiscapa,Barbacenia_longiscapa,Barbacenia longiscapa Goethart & Henrard,Barbacenia,0.49,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Barbacenia_lymansmithii,Barbacenia_lymansmithii,Barbacenia lymansmithii Mello-Silva & N.L.Menezes,Barbacenia,0.49,,(tree obtained directly from author),,,Alcantara et al. 2018,,0,1
