hpd_name,cleaned_name,accepted_name,clade,sampling_fraction,,ITS (nuclear),ETS (nuclear),trnL-F (plastid),trnE-UUC (plastid),,Reference,,campo_rupestre,non_campo_rupestre
Cassia_grandis,Cassia_grandis,Cassia grandis L.f.,(outgroup),not in BAMM,,FJ009820.1,,FJ009875.1,,,Rando et al. 2016,,0,1
Cassia_javanica,Cassia_javanica,Cassia javanica L.,(outgroup),not in BAMM,,FJ009821.1,,FJ009876.1,,,Rando et al. 2016,,0,1
Chamaecrista_absus,Chamaecrista_absus,Chamaecrista absus (L.) H.S.Irwin & Barneby,subsect Absus,0.311,,FJ009832.1,,FJ009886.1,,,Rando et al. 2016,,0,1
Chamaecrista_altoana,Chamaecrista_altoana,Chamaecrista altoana (H.S.Irwin & Barneby) H.S.Irwin & Barneby,subsect Absus,0.311,,MH806439,,MH828377 ,,,Souza et al. 2019,,1,0
Chamaecrista_amorimii,Chamaecrista_amorimii,Chamaecrista amorimii Barneby,Apoucoutia,0.08,,FJ009823.1,KP967071.1,FJ009878.1,KP966952.1,,Rando et al. 2016,,0,1
Chamaecrista_anamariae,Chamaecrista_anamariae,Chamaecrista anamariae Conc. et al.,subsect Absus,0.311,,FJ009826.1,,FJ009881.1,,,Rando et al. 2016,,1,0
Chamaecrista_anceps,Chamaecrista_anceps,Chamaecrista anceps (Benth.) H.S.Irwin & Barneby,Chamaecrista,0.5,,,,KP966898.1,KP966953.1,,Rando et al. 2016,,1,0
Chamaecrista_aristata,Chamaecrista_aristata,Chamaecrista aristata (Benth.) H.S.Irwin & Barneby,Chamaecrista,0.5,,KP967072.1,KP967070.1,KP966899.1,KP966954.1,,Rando et al. 2016,,1,0
Chamaecrista_azulana,Chamaecrista_azulana,Chamaecrista azulana (H.S.Irwin & Barneby) H.S.Irwin & Barneby,subsect Absus,0.311,,MH835355.1,,,,,Souza et al. 2019,,0,1
Chamaecrista_belemii,Chamaecrista_belemii,Chamaecrista belemii (H.S.Irwin & Barneby) H.S.Irwin & Barneby,subsect Absus,0.311,,DQ787389.1,,FJ009880.1,,,Rando et al. 2016,,1,1
Chamaecrista_belladonna,Chamaecrista_belladonna,Chamaecrista belladonna M. J. Silva & A. O. Souza,subsect Absus,0.311,,MH835356.1,,,,,Souza et al. 2019,,1,0
Chamaecrista_benthamiana,Chamaecrista_benthamiana,Chamaecrista benthamiana (Harms) H.S.Irwin & Barneby,subsect Absus,0.311,,MH835357.1,,,,,Souza et al. 2019,,1,0
Chamaecrista_blanchetii,Chamaecrista_blanchetii,Chamaecrista blanchetii (Benth.) Conc. et al.,Baseophyllum,0.135,,FJ009846.1,,FJ009900.1,,,Rando et al. 2016,,1,1
Chamaecrista_botryoides,Chamaecrista_botryoides,Chamaecrista botryoides Conc. et al.,subsect Absus,0.311,,FJ009836.1,,FJ009890.1,,,Rando et al. 2016,,1,0
Chamaecrista_brachyblepharis,Chamaecrista_brachyblepharis,Chamaecrista brachyblepharis (Harms) H.S.Irwin & Barneby,subsect Absus,0.311,,MH835358.1,,,,,Souza et al. 2019,,1,0
Chamaecrista_brachyrachis,Chamaecrista_brachyrachis,Chamaecrista brachyrachis (Harms) H.S.Irwin & Barneby,subsect Absus,0.311,,MH835359.1,,,,,Souza et al. 2019,,1,0
Chamaecrista_brachystachya,Chamaecrista_brachystachya,Chamaecrista brachystachya (Benth.) Conc. et al.,Baseophyllum,0.135,,FJ009847.1,KP967069.1,FJ009901.1,KP966955.1,,Rando et al. 2016,,1,1
Chamaecrista_brevicalyx,Chamaecrista_brevicalyx,Chamaecrista brevicalyx (Benth.) H.S.Irwin & Barneby,subsect Absus,0.311,,MH835360.1,,,,,Souza et al. 2019,,1,1
Chamaecrista_burchellii,Chamaecrista_burchellii,Chamaecrista burchellii (Benth.) H.S.Irwin & Barneby,Chamaecrista,0.5,,KP967073.1,KP967068.1,KP966900.1,KP966956.1,,Rando et al. 2016,,1,0
Chamaecrista_calycioides,Chamaecrista_calycioides,Chamaecrista calycioides (DC. ex Collad.) Greene,Chamaecrista,0.5,,FJ009863.1,,FJ009917.1,,,Rando et al. 2016,,0,1
Chamaecrista_campestris,Chamaecrista_campestris,Chamaecrista campestris H.S.Irwin & Barneby,subsect Absus,0.311,,FJ009829.1,,FJ009883.1,,,Rando et al. 2016,,0,1
Chamaecrista_campicola,Chamaecrista_campicola,Chamaecrista campicola (Harms) H.S.Irwin & Barneby,subsect Absus,0.311,,MH835362.1,,,,,Souza et al. 2019,,1,1
Chamaecrista_cardiostegia,Chamaecrista_cardiostegia,Chamaecrista cardiostegia H.S.Irwin & Barneby,Chamaecrista,0.5,,KP967074.1,KP967067.1,KP966901.1,KP966957.1,,Rando et al. 2016,,1,1
Chamaecrista_caribaea,Chamaecrista_caribaea,Chamaecrista caribaea Britton,Chamaecrista,0.5,,KP967075.1,KP967066.1,KP966902.1,KP966958.1,,Rando et al. 2016,,0,1
Chamaecrista_cathartica,Chamaecrista_cathartica,Chamaecrista cathartica (Mart.) H.S.Irwin & Barneby,subsect Absus,0.311,,FJ009841.1,KP967065.1,FJ009895.1,,,Rando et al. 2016,,1,1
Chamaecrista_choriophylla_Rando1034,Chamaecrista_choriophylla,Chamaecrista choriophylla (Vogel) H.S.Irwin & Barneby,Chamaecrista,0.5,,KP967076.1,KP967063.1,KP966904.1,KP966959.1,,Rando et al. 2016,,1,0
Chamaecrista_ciliolata_var_ciliolata,Chamaecrista_ciliolata_var_ciliolata,Chamaecrista ciliolata (Benth.) H.S.Irwin & Barneby,subsect Absus,0.311,,MH835364.1,,,,,Souza et al. 2019,,1,1
Chamaecrista_ciliolata_var_pulchella,Chamaecrista_ciliolata_var_pulchella,Chamaecrista ciliolata (Benth.) H.S.Irwin & Barneby,subsect Absus,0.311,,MH835365.1,,,,,Souza et al. 2019,,1,0
Chamaecrista_choriophylla_Rando661,Chamaecrista_cinerascens,Chamaecrista cinerascens (Vogel) H.S.Irwin & Barneby,Chamaecrista,0.5,,KP967077.1,KP967062.1,KP966905.1,KP966960.1,,Rando et al. 2016,,1,0
Chamaecrista_cipoana,Chamaecrista_cipoana,Chamaecrista cipoana (H.S.Irwin & Barneby) H.S.Irwin & Barneby,subsect Absus,0.311,,MH835366.1,,,,,Souza et al. 2019,,1,0
Chamaecrista_claussenii_var_claussenii,Chamaecrista_claussenii_var_claussenii,Chamaecrista claussenii (Benth.) H.S.Irwin & Barneby,subsect Absus,0.311,,MH835367.1,,,,,Souza et al. 2019,,1,1
Chamaecrista_confertiformis,Chamaecrista_confertiformis,Chamaecrista confertiformis (H.S.Irwin & Barneby) Conc. et al.,Baseophyllum,0.135,,FJ009848.1,,FJ009902.1,,,Rando et al. 2016,,1,0
Chamaecrista_coradinii,Chamaecrista_coradinii,Chamaecrista coradinii H.S.Irwin & Barneby,subsect Absus,0.311,,MH835368.1,,,,,Souza et al. 2019,,0,1
Chamaecrista_coriacea,Chamaecrista_coriacea,Chamaecrista coriacea (Benth.) H.S.Irwin & Barneby,Baseophyllum,0.135,,FJ009843.1,,FJ009897.1,,,Rando et al. 2016,,1,0
Chamaecrista_cytisoides,Chamaecrista_cytisoides,Chamaecrista cytisoides (DC. ex Collad.) H.S.Irwin & Barneby,Baseophyllum,0.135,,FJ009844.1,,FJ009898.1,,,Rando et al. 2016,,1,1
Chamaecrista_dalbergiifolia,Chamaecrista_dalbergiifolia,Chamaecrista dalbergiifolia (Benth.) H.S.Irwin & Barneby,subsect Absus,0.311,,FJ009837.1,,FJ009891.1,,,Rando et al. 2016,,1,1
Chamaecrista_dawsonii,Chamaecrista_dawsonii,Chamaecrista dawsonii (R.S.Cowan) H.S.Irwin & Barneby,subsect Absus,0.311,,MH835369.1,,,,,Souza et al. 2019,,1,0
Chamaecrista_decora,Chamaecrista_decora,Chamaecrista decora (H.S.Irwin & Barneby) Conc. et al.,Baseophyllum,0.135,,FJ009849.1,,FJ009903.1,,,Rando et al. 2016,,1,0
Chamaecrista_decumbens,Chamaecrista_decumbens,Chamaecrista decumbens (Benth.) H.S.Irwin & Barneby,subsect Absus,0.311,,MH835370.1,,,,,Souza et al. 2019,,1,0
