hpd_names,cleaned_names_Marcetieae,cleaned_names_Melastomateae,accepted_name,clade,sampling_fraction,,accd,ITS,psbK-psbK,atpH-atpF,ETS,trnS-trnG,,Reference,,campo_rupestre,non_campo_rupestre
Aciotis_rubricaulis,Aciotis_rubricaulis,x,Aciotis rubricaulis (Mart. ex DC.) Triana,Aciotis,0.61,,KU501165.1,,,KU501111.1,KF462816.1,KU500929.1,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Aciotis_rubricaulis_Goldenberg850,x,x,Aciotis rubricaulis (Mart. ex DC.) Triana,(not in BAMM),(not in BAMM),,JQ730253.1,JQ730042.1,JQ730462.1,,KU500993.1,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,(double entry),(double entry)
Acisanthera_alsinaefolia_,Acisanthera_alsinaefolia,x,Acisanthera alsinaefolia (DC.) Triana,Acisanthera,0.85,,KU501166.1,JQ730043.1,,KU501114.1,KF462817.1,KU500932.1,,"Michelangeli et al. (2012), Rocha et al. (2016)",,1,1
Acisanthera_alsinaefolia_Goldenberg826_,x,x,Acisanthera alsinaefolia (DC.) Triana,(not in BAMM),(not in BAMM),,JQ730254.1,JQ730043.1,JQ730463.1,KU501112.1,KU500995.1,KU500930.1,,"Michelangeli et al. (2012), Rocha et al. (2016)",,(double entry),(double entry)
Acisanthera_bivalvis,Acisanthera_bivalvis,x,Acisanthera bivalvis (Aubl.) Cogn.,Acisanthera,0.85,,KU501172.1,KU501064.1,,KU501117.1,KU501003.1,KU500936.1,,"Michelangeli et al. (2012), Rocha et al. (2016)",,1,1
Acisanthera_crassipes,Acisanthera_crassipes,x,Acisanthera crassipes (Naudin) Wurdack,Acisanthera,0.85,,,KU501065.1,,KU501118.1,KU501004.1,KU500937.1,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Acisanthera_genliseoides,Acisanthera_genliseoides,x,Acisanthera genliseoides (Hoehne) Wurdack,Acisanthera,0.85,,KU501173.1,KU501066.1,,KU501119.1,KU501005.1,KU500938.1,,"Michelangeli et al. (2012), Rocha et al. (2016)",,1,0
Acisanthera_hedyotoidea,Acisanthera_hedyotoidea,x,Acisanthera hedyotoidea Triana,(not in BAMM),(not in BAMM),,JQ730255.1,JQ730044.1,JQ730464.1,,KU501001.1,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Acisanthera_limnobios,Acisanthera_limnobios,x,Acisanthera limnobios (DC.) Triana,Acisanthera,0.85,,KU501174.1,,,,KU501002.1,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Acisanthera_paraguayensis,Acisanthera_paraguayensis,x,Acisanthera paraguayensis (Hook. f.) Cogn.,Acisanthera,0.85,,,,,KU501113.1,KU500994.1,KU500931.1,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Acisanthera_quadrata,Acisanthera_quadrata,x,Acisanthera quadrata Pers.,Acisanthera,0.85,,JQ730256.1,JQ730045.1,JQ730465.1,,KU500996.1,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,1,1
Acisanthera_sp1_Rocha830,Acisanthera_sp1,x,NA,Acisanthera,0.85,,KU501168.1,KU501060.1,,,KU500997.1,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Acisanthera_tetraptera,Acisanthera_tetraptera,x,Acisanthera tetraptera (Cogn.) Gleason,Acisanthera,0.85,,,KU501061.1,,KU501120.1,KU501007.1,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Acisanthera_uniflora,Acisanthera_uniflora,x,Acisanthera uniflora (Vahl) Gleason,Acisanthera,0.85,,KU501175.1,KU501067.1,,,,KU500939.1,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Acisanthera_variabilis,Acisanthera_variabilis,x,Acisanthera variabilis (DC.) Triana,Acisanthera,0.85,,KU501169.1,KU501062.1,,KU501115.1,KU500999.1,KU500933.1,,"Michelangeli et al. (2012), Rocha et al. (2016)",,1,1
Acisanthera_variabilis_var_gabriuscula,Acisanthera_variabilis_var_gabriuscula,x,Acisanthera variabilis (DC.) Triana,Acisanthera,0.85,,KU501170.1,,,,KU500998.1,KU500934.1,,"Michelangeli et al. (2012), Rocha et al. (2016)",,1,1
Amphorocalyx_multiflorus,x,x,Amphorocalyx multiflorus Baker,(not in BAMM),(not in BAMM),,JQ730257.1,JQ730046.1,JQ730466.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,(outgroup),(outgroup)
Amphorocalyx_rupestris,x,x,Amphorocalyx rupestris H. Perrier,(not in BAMM),(not in BAMM),,JQ730258.1,JQ730047.1,JQ730467.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,(outgroup),(outgroup)
Antherotoma_naudinii,x,x,Antherotoma naudinii Hook. f.,(not in BAMM),(not in BAMM),,JQ730259.1,JQ730048.1,,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,(outgroup),(outgroup)
Appendicularia_thymifolia,Appendicularia_thymifolia,x,Appendicularia thymifolia (Bonpl.) DC.,Nepsera,0.9,,JQ730260.1,JQ730049.1,JQ730468.1,KU501130.1,KF462820.1,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Arthrostema_ciliatum,x,x,Arthrostema ciliatum Ruiz & Pav.,(not in BAMM),(not in BAMM),,AY460429.1,,,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,(outgroup),(outgroup)
Arthrostema_ciliatum_Penneys1436,x,x,Arthrostema ciliatum Ruiz & Pav.,(not in BAMM),(not in BAMM),,DQ985619.1,,,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,(outgroup),(outgroup)
Brachyotum_benthamianum,x,Brachyotum_benthamianum,Brachyotum benthamianum Triana,(not in BAMM),(not in BAMM),,JQ730262.1,JQ730051.1,JQ730470.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Brachyotum_confertum,x,Brachyotum_confertum,Brachyotum confertum (Bonpl.) Triana,(not in BAMM),(not in BAMM),,JQ730263.1,JQ730052.1,JQ730471.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Brachyotum_fictum,x,Brachyotum_fictum,Brachyotum fictum Wurdack,(not in BAMM),(not in BAMM),,JQ730264.1,JQ730053.1,JQ730472.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Brachyotum_fraternum,x,Brachyotum_fraternum,Brachyotum fraternum Wurdack,(not in BAMM),(not in BAMM),,JQ730265.1,JQ730054.1,JQ730473.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Brachyotum_harlingii,x,Brachyotum_harlingii,Brachyotum harlingii Wurdack,(not in BAMM),(not in BAMM),,JQ730266.1,JQ730055.1,JQ730474.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Brachyotum_incrassatum,x,Brachyotum_incrassatum,Brachyotum incrassatum E. Cotton,(not in BAMM),(not in BAMM),,JQ730267.1,JQ730056.1,JQ730475.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Brachyotum_ledifolium,x,Brachyotum_ledifolium,Brachyotum ledifolium (Desr.) Triana,(not in BAMM),(not in BAMM),,JQ730268.1,JQ730057.1,JQ730476.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Brachyotum_lindenii,x,Brachyotum_lindenii,Brachyotum lindenii Cogn.,(not in BAMM),(not in BAMM),,JQ730269.1,JQ730058.1,JQ730477.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Brachyotum_microdon,x,Brachyotum_microdon,Brachyotum microdon (Naudin) Triana,(not in BAMM),(not in BAMM),,JQ730270.1,JQ730059.1,JQ730478.1,,KF462828.1,KU500951.1,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Brachyotum_rostratum,x,Brachyotum_rostratum,Brachyotum rostratum (Naudin) Triana,(not in BAMM),(not in BAMM),,JQ730271.1,JQ730060.1,JQ730479.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Bucquetia_glutinosa,x,Bucquetia_glutinosa,Bucquetia glutinosa (L. f.) DC.,(not in BAMM),(not in BAMM),,JQ730272.1,JQ730061.1,JQ730480.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Cambessedesia_espora,x,x,Cambessedesia espora (A. St.-Hil. ex Bonpl.) DC.,(not in BAMM),(not in BAMM),,JQ730273.1,JQ730062.1,JQ730481.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,(outgroup),(outgroup)
Cambessedesia_hilariana,x,x,Cambessedesia hilariana (Kunth) DC.,(not in BAMM),(not in BAMM),,JQ730274.1,JQ730063.1,JQ730482.1,,KF462835.1,KU500984.1,,"Michelangeli et al. (2012), Rocha et al. (2016)",,(outgroup),(outgroup)
Castratella_piloselloides,x,Castratella_piloselloides,Castratella piloselloides Naudin,(not in BAMM),(not in BAMM),,JQ730275.1,JQ730064.1,JQ730483.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Centradenia_grandifolia,x,Centradenia_grandifolia,Centradenia grandifolia (Schltdl.) Endl.,(not in BAMM),(not in BAMM),,JQ730276.1,JQ730065.1,,,KF462837.1,KU500987.1,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Centradenia_inaequilateralis,x,Centradenia_inaequilateralis,Centradenia inaequilateralis (Schltdl. & Cham.) G. Don,(not in BAMM),(not in BAMM),,JQ730277.1,JQ730066.1,JQ730484.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Chaetolepis_cufodontisii,x,Chaetolepis_cufodontisii,Chaetolepis cufodontisii Standl.,(not in BAMM),(not in BAMM),,JQ730278.1,JQ730067.1,JQ730485.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Chaetolepis_microphylla,x,Chaetolepis_microphylla,Chaetolepis microphylla (Bonpl.) Miq.,(not in BAMM),(not in BAMM),,JQ730279.1,JQ730068.1,JQ730486.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Chaetostoma_armatum,x,x,Chaetostoma armatum (Spreng.) Cogn.,(not in BAMM),(not in BAMM),,JQ730280.1,JQ730069.1,JQ730487.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,(outgroup),(outgroup)
Chaetostoma_pungens,x,x,Chaetostoma pungens DC.,(not in BAMM),(not in BAMM),,,JQ730065.1,,,KF462840.1,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,(outgroup),(outgroup)
Comolia_ayangannae,Comolia_ayangannae,x,Comolia ayangannae Wurdack,Acisanthera,0.85,,,JQ730069.1,,KU501116.1,KU501000.1,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Comolia_coriacea,Comolia_coriacea,x,Comolia coriacea Gleason,Cmontana,1,,KU501171.1,KU501063.1,,,KU501022.1,KU500935.1,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Comolia_edmundoi,Comolia_edmundoi,x,Comolia edmundoi Brade,Fritzschia,0.8,,,,,KU501121.1,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,1,0
Comolia_lanceiflora,Comolia_lanceiflora,x,Comolia lanceiflora (DC.) Triana,Fritzschia,0.8,,KU501176.1,,,KU501123.1,KU501009.1,KU500940.1,,"Michelangeli et al. (2012), Rocha et al. (2016)",,1,1
Comolia_leptophylla,Comolia_leptophylla,x,Comolia leptophylla (Bonpl.) Naudin,Comolia,0.8,,KU501177.1,KU501068.1,,,KU501015.1,KU500941.1,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Comolia_lythrarioides,Comolia_lythrarioides,x,Comolia villosa (Aubl.) Triana,Comolia,0.8,,,KU501072.1,,KU501124.1,KU501013.1,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Comolia_lythrarioides_Maguire27351,x,x,Comolia villosa (Aubl.) Triana,(not in BAMM),(not in BAMM),,KU501180.1,KU501071.1,,,KU501014.1,KU500944.1,,"Michelangeli et al. (2012), Rocha et al. (2016)",,(double entry),(double entry)
Comolia_microphylla,Comolia_microphylla,x,Comolia microphylla Benth.,Comolia,0.8,,JQ730281.1,JQ730070.1,JQ730488.1,KU501125.1,KF462841.1,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Comolia_montana,Comolia_montana,x,Comolia montana Wurdack,Cmontana,1,,JQ730281.1,JQ730070.1,,,KU501023.1,KU500945.1,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Comolia_ovalifolia,Comolia_ovalifolia,x,Comolia ovalifolia Triana,Comolia,0.8,,,KU501078.1,,,KU501020.1,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Comolia_sertularia,Comolia_sertularia,x,Comolia sertularia Triana,Fritzschia,0.8,,JQ730282.1,JQ730071.1,JQ730489.1,KU501122.1,KF462842.1,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,1,0
Comolia_sessilis,Comolia_sessilis,x,Comolia sessilis Triana,Fritzschia,0.8,,,JQ730071.1,,,KU501011.1,KU500988.1,,"Michelangeli et al. (2012), Rocha et al. (2016)",,1,0
Comolia_smithii,Comolia_smithii,x,Comolia smithii Wurdack,Comolia,0.8,,KU501178.1,,,,KU501018.1,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Comolia_sp_Rocha984,Comolia_sp1,x,NA,Fritzschia,0.8,,,KU501075.1,,,KU501010.1,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,1,0
Comolia_stenodon,Comolia_stenodon,x,Comolia stenodon Triana,Fritzschia,0.8,,,KU501069.1,,,KU501008.1,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,1,0
Comolia_vernicosa,Comolia_vernicosa,x,Comolia vernicosa (Benth.) Triana,Sandemania,1,,JQ730283.1,JQ730072.1,JQ730490.1,KU501149.1,KF462843.1,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Comolia_villosa_Michelangeli2200,x,x,Comolia villosa (Aubl.) Triana,(not in BAMM),(not in BAMM),,JQ730283.1,JQ730072.1,,KU501126.1,KU501017.1,KU500971.1,,"Michelangeli et al. (2012), Rocha et al. (2016)",,(double entry),(double entry)
Comolia_villosa_Rocha739,Comolia_villosa,x,Comolia villosa (Aubl.) Triana,Comolia,0.8,,,KU501076.1,,,KU501019.1,KU500946.1,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Comolia_villosa_var_villosa,x,x,Comolia villosa (Aubl.) Triana,(not in BAMM),(not in BAMM),,KU501181.1,KU501074.1,,,KU501016.1,KU500943.1,,"Michelangeli et al. (2012), Rocha et al. (2016)",,(double entry),(double entry)
Desmoscelis_villosa,x,Desmoscelis_villosa,Desmoscelis villosa (Aubl.) Naudin,(not in BAMM),(not in BAMM),,JQ730284.1,JQ730073.1,JQ730491.1,,KF462844.1,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,1,1
Dichaetanthera_africana,x,x,Dichaetanthera africana Jacq.-Fí©l.,(not in BAMM),(not in BAMM),,JQ730285.1,JQ730074.1,JQ730492.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,(outgroup),(outgroup)
Dichaetanthera_oblongifolia,x,x,Dichaetanthera oblongifolia Baker,(not in BAMM),(not in BAMM),,JQ730286.1,JQ730075.1,JQ730493.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,(outgroup),(outgroup)
Dionycha_bojerii,x,x,Dionycha bojerii Naudin,(not in BAMM),(not in BAMM),,JQ730287.1,JQ730076.1,JQ730494.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,(outgroup),(outgroup)
Dissotis_cf_phaeotricha,x,x,NA,(not in BAMM),(not in BAMM),,JQ730288.1,JQ730077.1,JQ730495.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,(outgroup),(outgroup)
Dissotis_multiflora,x,x,Dissotis multiflora (Sm.) Triana,(not in BAMM),(not in BAMM),,JQ730289.1,JQ730078.1,JQ730496.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,(outgroup),(outgroup)
Eriocnema_fulva,x,x,Eriocnema fulva Naudin,(not in BAMM),(not in BAMM),,JQ730291.1,EF418811.1,JQ730497.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,(outgroup),(outgroup)
Ernestia_adenotricha,Ernestia_adenotricha,x,Ernestia adenotricha L.Uribe,MacaireaErnestia,0.4,,,JQ730073.1,,KU501136.1,KU501026.1,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Ernestia_confertiflora,Ernestia_confertiflora,x,Ernestia confertiflora Wurdack,Nepsera,0.9,,JQ730292.1,JQ730079.1,JQ730498.1,,,KU500947.1,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Ernestia_cordifolia,Ernestia_cordifolia,x,Ernestia cordifolia O. Berg ex Triana,Epseudoernestia,1,,KU501186.1,KU501083.1,,KU501127.1,KU501021.1,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Ernestia_glandulosa,Ernestia_glandulosa,x,Ernestia glandulosa Gleason,Epseudoernestia,1,,JQ730293.1,JQ730080.1,JQ730499.1,KU501128.1,KF462847.1,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Ernestia_maguirei,Ernestia_maguirei,x,Ernestia maguirei Wurdack,MacaireaErnestia,0.4,,JQ730293.1,JQ730080.1,,,,KU500948.1,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Ernestia_ovata,Ernestia_ovata,x,Ernestia ovata Cogn.,MacaireaErnestia,0.4,,KU501182.1,KU501079.1,,KU501137.1,KU501028.1,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Ernestia_pullei,Ernestia_pullei,x,Ernestia pullei Gleason,Nepsera,0.9,,JQ730294.1,JQ730081.1,JQ730500.1,KU501129.1,KF462848.1,KU500958.1,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Ernestia_quadriseta,Ernestia_quadriseta,x,Ernestia quadriseta O. Berg ex Triana,MacaireaErnestia,0.4,,JQ730294.1,JQ730081.1,,,KU501029.1,KU500950.1,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Ernestia_rubra,Ernestia_rubra,x,Ernestia rubra Pulle,Nepsera,0.9,,KU501187.1,,,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Ernestia_tenella,Ernestia_tenella,x,Ernestia tenella (Bonpl.) DC.,MacaireaErnestia,0.4,,JQ730295.1,JQ730082.1,JQ730501.1,,KU501027.1,KU500949.1,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Fritzschia_aninostemon,Fritzschia_aninostemon,x,Fritzschia anisostemon Cham.,Fritzschia,0.8,,JQ730295.1,JQ730082.1,,,KU501012.1,KU500957.1,,"Michelangeli et al. (2012), Rocha et al. (2016)",,1,0
Fritzschia_erecta,Fritzschia_erecta,x,Fritzschia erecta Cham.,Fritzschia,0.8,,JQ730296.1,JQ730083.1,JQ730502.1,,KF462849.1,KU500942.1,,"Michelangeli et al. (2012), Rocha et al. (2016)",,1,0
Graffenrieda_latifolia,x,x,Graffenrieda latifolia (Naudin) Triana,(not in BAMM),(not in BAMM),,JQ730297.1,AY460450.1,JQ730503.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,(outgroup),(outgroup)
Graffenrieda_moritziana,x,x,Graffenrieda moritziana Triana,(not in BAMM),(not in BAMM),,JQ730298.1,AY460451.1,JQ730504.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,(outgroup),(outgroup)
Guyonia_ciliata,x,x,Guyonia ciliata Hook. f.,(not in BAMM),(not in BAMM),,,JQ730084.1,JQ730505.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,(outgroup),(outgroup)
Heterocentron_elegans,x,Heterocentron_elegans,Heterocentron elegans (Schltdl.) Kuntze,(not in BAMM),(not in BAMM),,JQ730299.1,JQ730085.1,JQ730506.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Heterocentron_muricatum,x,Heterocentron_muricatum,Heterocentron muricatum Gleason,(not in BAMM),(not in BAMM),,JQ730300.1,JQ730086.1,JQ730507.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Heterocentron_subtriplinervium,x,Heterocentron_subtriplinervium,Heterocentron subtriplinervium (Link & Otto) A. Braun & C.D. Bouchí©,(not in BAMM),(not in BAMM),,JQ730301.1,JQ730087.1,JQ730508.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Heterotis_decumbens,x,x,Heterotis decumbens Jacq.-Fí©l.,(not in BAMM),(not in BAMM),,JQ730302.1,JQ730088.1,JQ730509.1,,KF462853.1,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,(outgroup),(outgroup)
Heterotis_rotundifolia,x,x,Heterotis rotundifolia (Sm.) Jacq.-Fí©l.,(not in BAMM),(not in BAMM),,JQ730290.1,JQ730089.1,,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,(outgroup),(outgroup)
Itatiaia_cleistopetala,x,Itatiaia_cleistopetala,Itatiaia cleistopetala Ule,(not in BAMM),(not in BAMM),,JQ730303.1,JQ730090.1,JQ730510.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Lavoisiera_bicolor,x,x,Lavoisiera bicolor Naudin,(not in BAMM),(not in BAMM),,JQ730302.1,JQ730088.1,,KU501157.1,KF462855.1,KU500985.1,,"Michelangeli et al. (2012), Rocha et al. (2016)",,(outgroup),(outgroup)
Lavoisiera_imbricata,x,x,Lavoisiera imbricata DC.,(not in BAMM),(not in BAMM),,JQ730304.1,JQ730091.1,JQ730511.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,(outgroup),(outgroup)
Lavoisiera_mucorifera,x,x,Lavoisiera mucorifera DC.,(not in BAMM),(not in BAMM),,JQ730305.1,JQ730092.1,JQ730512.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,(outgroup),(outgroup)
Lavoisiera_pulchella,x,x,Lavoisiera pulchella Cham.,(not in BAMM),(not in BAMM),,JQ730306.1,JQ730093.1,JQ730513.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,(outgroup),(outgroup)
Macairea_lasiophylla,Macairea_lasiophylla,x,Macairea lasiophylla (Benth.) Wurdack,MacaireaErnestia,0.4,,KF407958.1,KF463033.1,,KU501134.1,KU501024.1,KU500981.1,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Macairea_multinervia,Macairea_multinervia,x,Macairea multinervia Benth.,MacaireaErnestia,0.4,,,KU501081.1,,KU501135.1,KU501025.1,KU500955.1,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Macairea_pachyphylla,Macairea_pachyphylla,x,Macairea pachyphylla Benth.,MacaireaErnestia,0.4,,KU501185.1,KU501082.1,,,KF462858.1,KU500956.1,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Macairea_radula,Macairea_radula,x,Macairea radula (Bonpl.) DC.,MacaireaErnestia,0.4,,JQ730307.1,JQ730095.1,JQ730514.1,KU501133.1,KF462859.1,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,1,1
Macairea_thyrsiflora,Macairea_thyrsiflora,x,Macairea thyrsiflora DC.,MacaireaErnestia,0.4,,JQ730308.1,JQ730096.1,JQ730515.1,KU501132.1,KF462860.1,KU500954.1,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Marcetia_acerosa,Marcetia_acerosa,x,Marcetia acerosa DC.,Marcetia,0.51,,KU501184.1,JQ730096.1,JQ730516.1,,,KU500953.1,,"Michelangeli et al. (2012), Rocha et al. (2016)",,1,0
Marcetia_alba,Marcetia_alba,x,Marcetia alba Ule,Marcetia,0.51,,,JQ730097.1,,,KU501040.1,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,1,0
Marcetia_bahiensis,Marcetia_bahiensis,x,Marcetia bahiensis (Brade & Markgr.) Wurdack,Marcetia,0.51,,KU501200.1,KU501095.1,,KU501140.1,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,1,0
Marcetia_candolleana,Marcetia_candolleana,x,Marcetia candolleana A.K.A.Santos & A.B.Martins,Marcetia,0.51,,KU501190.1,KU501086.1,,KU501139.1,KU501031.1,KU500961.1,,"Michelangeli et al. (2012), Rocha et al. (2016)",,1,0
Marcetia_canescens,Marcetia_canescens,x,Marcetia canescens Naudin,Marcetia,0.51,,KU501189.1,KU501085.1,,KU501143.1,KU501034.1,KU500960.1,,"Michelangeli et al. (2012), Rocha et al. (2016)",,1,0
Marcetia_eimeriana,Marcetia_eimeriana,x,Marcetia eimeariana A.B. Martins & Woodgyer,Marcetia,0.51,,JQ730309.1,JQ730098.1,JQ730517.1,,,KU500964.1,,"Michelangeli et al. (2012), Rocha et al. (2016)",,1,0
