hpd_names,cleaned_names_Marcetieae,cleaned_names_Melastomateae,accepted_name,clade,sampling_fraction,,accd,ITS,psbK-psbK,atpH-atpF,ETS,trnS-trnG,,Reference,,campo_rupestre,non_campo_rupestre
Acanthella_sprucei,Acanthella_sprucei,x,Acanthella sprucei Benth. & Hook. f.,(not in BAMM),(not in BAMM),,JQ730247.1,JQ730036.1,JQ730456.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Aciotis_acuminifolia,Aciotis_acuminifolia,x,Aciotis acuminifolia (Mart. ex DC.) Triana,(not in BAMM),(not in BAMM),,JQ730248.1,JQ730037.1,JQ730457.1,,,KU500922.1,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Aciotis_annua,Aciotis_annua,x,Aciotis annua (Mart. ex DC.) Triana,Aciotis,0.61,,KU501161.1,KU501052.1,,KU501106.1,KU500989.1,KU500923.1,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Aciotis_circaeifolia,Aciotis_circaeifolia,x,Aciotis circaeifolia (Bonpl.) Triana,Aciotis,0.61,,JQ730249.1,JQ730038.1,JQ730458.1,KU501108.1,KF462812.1,KU500926.1,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Aciotis_indecora,Aciotis_indecora,x,Aciotis indecora (Bonpl.) Triana,Aciotis,0.61,,KU501163.1,JQ730039.1,,KU501109.1,KF462813.1,KU500927.1,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Aciotis_indecora_Martin411,x,x,Aciotis indecora (Bonpl.) Triana,(not in BAMM),(not in BAMM),,JQ730250.1,JQ730039.1,JQ730459.1,,KU500991.1,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,(double entry),(double entry)
Aciotis_paludosa,Aciotis_paludosa,x,Aciotis paludosa (Mart. ex DC.) Triana,Aciotis,0.61,,JQ730251.1,JQ730040.1,JQ730460.1,,KF462814.1,KU500925.1,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Aciotis_polystachya,Aciotis_polystachya,x,Aciotis polystachya (Bonpl.) Triana,Aciotis,0.61,,KU501162.1,,,KU501107.1,KU500990.1,KU500924.1,,"Michelangeli et al. (2012), Rocha et al. (2016)",,1,0
Aciotis_purpurascens,Aciotis_purpurascens,x,Aciotis purpurascens (Aubl.) Triana,Aciotis,0.61,,KU501164.1,,,KU501110.1,KF462815.1,KU500928.1,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Aciotis_purpurascens_Martin422,x,x,Aciotis purpurascens (Aubl.) Triana,(not in BAMM),(not in BAMM),,JQ730252.1,JQ730041.1,JQ730461.1,,KU500992.1,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,(double entry),(double entry)
