hpd_name,cleaned_name,accepted_name,clade,sampling_fraction,trnD,Reference,campo_rupestre,non_campo_rupestre
Anadenanthera_colubrina_CEH2308,Anadenanthera_colubrina,Anadenanthera colubrina (Vell.) Brenan,(outgroup),(outgroup),FJ981975,Simon et al. (2009),(outgroup),(outgroup)
Microlobius_foetidus_CEH2150,Microlobius_foetidus,Microlobius foetidus (Jacq.) M.Sousa & G.Andrade,(outgroup),(outgroup),FJ981976,Simon et al. (2009),(outgroup),(outgroup)
Mimosa_acantholoba_acantholoba_RJE118,Mimosa_acantholoba_acantholoba,Mimosa acantholoba (Willd.) Poir.,B,0.75,FJ981977,Simon et al. (2009),0,1
Mimosa_acantholoba_eurycarpa_SAMA28,Mimosa_acantholoba_eurycarpa,Mimosa acantholoba (Willd.) Poir.,B,0.75,FJ981978,Simon et al. (2009),0,1
Mimosa_acapulcensis_ROR2,Mimosa_acapulcensis,Mimosa acapulcensis Robinson,V,0.92,FJ981979,Simon et al. (2009),0,1
Mimosa_accedens_LMB1005,Mimosa_accedens,Mimosa accedens Barneby,O,1,MT459465,Vasconcelos et al. (2020),1,0
Mimosa_acroconica_LMB651,x,(double entry),(double entry),(double entry),MT459466,Vasconcelos et al. (2020),(double entry),(double entry)
Mimosa_acroconica_LMB662,Mimosa_acroconica,Mimosa acroconica Barneby,O,1,MT459467,Vasconcelos et al. (2020),1,0
Mimosa_aculeaticarpa_MFS808,Mimosa_aculeaticarpa,Mimosa aculeaticarpa Ortega,B,0.75,FJ981980,Simon et al. (2009),0,1
Mimosa_acutistipula_acutistipula_JSS878,Mimosa_acutistipula_acutistipula,Mimosa acutistipula Benth.,D,0.58,MT459468,Vasconcelos et al. (2020),0,1
Mimosa_acutistipula_acutistipula_MFS705,x,(double entry),(double entry),(double entry),FJ981981,Simon et al. (2009),(double entry),(double entry)
Mimosa_adamantina_adamantina_VFD459,Mimosa_adamantina_adamantina,Mimosa adamantina Barneby,X,0.5,JF694255,Simon et al. (2011),1,0
Mimosa_adenantheroides_AMB945,Mimosa_adenantheroides,Mimosa adenantheroides (M.Martens & Galeotti) Benth.,B,0.75,FJ981982,Simon et al. (2009),0,1
Mimosa_adenantheroides_hystricosa_PT21201,Mimosa_adenantheroides_hystricosa,Mimosa adenantheroides (M.Martens & Galeotti) Benth.,B,0.75,FJ981983,Simon et al. (2009),0,1
Mimosa_adenocarpa_MFS728,Mimosa_adenocarpa,Mimosa adenocarpa Benth.,L,0.62,FJ981984,Simon et al. (2009),1,1
Mimosa_adenophylla_adenophylla_JSS1188,Mimosa_adenophylla_adenophylla,Mimosa adenophylla Taub.,N,1,MT459469,Vasconcelos et al. (2020),1,1
Mimosa_adenophylla_adenophylla_JSS988,x,(double entry),(double entry),(double entry),MT459470,Vasconcelos et al. (2020),(double entry),(double entry)
Mimosa_adenophylla_MFS458,x,(double entry),(double entry),(double entry),FJ981985,Simon et al. (2009),(double entry),(double entry)
Mimosa_adenophylla_mitis_LLCL184,Mimosa_adenophylla_mitis,Mimosa adenophylla Taub.,N,1,FJ981986,Simon et al. (2009),0,1
Mimosa_adenotricha_LMB668,Mimosa_adenotricha,Mimosa adenotricha Benth.,O,1,MT459471,Vasconcelos et al. (2020),1,0
Mimosa_adenotricha_LMB671,x,(double entry),(double entry),(double entry),MT459472,Vasconcelos et al. (2020),(double entry),(double entry)
Mimosa_adenotricha_VFD332,x,(double entry),(double entry),(double entry),FJ981987,Simon et al. (2009),(double entry),(double entry)
Mimosa_adpressa_Uruguay5,Mimosa_adpressa,Mimosa obstrigosa Burkart,X,0.5,MT459473,Vasconcelos et al. (2020),0,1
Mimosa_aff._aguapeia_LMB767,x,(double entry),(double entry),(double entry),MT459474,Vasconcelos et al. (2020),(double entry),(double entry)
