hpd_name,cleaned_name,accepted_name,clade,sampling_fraction,,ITS (nuclear),trnL-F (plastid),matK (plastid),,Reference,,campo_rupestre,non_campo_rupestre
Cattleya_gloedeniana,Cattleya_gloedeniana,Cattleya gloedeniana (Hoehne) Van den Berg,ser_Parviflorae,0.79,,AY008666.1,,,,Gustafsson et al. 2010,,0,1
Cattleya_hoehnei,Cattleya_hoehnei,Cattleya hoehnei Van den Berg,ser_Parviflorae,0.79,,AY008660.1,,,,Gustafsson et al. 2010,,0,1
Cattleya_kautskyana,Cattleya_kautskyana,Cattleya kautskyana (V.P.Castro & Chiron) Van den Berg,ser_Parviflorae,0.79,,FJ200188.1,,,,Gustafsson et al. 2010,,0,1
Cattleya_blumenscheinii2,Cattleya_sp,Cattleya sp.,NA,0.79,,AY008675.1,,,,Van den Berg et al. 2009,,0,1
Guarianthe_aurantiaca,Guarianthe_aurantiaca,Guarianthe aurantiaca (Bateman ex Lindl.) Dressler & W.E.Higgins,Guarianthe_Rhyncholaelia,0.83,,AF260209.1,AF267043.1,AF263812.1,,Van den Berg et al. 2009,,0,1
Guarianthe_bowringiana,Guarianthe_bowringiana,Guarianthe bowringiana (O'Brien) Dressler & W.E.Higgins,Guarianthe_Rhyncholaelia,0.83,,AF260212.1,AF267048.1,AF263814.1,,Van den Berg et al. 2009,,0,1
Guarianthe_skinneri,Guarianthe_skinneri,Guarianthe skinneri (Bateman) Dressler & W.E.Higgins,Guarianthe_Rhyncholaelia,0.83,,AF260211.1,AF267046.1,AF263813.1,,Van den Berg et al. 2009,,0,1
Rhyncholaelia_digbyana,Rhyncholaelia_digbyana,Rhyncholaelia digbyana (Lindl.) Schltr.,Guarianthe_Rhyncholaelia,0.83,,AF260221.1,AF267062.1,AF263822.1,,Van den Berg et al. 2009,,0,1
Rhyncholaelia_glauca,Rhyncholaelia_glauca,Rhyncholaelia glauca (Lindl.) Schltr.,Guarianthe_Rhyncholaelia,0.83,,AY008584.1,AY422404.1,AY396101.1,,Van den Berg et al. 2009,,0,1
Cattleya_araguaiensis,Cattleya_araguaiensis,Cattleya araguaiensis Pabst,subg_Cattleyella,1,,AF260215.1,AF267054.1,AF263817.1,,Van den Berg et al. 2009,,0,1
Cattleya_lawrenceana,Cattleya_lawrenceana,Cattleya lawrenceana Rchb.f.,sect_Cattleya,1,,AF260208.1,AF267041.1,AF263811.1,,Van den Berg et al. 2009,,0,1
Cattleya_maxima,Cattleya_maxima,Cattleya maxima Lindl.,subg_Maximae,1,,AY008631.1,AY008456.1,,,Van den Berg et al. 2009,,0,1
Meiracyllium_gemma,Meiracyllium_gemma,Meiracyllium gemma Rchb.f.,Meiracyllium,1,,AF260153.1,AF266974.1,AF263767.1,,Van den Berg et al. 2009,,0,1
Meiracyllium_trinasutum,Meiracyllium_trinasutum,Meiracyllium trinasutum Rchb.f.,Meiracyllium,1,,AF260152.1,AF266973.1,AF263670.1,,Van den Berg et al. 2009,,0,1
Acrorchis_roseola,Acrorchis_roseola,Acrorchis roseola Dressler,(outgroup),not in BAMM,,AY008521.1,AY422389.1,AY397086,,Van den Berg et al. 2009,,0,1
Alamania_punicea,Alamania_punicea,Alamania punicea Lex.,(outgroup),not in BAMM,,AF260177.1,AF267005.1,AF263783.1,,Van den Berg et al. 2009,,0,1
Arpophyllum_giganteum,Arpophyllum_giganteum,Arpophyllum giganteum Hartw. ex Lindl.,(outgroup),not in BAMM,,AF266742.1,AF266975.1,AF265485.1,,Van den Berg et al. 2009,,0,1
Artorima_erubescens,Artorima_erubescens,Artorima erubescens (Lindl.) Dressler & G.E.Pollard,(outgroup),not in BAMM,,AF260178.1,AF267006.1,AF263756.1,,Van den Berg et al. 2009,,0,1
Broughtonia_domingensis,Broughtonia_domingensis,Broughtonia domingensis (Lindl.) Rolfe,(outgroup),not in BAMM,,AF260187.1,AF267016.1,AF263791.1,,Van den Berg et al. 2009,,0,1
Broughtonia_lindenii,Broughtonia_lindenii,Broughtonia lindenii (Lindl.) Dressler,(outgroup),not in BAMM,,AY008570.1,AY422399.1,AY396096.1,,Van den Berg et al. 2009,,0,1
Broughtonia_negrilensis,Broughtonia_negrilensis,Broughtonia negrilensis Fowlie,(outgroup),not in BAMM,,AY008569.1 ,AY422396.1,AY396093.1,,Van den Berg et al. 2000,,0,1
Broughtonia_sanguinea,Broughtonia_sanguinea,Broughtonia sanguinea (Sw.) R.Br.,(outgroup),not in BAMM,,AF260186.1,AF267015.1,AF263790.1,,Van den Berg et al. 2009,,0,1
Chysis_bractescens,Chysis_bractescens,Chysis bractescens Lindl.,(outgroup),not in BAMM,,AF260150.1,AF266971.1,AF263640.1,,Van den Berg et al. 2009,,0,1
Coelia_triptera,Coelia_triptera,Coelia triptera (Sm.) G.Don ex Steud.,(outgroup),not in BAMM,,AF260151.1,AF266972.1,AF263643.1,,Van den Berg et al. 2009,,0,1
Cymbidium_kanran,Cymbidium_kanran,Cymbidium kanran Makino,(outgroup),not in BAMM,,AF284720,,,,Gustafsson et al. 2010,,0,1
Dilomilis_montana,Dilomilis_montana,Dilomilis montana (Sw.) Summerh.,(outgroup),not in BAMM,,AF260147.1,AF266967.1,AF263765.1,,Van den Berg et al. 2009,,0,1
Dimerandra_emarginata,Dimerandra_emarginata,Dimerandra emarginata (G.Mey.) Hoehne,(outgroup),not in BAMM,,AF260179.1,AF267008.1,AF263784.1,,Van den Berg et al. 2009,,0,1
Dinema_polybulbon,Dinema_polybulbon,Dinema polybulbon (Sw.) Lindl.,(outgroup),not in BAMM,,AF260154.1,AF266976.1,AF263769.1,,Van den Berg et al. 2009,,0,1
Domingoa_purpurea,Domingoa_purpurea,Domingoa purpurea (Lindl.) Van den Berg & Soto Arenas,(outgroup),not in BAMM,,AF266743.1,AF266980.1,AF263771.1,,Van den Berg et al. 2009,,0,1
Earina_valida,Earina_valida,Earina valida Rchb.f.,(outgroup),not in BAMM,,AF521077.1,AY008448.1,AY121741.1,,Van den Berg et al. 2009,,0,1
Encyclia_adenocaula,Encyclia_adenocaula,Encyclia adenocaula (Lex.) Schltr.,(outgroup),not in BAMM,,AY008526.1,AY422414.1,AY396111.1,,Van den Berg et al. 2009,,0,1
Encyclia_cordigera,Encyclia_cordigera,Encyclia cordigera (Kunth) Dressler,(outgroup),not in BAMM,,AY008528.1,AY422417.1,AY396114.1,,Van den Berg et al. 2009,,0,1
Encyclia_tampensis,Encyclia_tampensis,Encyclia tampensis (Lindl.) Small,(outgroup),not in BAMM,,AY008529.1,AY422418.1,AY396115.1,,Van den Berg et al. 2009,,0,1
Euchile_citrina,Euchile_citrina,Euchile citrina (Lex.) Withner,(outgroup),not in BAMM,,AY008501.1,AY422409.1,AY396106.1,,Van den Berg et al. 2009,,0,1
Euchile_mariae,Euchile_mariae,Euchile mariae (Ames) Withner,(outgroup),not in BAMM,,AF260192.1,AF267022.1,AF263795.1,,Van den Berg et al. 2009,,0,1
Gongora_gratulabunda,Gongora_gratulabunda,Gongora gratulabunda Rchb.f.,(outgroup),not in BAMM,,AF239382.1,,,,Gustafsson et al. 2010,,0,1
Hagsatera_brachycolumna,Hagsatera_brachycolumna,Hagsatera brachycolumna (L.O.Williams) R.Gonzêçlez,(outgroup),not in BAMM,,AY008515.1,AY422391.1,AY396088.1,,Van den Berg et al. 2009,,0,1
Helleriella_guerrerensis,Helleriella_guerrerensis,Helleriella guerrerensis Dressler & Hêçgsater,(outgroup),not in BAMM,,AF260142.1,AF266961.1,,,Van den Berg et al. 2009,,0,1
Homalopetalum_kienastii,Homalopetalum_kienastii,Homalopetalum kienastii (Rchb.f.) Withner,(outgroup),not in BAMM,,AY008564.1,AY422398.1,AY396095.1,,Van den Berg et al. 2009,,0,1
Homalopetalum_pachyphyllum,Homalopetalum_pachyphyllum,Homalopetalum pachyphyllum (L.O.Williams) Dressler,(outgroup),not in BAMM,,AF260155.1,AF266978.1,AF263770.1,,Van den Berg et al. 2009,,0,1
Homalopetalum_pumilio,Homalopetalum_pumilio,Homalopetalum pumilio (Rchb.f.) Schltr.,(outgroup),not in BAMM,,AY429389.1,AY422392.1,AY396089.1,,Van den Berg et al. 2009,,0,1
Isabelia_pulchella,Isabelia_pulchella,Isabelia pulchella (Kraenzl.) C.Van den Berg & M.W.Chase,(outgroup),not in BAMM,,AF260163.1,AF266990.1,AF263745.1,,Van den Berg et al. 2009,,0,1
Isabelia_virginalis,Isabelia_virginalis,Isabelia virginalis Barb.Rodr.,(outgroup),not in BAMM,,AF260161.1,AF266987.1,AF263747.1,,Van den Berg et al. 2009,,0,1
Isochilus_chiriquensis,Isochilus_chiriquensis,Isochilus chiriquensis Schltr.,(outgroup),not in BAMM,,AF260143.1,AF266962.1,AF263762.1,,Van den Berg et al. 2009,,0,1
Isochilus_major,Isochilus_major,Isochilus major Cham. & Schltdl.,(outgroup),not in BAMM,,AY008481.1,AY422381.1,AY396078.1,,Van den Berg et al. 2009,,0,1
Jacquiniella_equitantifolia,Jacquiniella_equitantifolia,Jacquiniella equitantifolia (Ames) Dressler,(outgroup),not in BAMM,,AF260158.1,AF266982.1,AF263773.1,,Van den Berg et al. 2009,,0,1
Jacquiniella_teretifolia,Jacquiniella_teretifolia,Jacquiniella teretifolia (Sw.) Britton & P.Wilson,(outgroup),not in BAMM,,AY008519.1,AY422390.1,AY396087.1,,Van den Berg et al. 2009,,0,1
Leptotes_bicolor,Leptotes_bicolor,Leptotes bicolor Lindl.,(outgroup),not in BAMM,,AF260185.1,AF267014.1,AF263789.1,,Van den Berg et al. 2009,,0,1
Loefgrenianthus_blancheamesiae,Loefgrenianthus_blancheamesiae,Loefgrenianthus blanche-amesiae (Loefgr.) Hoehne,(outgroup),not in BAMM,,AF260183.1,AF267012.1,AF263787.1,,Van den Berg et al. 2009,,0,1
Lycaste_cruenta,Lycaste_cruenta,Lycaste cruenta (Lindl.) Lindl.,(outgroup),not in BAMM,,AF239342.1,,,,Gustafsson et al. 2010,,0,1
Masdevallia_floribunda,Masdevallia_floribunda,Masdevallia floribunda Lindl.,(outgroup),not in BAMM,,AF260146.1,,,,Gustafsson et al. 2010,,0,1
Maxillaria_porrecta,Maxillaria_porrecta,Maxillaria porrecta Lindl.,(outgroup),not in BAMM,,DQ210568.1,,,,Gustafsson et al. 2010,,0,1
Neocogniauxia_hexaptera,Neocogniauxia_hexaptera,Neocogniauxia hexaptera (Cogn.) Schltr.,(outgroup),not in BAMM,,AF260148.1,AF266968.1,AF263766.1,,Van den Berg et al. 2009,,0,1
Nidema_boothii,Nidema_boothii,Nidema boothii (Lindl.) Schltr.,(outgroup),not in BAMM,,AY008522.1,AY422384.1,AY396081.1,,Van den Berg et al. 2009,,0,1
Octomeria_gracilis,Octomeria_gracilis,Octomeria gracilis Lodd. ex Lindl.,(outgroup),not in BAMM,,AF262911.1,AF265526.1,AF265484.1,,Van den Berg et al. 2009,,0,1
Oncidium_ornithorhynchum,Oncidium_ornithorhynchum,Oncidium ornithorhynchum Kunth,(outgroup),not in BAMM,,AF239400.1,,,,Gustafsson et al. 2010,,0,1
Polystachya_galeata,Polystachya_galeata,Polystachya galeata (Sw.) Rchb.f.,(outgroup),not in BAMM,,AY008464.1,AY008453.1,,,Van den Berg et al. 2009,,0,1
Ponera_exilis,Ponera_exilis,Ponera exilis Dressler,(outgroup),not in BAMM,,AF260144.1,AF266963.1,AF263763.1,,Van den Berg et al. 2009,,0,1
Ponera_striata,Ponera_striata,Ponera striata Lindl.,(outgroup),not in BAMM,,AF260145.1,AF266965.1,AY121728.1,,Van den Berg et al. 2009,,0,1
Prosthechea_abbreviata,Prosthechea_abbreviata,Prosthechea abbreviata (Schltr.) W.E.Higgins,(outgroup),not in BAMM,,AF260181.1,AF267010.1,AF263757.1,,Van den Berg et al. 2009,,0,1
Prosthechea_aemula,Prosthechea_aemula,Prosthechea aemula (Lindl.) W.E.Higgins,(outgroup),not in BAMM,,AY008544.1,AY422428.1,AY396125.1,,Van den Berg et al. 2009,,0,1
Prosthechea_cochleata,Prosthechea_cochleata,Prosthechea cochleata (L.) W.E.Higgins,(outgroup),not in BAMM,,AY008545.1,AY422429.1,AY396126.1,,Van den Berg et al. 2009,,0,1
Prosthechea_glauca,Prosthechea_glauca,Prosthechea glauca Knowles & Westc.,(outgroup),not in BAMM,,AY429410.1,AY422433.1,AY396130.1,,Van den Berg et al. 2009,,0,1
Pseudolaelia_canaanensis,Pseudolaelia_canaanensis,Pseudolaelia canaanensis (Ruschi) F.Barros,(outgroup),not in BAMM,,AF260167.1,AF266995.1,AF263746.1,,Van den Berg et al. 2009,,0,1
Psychilis_krugii,Psychilis_krugii,Psychilis krugii (Bello) Sauleda,(outgroup),not in BAMM,,AF260157.1,,AF263772.1,,Van den Berg et al. 2009,,0,1
Psychilis_macconnelliae,Psychilis_macconnelliae,Psychilis macconnelliae Sauleda,(outgroup),not in BAMM,,AY008568.1,AY422394.1,AY396091.1,,Van den Berg et al. 2009,,0,1
Restrepiella_ophiocephala,Restrepiella_ophiocephala,Restrepiella ophiocephala (Lindl.) Garay & Dunst.,(outgroup),not in BAMM,,AF262909.1,AF265523.1,AF265482.1,,Van den Berg et al. 2009,,0,1
Scaphosepalum_gibberosum,Scaphosepalum_gibberosum,Scaphosepalum gibberosum (Rchb.f.) Rolfe,(outgroup),not in BAMM,,AF262817.1 ,AF265503.1,,,Van den Berg et al. 2009,,0,1
Scaphyglottis_bidentata,Scaphyglottis_bidentata,Scaphyglottis bidentata (Lindl.) Dressler,(outgroup),not in BAMM,,AF260162.1,AF266988.1,AF263774.1,,Van den Berg et al. 2009,,0,1
Scaphyglottis_crurigera,Scaphyglottis_crurigera,Scaphyglottis crurigera (Bateman ex Lindl.) Ames & Correll,(outgroup),not in BAMM,,AF260180,AF267009.1,AF263785.1,,Van den Berg et al. 2009,,0,1
Scaphyglottis_cuniculata,Scaphyglottis_cuniculata,Scaphyglottis cuniculata (Schltr.) Dressler,(outgroup),not in BAMM,,AY008551.1,,,,Van den Berg et al. 2009,,0,1
Scaphyglottis_imbricata,Scaphyglottis_imbricata,Scaphyglottis imbricata (Lindl.) Dressler,(outgroup),not in BAMM,,AY429388.1,AY422386.1,AY396083.1,,Van den Berg et al. 2009,,0,1
Scaphyglottis_modesta,Scaphyglottis_modesta,Scaphyglottis modesta (Rchb.f.) Schltr.,(outgroup),not in BAMM,,AF260159.1,AF266984.1,AF263752.1,,Van den Berg et al. 2009,,0,1
Scaphyglottis_pulchella,Scaphyglottis_pulchella,Scaphyglottis pulchella (Schltr.) L.O.Williams,(outgroup),not in BAMM,,AY174740.1,AY422385.1,AY396082.1,,Van den Berg et al. 2009,,0,1
Scaphyglottis_punctulata,Scaphyglottis_punctulata,Scaphyglottis punctulata (Rchb.f.) C.Schweinf.,(outgroup),not in BAMM,,AF260182.1,AF267011.1,AF263786.1,,Van den Berg et al. 2009,,0,1
Stanhopea_ecornuta,Stanhopea_ecornuta,Stanhopea ecornuta Lem.,(outgroup),not in BAMM,,AF239349.1,,,,Gustafsson et al. 2010,,0,1
Stelis_multirostris,Stelis_multirostris,Stelis multirostris (Rchb.f.) Pridgeon & M.W.Chase,(outgroup),not in BAMM,,AY008477.1,AY422379.1,AY396076.1,,Van den Berg et al. 2009,,0,1
Tetramicra_elegans,Tetramicra_elegans,Tetramicra elegans (Ham.) Cogn.,(outgroup),not in BAMM,,AY008566.1,AY422397.1,AY396094.1,,Van den Berg et al. 2009,,0,1
Epidendrum_avicula,Epidendrum_avicula,Epidendrum avicula Lindl.,Epidendrum,0.006,,AF260169.1,AF266998.1,AF263778.1,,Van den Berg et al. 2009,,1,1
Epidendrum_campestre,Epidendrum_campestre,Epidendrum campestre Lindl.,Epidendrum,0.006,,AF260174.1,AF267002.1,AF263781.1,,Van den Berg et al. 2009,,1,0
Brassavola_tuberculata,Brassavola_tuberculata,Brassavola tuberculata Hook.,Brassavola,0.17,,AF260217.1,AF267057.1,AF263818.1,,Van den Berg et al. 2009,,1,1
Cattleya_pumila,Cattleya_pumila,Cattleya pumila Hook.,ser_Hadrolaelia,0.33,,AF260196.1,AF267027.1,AF263800.1,,Van den Berg et al. 2009,,1,1
Cattleya_brevipedunculata,Cattleya_brevipedunculata,Cattleya brevipedunculata (Cogn.) Van den Berg,ser_Sophronites,0.55,,AF260202.1,AF267034.1,AF263805.1,,Van den Berg et al. 2009,,1,0
Cattleya_blumenscheinii,Cattleya_blumenscheinii,Cattleya blumenscheinii (Pabst) Van den Berg,ser_Parviflorae,0.79,,AY008654.1,,,,Gustafsson et al. 2010,,1,0
Cattleya_bradei,Cattleya_bradei,Cattleya bradei (Pabst) Van den Berg,ser_Parviflorae,0.79,,AY008673.1,,,,Gustafsson et al. 2010,,1,0
Cattleya_briegeri,Cattleya_briegeri,Cattleya briegeri (Blumensch. ex Pabst) Van den Berg,ser_Parviflorae,0.79,,AY008674.1,,,,Gustafsson et al. 2010,,1,0
Cattleya_caulescens,Cattleya_caulescens,Cattleya caulescens (Lindl.) Van den Berg,ser_Parviflorae,0.79,,AY008659.1,,,,Van den Berg et al. 2009,,1,0
Cattleya_cinnabarina,Cattleya_cinnabarina,Cattleya cinnabarina (Bateman ex Lindl.) Van den Berg,ser_Parviflorae,0.79,,AY008657.1,,,,Gustafsson et al. 2010,,1,0
Cattleya_conceicionensis,Cattleya_conceicionensis,Cattleya conceicionensis (V.P.Castro & Campacci) Van den Berg,ser_Parviflorae,0.79,,FJ200196.1,,,,Gustafsson et al. 2010,,1,0
Cattleya_diamantinensis,Cattleya_diamantinensis,Cattleya diamantinensis (V.P.Castro & Marçal) J.M.H.Shaw,ser_Parviflorae,0.79,,FJ200187.1,,,,Gustafsson et al. 2010,,1,0
Cattleya_esalqueana,Cattleya_esalqueana,Cattleya esalqueana (Blumensch. ex Pabst) Van den Berg,ser_Parviflorae,0.79,,AF260198.1,AF267029.1,AF263751.1,,Gustafsson et al. 2010,,1,0
Cattleya_flavasulina,Cattleya_flavasulina,Cattleya flavasulina (F.E.L.Miranda & K.G.Lacerda) Van den Berg,ser_Parviflorae,0.79,,FJ200186.1,,,,Gustafsson et al. 2010,,1,0
Cattleya_fournieri,Cattleya_fournieri,Cattleya fournieri (Cogn.) Van den Berg,ser_Parviflorae,0.79,,FJ200185.1,,,,Gustafsson et al. 2010,,1,0
Cattleya_ghillanyi,Cattleya_ghillanyi,Cattleya ghillanyi (Pabst) Van den Berg,ser_Parviflorae,0.79,,AY008677.1,,,,Gustafsson et al. 2010,,1,0
Cattleya_gracilis,Cattleya_gracilis,Cattleya gracilis (Pabst) Van den Berg,ser_Parviflorae,0.79,,FJ200191.1,,,,Gustafsson et al. 2010,,1,0
Cattleya_itambana,Cattleya_itambana,Cattleya itambana (Pabst) Van den Berg,ser_Parviflorae,0.79,,AY008678.1,,,,Gustafsson et al. 2010,,1,0
Cattleya_kettieana,Cattleya_kettieana,Cattleya kettieana (Pabst) Van den Berg,ser_Parviflorae,0.79,,AY008664.1,,,,Gustafsson et al. 2010,,1,0
