hpd_name,cleaned_name,accepted_name,clade,sampling_fraction,,ITS (nuclear),trnL-F (plastid),matK (plastid),,Reference,,campo_rupestre,non_campo_rupestre
Epidendrum_armeniacum,Epidendrum_armeniacum,Epidendrum armeniacum Lindl.,Epidendrum,0.006,,AF260165.1,AF266993.1,AF263748.1,,Van den Berg et al. 2009,,0,1
Epidendrum_centropetalum,Epidendrum_centropetalum,Epidendrum centropetalum Rchb.f.,Epidendrum,0.006,,AF260175.1,AF267003.1,AF263782.1,,Van den Berg et al. 2009,,0,1
Epidendrum_ibaguense,Epidendrum_ibaguense,Epidendrum ibaguense Kunth,Epidendrum,0.006,,AY008505.1,AY422382.1,AY396079.1,,Van den Berg et al. 2009,,0,1
Epidendrum_magnoliae,Epidendrum_magnoliae,Epidendrum magnoliae Muhl.,Epidendrum,0.006,,AY008506.1,AY422383.1,AY396080.1,,Van den Berg et al. 2009,,0,1
Epidendrum_pseudepidendrum,Epidendrum_pseudepidendrum,Epidendrum pseudepidendrum Rchb.f.,Epidendrum,0.006,,AF260160.1,AF266986.1,AF263753.1,,Van den Berg et al. 2009,,0,1
Epidendrum_schlechterianum,Epidendrum_schlechterianum,Epidendrum schlechterianum Ames,Epidendrum,0.006,,AF260172.1,AF267000.1,AF263779.1,,Van den Berg et al. 2009,,0,1
Epidendrum_tridactylum,Epidendrum_tridactylum,Epidendrum tridactylum Lindl.,Epidendrum,0.006,,AF260164.1,,AF263775.1,,Van den Berg et al. 2009,,0,1
Myrmecophila_tibicinis,Myrmecophila_tibicinis,Myrmecophila tibicinis (Bateman ex Lindl.) Rolfe,Myrmecophila,0.1,,AF260203.1,AF267035.1,AF263806.1,,Van den Berg et al. 2009,,0,1
Orleanesia_amazonica,Orleanesia_amazonica,Orleanesia amazonica Barb.Rodr.,Orleanesia,0.11,,AF260176.1,AF267004.1,AF263755.1,,Van den Berg et al. 2009,,0,1
Barkeria_skinneri,Barkeria_skinneri,Barkeria skinneri (Bateman ex Lindl.) Paxton,Barkeria,0.12,,AF260171.1,,AF263750.1,,Van den Berg et al. 2009,,0,1
Barkeria_whartoniana,Barkeria_whartoniana,Barkeria whartoniana (C.Schweinf.) Soto Arenas,Barkeria,0.12,,AF260170.1,AF266999.1,AF263754.1,,Van den Berg et al. 2009,,0,1
Brassavola_cucullata,Brassavola_cucullata,Brassavola cucullata (L.) R.Br.,Brassavola,0.17,,AY008589.1,,AF263819.1,,Van den Berg et al. 2009,,0,1
Brassavola_martiana,Brassavola_martiana,Brassavola martiana Lindl.,Brassavola,0.17,,AF260220.1,AF267060.1,AF263821.1,,Van den Berg et al. 2009,,0,1
Brassavola_nodosa,Brassavola_nodosa,Brassavola nodosa (L.) Lindl.,Brassavola,0.17,,AF260219.1,AF267059.1,AF263820.1,,Van den Berg et al. 2009,,0,1
Cattleya_dowiana,Cattleya_dowiana,Cattleya dowiana Bateman & Rchb.f.,sect_Cattleya,0.18,,AF260210.1,AF267045.1,AF263638.1,,Van den Berg et al. 2009,,0,1
Cattleya_labiata,Cattleya_labiata,Cattleya labiata Lindl.,sect_Cattleya,0.18,,AY008594.1,AF267051.1,AF263759.1,,Van den Berg et al. 2000,,0,1
Cattleya_mooreana,Cattleya_mooreana,"Cattleya mooreana Withner, Allison & Guenard",sect_Cattleya,0.18,,AF260216.1,AF267055.1,AF263760.1,,Van den Berg et al. 2009,,0,1
Cattleya_aclandiae,Cattleya_aclandiae,Cattleya aclandiae Lindl.,subg_Intermediae,0.24,,AF260207.1,AF267040.1,AF263810.1,,Van den Berg et al. 2009,,0,1
Cattleya_forbesii,Cattleya_forbesii,Cattleya forbesii Lindl.,subg_Intermediae,0.24,,AY008617.1,AY422405.1,AY396102.1,,Van den Berg et al. 2009,,0,1
Cattleya_intermedia,Cattleya_intermedia,Cattleya intermedia Grah.,subg_Intermediae,0.24,,AF260204.1,AF267036.1,AF263807.1,,Van den Berg et al. 2009,,0,1
Cattleya_violacea,Cattleya_violacea,Cattleya violacea (Kunth) Rolfe,subg_Intermediae,0.24,,AF260206.1,AF267039.1,,,Van den Berg et al. 2009,,0,1
Cattleya_walkeriana,Cattleya_walkeriana,Cattleya walkeriana Gardner,subg_Intermediae,0.24,,AF260205.1,AF267037.1,AF263808.1,,Van den Berg et al. 2009,,0,1
Cattleya_fidelensis,Cattleya_fidelensis,Cattleya fidelensis (Pabst) Van den Berg,ser_Cattleyodes,0.25,,AF260194.1,AF267025.1,,,Van den Berg et al. 2009,,0,1
Cattleya_purpurata,Cattleya_purpurata,Cattleya purpurata (Lindl. & Paxton) Van den Berg,ser_Cattleyodes,0.25,,AY008641.1,AF267024.1,AF263797.1,,Van den Berg et al. 2009,,0,1
Caularthron_bilamellatum,Caularthron_bilamellatum,Caularthron bilamellatum (Rchb.f.) R.E.Schult.,Caularthron,0.25,,AF260173.1,AF267001.1,AF263780.1,,Van den Berg et al. 2009,,0,1
Cattleya_alaorii,Cattleya_alaorii,Cattleya alaorii (Brieger & Bicalho) Van den Berg,ser_Hadrolaelia,0.33,,AF260195.1,AF267026.1,AF263799.1,,Van den Berg et al. 2009,,0,1
Laelia_anceps,Laelia_anceps,Laelia anceps Lindl.,Laelia,0.33,,AF260191.1,AF267021.1,AF263794.1,,Van den Berg et al. 2009,,0,1
Laelia_autumnalis,Laelia_autumnalis,Laelia autumnalis (Lex.) Lindl.,Laelia,0.33,,AF260189.1,AF267019.1,,,Van den Berg et al. 2009,,0,1
Laelia_furfuracea,Laelia_furfuracea,Laelia furfuracea Lindl.,Laelia,0.33,,AF260190.1,AF267020.1,AF263793.1,,Van den Berg et al. 2009,,0,1
Laelia_lyonsii,Laelia_lyonsii,Laelia lyonsii (Lindl.) L.O.Williams,Laelia,0.33,,AF260222.1,AF267063.1,AF263823.1,,Van den Berg et al. 2009,,0,1
Laelia_rubescens,Laelia_rubescens,Laelia rubescens Lindl.,Laelia,0.33,,AY008575.1,AY422401.1,AY396098.1,,Van den Berg et al. 2009,,0,1
Laelia_speciosa,Laelia_speciosa,Laelia speciosa (Kunth) Schltr.,Laelia,0.33,,AF260188.1,AF267018.1,AF263792.1,,Van den Berg et al. 2009,,0,1
Laelia_splendida,Laelia_splendida,Laelia splendida (Schltr.) L.O.Williams,Laelia,0.33,,AY008573.1,AY422408.1,AY396105.1,,Van den Berg et al. 2009,,0,1
Laelia_undulata,Laelia_undulata,Laelia undulata (Lindl.) L.O.Williams,Laelia,0.33,,AF260223.1,AF267064.1,AF263749.1,,Van den Berg et al. 2009,,0,1
Cattleya_cernua,Cattleya_cernua,Cattleya cernua (Lindl.) Van den Berg,ser_Sophronites,0.55,,AF260200.1,AF267032.1,AF263803.1,,Van den Berg et al. 2009,,0,1
Cattleya_coccinea,Cattleya_coccinea,Cattleya coccinea Lindl.,ser_Sophronites,0.55,,AF260201.1,AF267033.1,AF263804.1,,Van den Berg et al. 2009,,0,1
Cattleya_harpophylla,Cattleya_harpophylla,Cattleya harpophylla (Rchb.f.) Van den Berg,ser_Sophronites,0.55,,AF260199.1,AF267030.1,AF263802.1,,Van den Berg et al. 2009,,0,1
Cattleya_neokautskyi,Cattleya_neokautskyi,Cattleya neokautskyi Van den Berg,ser_Sophronites,0.55,,AY008651.1,,,,Gustafsson et al. 2010,,0,1
Cattleya_lueddemanniana,Cattleya_lueddemanniana,Cattleya lueddemanniana Rchb.f.,sect_Lawrenceanae,0.67,,AF266744.1,AF267052.1,AF263816.1,,Van den Berg et al. 2009,,0,1
Cattleya_wallisii,Cattleya_wallisii,Cattleya wallisii (Linden) Linden ex Rchb.f.,sect_Lawrenceanae,0.67,,AF260213.1,AF267050.1,AF263815.1,,Van den Berg et al. 2009,,0,1
Cattleya_alvaroana,Cattleya_alvaroana,Cattleya alvaroana (F.E.L.Miranda) Van den Berg,ser_Parviflorae,0.79,,AY008672.1,,,,Gustafsson et al. 2010,,0,1
Cattleya_angereri,Cattleya_angereri,Cattleya angereri (Pabst) Van den Berg,ser_Parviflorae,0.79,,AY008652.1,,,,Gustafsson et al. 2010,,0,1
Cattleya_brevicaulis,Cattleya_brevicaulis,Cattleya brevicaulis (H.G.Jones) Van den Berg,ser_Parviflorae,0.79,,AY008655.1,,,,Gustafsson et al. 2010,,0,1
Cattleya_colnagoi,Cattleya_colnagoi,Cattleya colnagoi (Chiron & V.P.Castro) Van den Berg,ser_Parviflorae,0.79,,FJ200183.1,,,,Gustafsson et al. 2010,,0,1
Cattleya_endsfeldzii,Cattleya_endsfeldzii,Cattleya endsfeldzii (Pabst) Van den Berg,ser_Parviflorae,0.79,,FJ200190.1,,,,Gustafsson et al. 2010,,0,1
