hpd_name,cleaned_name,accepted_name,clade,sampling_fraction,,ITS (nuclear),trnL/trnL-F (plastid),,Reference,,campo_rupestre,non_campo_rupestre
Calliandra_glomerulata,Calliandra_glomerulata,Calliandra glomerulata H.Karst.,Androcallis,0.7,,JX870691.1,JX870817.1,,de Souza et al. 2013,,0,1
Calliandra_glyphoxylon,Calliandra_glyphoxylon,Calliandra glyphoxylon Benth.,Androcallis,0.7,,,JX870818.1,,de Souza et al. 2013,,0,1
Calliandra_goldmanii,Calliandra_goldmanii,Calliandra goldmanii Barneby,Androcallis,0.7,,JX870692.1,JX870819.1,,de Souza et al. 2013,,0,1
Calliandra_guildingii,Calliandra_guildingii,Calliandra guildingii Benth.,Androcallis,0.7,,JX870693.1,JX870820.1,,de Souza et al. 2013,,0,1
Calliandra_haematocephala,Calliandra_haematocephala,Calliandra haematocephala Hassk.,Androcallis,0.7,,JX870694.1,JX870821.1,,de Souza et al. 2013,,0,1
Calliandra_haematomma,Calliandra_haematomma,Calliandra haematomma (DC.) Benth.,Monticola,0.8,,,JX870822.1,,de Souza et al. 2013,,0,1
Calliandra_harrisii,Calliandra_harrisii,Calliandra harrisii (Lindl.) Benth.,Androcallis,0.7,,JX870696.1,JX870823.1,,de Souza et al. 2013,,0,1
Calliandra_hintonii,Calliandra_hintonii,Calliandra hintonii Barneby,Androcallis,0.7,,JX870697.1,JX870824.1,,de Souza et al. 2013,,0,1
Calliandra_hirsuta,Calliandra_hirsuta,Calliandra hirsuta (G.Don) Benth.,Septentrionalis,0.8,,JX870698.1,,,de Souza et al. 2013,,0,1
Calliandra_hirtiflora,Calliandra_hirtiflora,Calliandra hirtiflora Benth.,Monticola,0.8,,JX870699.1,JX870825.1,,de Souza et al. 2013,,1,0
Calliandra_houstoniana,Calliandra_houstoniana,Calliandra houstoniana (Mill.) Standl.,Calliandra,0.5,,JX870700.1,JX870826.1,,de Souza et al. 2013,,0,1
Calliandra_humilis,Calliandra_humilis,Calliandra humilis Benth.,Microcallis,1,,JX870701.1,,,de Souza et al. 2013,,0,1
Calliandra_hygrophila,Calliandra_hygrophila,Calliandra hygrophila Mackinder & G.P.Lewis,Monticola,0.8,,JX870702.1,JX870827.1,,de Souza et al. 2013,,1,0
Calliandra_iligna,Calliandra_iligna,Calliandra iligna Barneby,Monticola,0.8,,JX870703.1,JX870828.1,,de Souza et al. 2013,,1,0
Calliandra_juzepczukii,Calliandra_juzepczukii,Calliandra juzepczukii Standl.,Calliandra,0.5,,,JX870829.1,,de Souza et al. 2013,,0,1
Calliandra_laevis,Calliandra_laevis,Calliandra laevis Rose,Androcallis,0.7,,JX870704.1,JX870830.1,,de Souza et al. 2013,,0,1
Calliandra_lanata,Calliandra_lanata,Calliandra lanata Benth.,Monticola,0.8,,JX870705.1,JX870831.1,,de Souza et al. 2013,,1,0
Calliandra_laxa,Calliandra_laxa,Calliandra laxa (Willd.) Benth.,Androcallis,0.7,,JX870706.1,JX870832.1,,de Souza et al. 2013,,0,1
Calliandra_leptopoda,Calliandra_leptopoda,Calliandra leptopoda Benth.,Microcallis,1,,JX870708.1,JX870833.1,,de Souza et al. 2013,,0,1
Calliandra_lintea,Calliandra_lintea,Calliandra lintea Barneby,Monticola,0.8,,JX870709.1,JX870834.1,,de Souza et al. 2013,,1,0
Calliandra_longipes,Calliandra_longipes,Calliandra longipes Benth.,Androcallis,0.7,,JX870710.1,JX870835.1,,de Souza et al. 2013,,1,0
Calliandra_longipinna,Calliandra_longipinna,Calliandra longipinna Benth.,Monticola,0.8,,JX870711.1,JX870836.1,,de Souza et al. 2013,,1,0
Calliandra_luetzelburgii,Calliandra_luetzelburgii,Calliandra luetzelburgii Harms,Monticola,0.8,,JX870712.1,JX870837.1,,de Souza et al. 2013,,1,0
Calliandra_macrocalyx,Calliandra_macrocalyx,Calliandra macrocalyx Harms,Androcallis,0.7,,JX870713.1,JX870838.1,,de Souza et al. 2013,,1,1
Calliandra_magdalenae,Calliandra_magdalenae,Calliandra magdalenae (DC.) Benth.,Androcallis,0.7,,JX870714.1,JX870839.1,,de Souza et al. 2013,,0,1
Calliandra_molinae,Calliandra_molinae,Calliandra molinae Standl.,Androcallis,0.7,,JX870715.1,JX870840.1,,de Souza et al. 2013,,0,1
Calliandra_mollissima,Calliandra_mollissima,Calliandra mollissima (Willd.) Benth.,Androcallis,0.7,,JX870716.1,JX870841.1,,de Souza et al. 2013,,0,1
Calliandra_mucugeana,Calliandra_mucugeana,Calliandra mucugeana Renvoize,Monticola,0.8,,JX870717.1,JX870842.1,,de Souza et al. 2013,,1,0
Calliandra_nebulosa,Calliandra_nebulosa,Calliandra nebulosa Barneby,Monticola,0.8,,JX870718.1,JX870843.1,,de Souza et al. 2013,,1,0
Calliandra_paganuccii_FS8762,Calliandra_paganuccii,Calliandra paganuccii E.R. Souza,Monticola,0.8,,JX870719.1,,,de Souza et al. 2013,,1,0
Calliandra_palmeri,Calliandra_palmeri,Calliandra palmeri S.Watson,Calliandra,0.5,,JX870721.1,,,de Souza et al. 2013,,0,1
Calliandra_parviflora,Calliandra_parviflora,Calliandra parviflora Benth.,Microcallis,1,,JX870723.1,JX870844.1,,de Souza et al. 2013,,1,1
Calliandra_paterna,Calliandra_paterna,Calliandra paterna Barneby,Monticola,0.8,,JX870725.1,JX870846.1,,de Souza et al. 2013,,1,0
Calliandra_pedicellata,Calliandra_pedicellata,Calliandra pedicellata Benth.,Calliandra,0.5,,JX870726.1,JX870847.1,,de Souza et al. 2013,,0,1
Calliandra_peninsularis,Calliandra_peninsularis,Calliandra peninsularis Rose,clade2,1,,,JX870848.1,,de Souza et al. 2013,,0,1
Calliandra_physocalyx,Calliandra_physocalyx,Calliandra physocalyx H.M.Hern. & M.Sousa,Calliandra,0.5,,JX870727.1,,,de Souza et al. 2013,,0,1
Calliandra_pilgerana,Calliandra_pilgerana,Calliandra pilgerana Harms,Androcallis,0.7,,JX870728.1,JX870849.1,,de Souza et al. 2013,,1,0
Calliandra_pittieri,Calliandra_pittieri,Calliandra pittieri Standl.,Androcallis,0.7,,JX870729.1,JX870850.1,,de Souza et al. 2013,,0,1
Calliandra_purdiei,Calliandra_purdiei,Calliandra purdiaei Benth.,Androcallis,0.7,,JX870730.1,JX870851.1,,de Souza et al. 2013,,0,1
Calliandra_purpurea,Calliandra_purpurea,Calliandra purpurea (L.) Benth.,Androcallis,0.7,,JX870731.1,JX870852.1,,de Souza et al. 2013,,0,1
Calliandra_renvoizeana,Calliandra_renvoizeana,Calliandra renvoizeana Barneby,Monticola,0.8,,JX870733.1,JX870854.1,,de Souza et al. 2013,,1,0
Calliandra_rhodocephala,Calliandra_rhodocephala,Calliandra rhodocephala Donn.Sm.,Androcallis,0.7,,JX870734.1,,,de Souza et al. 2013,,0,1
Calliandra_riparia,Calliandra_riparia,Calliandra riparia Pittier,Androcallis,0.7,,JX870735.1,,,de Souza et al. 2013,,0,1
Calliandra_rubescens,Calliandra_rubescens,Calliandra erubescens Renvoize,Androcallis,0.7,,JX870736.1,JX870855.1,,de Souza et al. 2013,,0,1
Calliandra_semisepulta,Calliandra_semisepulta,Calliandra semisepulta Barneby,Monticola,0.8,,JX870737.1,JX870856.1,,de Souza et al. 2013,,1,0
Calliandra_sessilis,Calliandra_sessilis,Calliandra sessilis Benth.,Androcallis,0.7,,JX870738.1,JX870857.1,,de Souza et al. 2013,,1,1
Calliandra_silvicola,Calliandra_silvicola,Calliandra silvicola Taub.,Androcallis,0.7,,JX870739.1,JX870858.1,,de Souza et al. 2013,,1,0
Calliandra_sincorana,Calliandra_sincorana,Calliandra sincorana Harms,Monticola,0.8,,JX870740.1,JX870859.1,,de Souza et al. 2013,,1,0
Calliandra_sp1,Calliandra_sp1,Calliandra sp5 ,Monticola,0.8,,JX870746.1,JX870864.1,,de Souza et al. 2013,,1,0
Calliandra_sp2,Calliandra_sp2,Calliandra sp1 ,Monticola,0.8,,JX870742.1,JX870861.1,,de Souza et al. 2013,,1,0
Calliandra_sp3,Calliandra_sp3,Calliandra sp2 ,Monticola,0.8,,JX870745.1,JX870862.1,,de Souza et al. 2013,,1,0
Calliandra_sp4,Calliandra_sp4,Calliandra sp3 ,Monticola,0.8,,JX870743.1,,,de Souza et al. 2013,,1,0
Calliandra_sp5,Calliandra_sp5,Calliandra sp4 ,Monticola,0.8,,JX870744.1,JX870863.1,,de Souza et al. 2013,,1,0
Calliandra_spinosa,Calliandra_spinosa,Calliandra spinosa Ducke,Androcallis,0.7,,JX870741.1,JX870860.1,,de Souza et al. 2013,,0,1
Calliandra_surinamensis,Calliandra_surinamensis,Calliandra surinamensis Benth.,Androcallis,0.7,,JX870747.1,JX870865.1,,de Souza et al. 2013,,0,1
Calliandra_taxifolia,Calliandra_taxifolia,Calliandra taxifolia (Kunth) Benth.,Androcallis,0.7,,JX870748.1,JX870866.1,,de Souza et al. 2013,,0,1
Calliandra_tehuantepecensis,Calliandra_tehuantepecensis,Calliandra tehuantepecensis ,Androcallis,0.7,,JX870761.1,JX870877.1,,de Souza et al. 2013,,0,1
Calliandra_tergemina,Calliandra_tergemina,Calliandra tergemina (L.) Benth.,Androcallis,0.7,,JX870749.1,JX870867.1,,de Souza et al. 2013,,0,1
Calliandra_trinervia,Calliandra_trinervia,Calliandra trinervia Benth.,Androcallis,0.7,,,AF365044.1,,de Souza et al. 2013,,0,1
Calliandra_tsugoides,Calliandra_tsugoides,Calliandra tsugoides R.S.Cowan,Tsugoides,0.5,,JX870750.1,,,de Souza et al. 2013,,0,1
Calliandra_tumbeziana,Calliandra_tumbeziana,Calliandra tumbeziana J.F.Macbr.,Androcallis,0.7,,JX870751.1,JX870868.1,,de Souza et al. 2013,,0,1
Calliandra_tweedii,Calliandra_tweedii,Calliandra tweedii Benth.,Androcallis,0.7,,JX870752.1,,,de Souza et al. 2013,,0,1
Calliandra_ulei,Calliandra_ulei,Calliandra ulei Harms,Androcallis,0.7,,JX870689.1,JX870815.1,,de Souza et al. 2013,,0,1
Calliandra_umbellifera,Calliandra_umbellifera,Calliandra umbellifera Benth.,Androcallis,0.7,,JX870753.1,JX870869.1,,de Souza et al. 2013,,0,1
Calliandra_vaupesiana,Calliandra_vaupesiana,Calliandra vaupesiana Cowan,Tsugoides,0.5,,JX870754.1,JX870870.1,,de Souza et al. 2013,,0,1
Calliandra_virgata,Calliandra_virgata,Calliandra virgata Benth.,Androcallis,0.7,,JX870755.1,JX870871.1,,de Souza et al. 2013,,1,0
Calliandra_viscidula,Calliandra_viscidula,Calliandra viscidula Benth.,Monticola,0.8,,JX870756.1,JX870872.1,,de Souza et al. 2013,,1,0
Cedrelinga_cateniformis,Cedrelinga_cateniformis,Cedrelinga cateniformis (Ducke) Ducke,(outgroup),not in BAMM,,JX870757.1,JX870873.1,,de Souza et al. 2013,,0,1
Cojoba_arborea,Cojoba_arborea,Cojoba arborea (L.) Britton & Rose,(outgroup),not in BAMM,,JX870758.1,JX870874.1,,de Souza et al. 2013,,0,1
Cojoba_catenata,Cojoba_catenata,Cojoba catenata (Donn.Sm.) Britton & Rose,(outgroup),not in BAMM,,,AY944538.1,,de Souza et al. 2013,,0,1
Cojoba_undulatomarginata,Cojoba_undulatomarginata,Cojoba rufescens (Benth.) Britton & Rose,(outgroup),not in BAMM,,EF638187.1,,,de Souza et al. 2013,,0,1
Ebenopsis_ebano,Ebenopsis_ebano,Ebenopsis ebano (Berland.) Barneby & J.W.Grimes,(outgroup),not in BAMM,,JX870759.1,JX870875.1,,de Souza et al. 2013,,0,1
Enterolobium_timbouva,Enterolobium_timbouva,Enterolobium timbouva Mart.,(outgroup),not in BAMM,,JX870760.1,JX870876.1,,de Souza et al. 2013,,1,1
Havardia_mexicana,Havardia_mexicana,Havardia mexicana (Rose) Britton & Rose,(outgroup),not in BAMM,,JX870762.1,JX870878.1,,de Souza et al. 2013,,0,1
Hydrochorea_corymbosa,Hydrochorea_corymbosa,Hydrochorea corymbosa (Rich.) Barneby & J.W.Grimes,(outgroup),not in BAMM,,JX870763.1,JX870879.1,,de Souza et al. 2013,,0,1
Inga_edulis,Inga_edulis,Inga edulis Mart.,(outgroup),not in BAMM,,JX870764.1,JX870880.1,,de Souza et al. 2013,,0,1
Inga_thibaudiana,Inga_thibaudiana,Inga thibaudiana DC.,(outgroup),not in BAMM,,JX870765.1,JX870881.1,,de Souza et al. 2013,,0,1
Leucochloron_limae,Leucochloron_limae,Leucochloron limae Barneby & J.W.Grimes,(outgroup),not in BAMM,,JX870766.1,JX870882.1,,de Souza et al. 2013,,0,1
Macrosamanea_pubiramea,Macrosamanea_pubiramea,Macrosamanea pubiramea (Steud.) Barneby & J.W.Grimes,(outgroup),not in BAMM,,JX870767.1,JX870883.1,,de Souza et al. 2013,,0,1
Pithecellobium_diversifolium,Pithecellobium_diversifolium,Pithecellobium diversifolium Benth.,(outgroup),not in BAMM,,JX870768.1,JX870884.1,,de Souza et al. 2013,,0,1
Pseudosamanea_guachapele,Pseudosamanea_guachapele,Albizia guachapele (Kunth) Dugand,(outgroup),not in BAMM,,JX870769.1,JX870885.1,,de Souza et al. 2013,,0,1
Samanea_saman,Samanea_saman,Samanea saman (Jacq.) Merr.,(outgroup),not in BAMM,,JX870770.1,JX870886.1,,de Souza et al. 2013,,0,1
Sphinga_acatlensis,Sphinga_acatlensis,Sphinga acatlensis (Benth.) Barneby & J.W.Grimes,(outgroup),not in BAMM,,JX870771.1,JX870887.1,,de Souza et al. 2013,,0,1
Thailentadopsis_nitida,Thailentadopsis_nitida,Thailentadopsis nitida (Vahl) G.P. Lewis & Schrire,(outgroup),not in BAMM,,JX870772.1,JX870888.1,,de Souza et al. 2013,,0,1
Thailentadopsis_tenuis,Thailentadopsis_tenuis,Pithecellobium tenue Craib,(outgroup),not in BAMM,,,JX870889.1,,de Souza et al. 2013,,0,1
Viguieranthus_ambongensis,Viguieranthus_ambongensis,Viguieranthus ambongensis (R.Vig.) Villiers,(outgroup),not in BAMM,,JX870773.1,JX870890.1,,de Souza et al. 2013,,0,1
Viguieranthus_densinervus,Viguieranthus_densinervus,Viguieranthus densinervus Villiers,(outgroup),not in BAMM,,JX870774.1,JX870891.1,,de Souza et al. 2013,,0,1
Viguieranthus_glaber,Viguieranthus_glaber,Viguieranthus glaber Villiers,(outgroup),not in BAMM,,JX870775.1,JX870892.1,,de Souza et al. 2013,,0,1
Viguieranthus_kony,Viguieranthus_kony,Viguieranthus kony (R.Vig.) Villiers,(outgroup),not in BAMM,,JX870777.1,,,de Souza et al. 2013,,0,1
Viguieranthus_megalophyllus,Viguieranthus_megalophyllus,Viguieranthus megalophyllus (R.Vig.) Villiers,(outgroup),not in BAMM,,JX870776.1,,,de Souza et al. 2013,,0,1
Viguieranthus_subauriculatus,Viguieranthus_subauriculatus,Viguieranthus subauriculatus Villiers,(outgroup),not in BAMM,,JX870778.1,,,de Souza et al. 2013,,0,1
Calliandra_bahiana_FS9100,x,Calliandra bahiana Renvoize,(double entry),not in BAMM,,JX870662.1,JX870795.1,,de Souza et al. 2013,,(double entry),(double entry)
Calliandra_bahiana_FS9993,x,Calliandra bahiana Renvoize,(double entry),not in BAMM,,JX870664.1,JX870796.1,,de Souza et al. 2013,,(double entry),(double entry)
Calliandra_laxa_FS5621,x,Calliandra laxa (Willd.) Benth.,(double entry),not in BAMM,,JX870707.1,,,de Souza et al. 2013,,(double entry),(double entry)
Calliandra_paganuccii,x,Calliandra paganuccii E.R. Souza,(double entry),not in BAMM,,JX870720.1,,,de Souza et al. 2013,,(double entry),(double entry)
Calliandra_parviflora_FS1120,x,Calliandra parviflora Benth.,(double entry),not in BAMM,,JX870724.1,JX870845.1,,de Souza et al. 2013,,(double entry),(double entry)
Zapoteca_alinae,Zapoteca_alinae,Zapoteca alinae H.M.Hern.,(outgroup),not in BAMM,,JX870779.1,JX870893.1,,de Souza et al. 2013,,0,1
Zapoteca_filipes,Zapoteca_filipes,Zapoteca filipes (Benth.) H.M.Hern.,(outgroup),not in BAMM,,JX870780.1,JX870896.1,,de Souza et al. 2013,,1,1
Zapoteca_formosa,Zapoteca_formosa,Zapoteca formosa (Kunth) H.M.Hern.,(outgroup),not in BAMM,,JX870781.1,JX870897.1,,de Souza et al. 2013,,0,1
Zapoteca_lambertiana,Zapoteca_lambertiana,Zapoteca lambertiana (G.Don) H.M.Hern.,(outgroup),not in BAMM,,JX870782.1,JX870894.1,,de Souza et al. 2013,,0,1
Zapoteca_media,Zapoteca_media,Zapoteca media (M.Martens & Galeotti) H.M.Hern,(outgroup),not in BAMM,,,JX870895.1,,de Souza et al. 2013,,0,1
Zapoteca_sousae,Zapoteca_sousae,Zapoteca sousae H.M. Hern. & A. Campos V.,(outgroup),not in BAMM,,JX870783.1,JX870898.1,,de Souza et al. 2013,,0,1
Zapoteca_tetragona,Zapoteca_tetragona,Zapoteca tetragona (Willd.) H.M.Hern.,(outgroup),not in BAMM,,JX870784.1,JX870899.1,,de Souza et al. 2013,,0,1
Zygia_racemosa,Zygia_racemosa,Zygia racemosa (Ducke) Barneby & J.W.Grimes,(outgroup),not in BAMM,,JX870785.1,JX870900.1,,de Souza et al. 2013,,0,1
