hpd_name,cleaned_name,accepted_name,clade,sampling_fraction,,ITS (nuclear),trnL/trnL-F (plastid),,Reference,,campo_rupestre,non_campo_rupestre
Abarema_floribunda,Abarema_floribunda,Abarema floribunda (Spruce ex Benth.) Barneby & J.W.Grimes,(outgroup),not in BAMM,,JX870654.1,JX870786.1,,de Souza et al. 2013,,0,1
Abarema_piresii,Abarema_piresii,Abarema piresii Barneby & J.W.Grimes,(outgroup),not in BAMM,,JX870655.1,JX870787.1,,de Souza et al. 2013,,0,1
Acacia_spinescens,Acacia_spinescens,Acacia spinescens Benth.,(outgroup),not in BAMM,,AF360700.1,,,de Souza et al. 2013,,0,1
Afrocalliandra_gilbertii,Afrocalliandra_gilbertii,Afrocalliandra gilbertii ,Afrocalliandra,1,,JX870690.1,,,de Souza et al. 2013,,0,1
Afrocalliandra_redacta,Afrocalliandra_redacta,Afrocalliandra redacta ,Afrocalliandra,1,,JX870732.1,JX870853.1,,de Souza et al. 2013,,0,1
Albizia_polycephala,Albizia_polycephala,Albizia polycephala (Benth.) Killip ex Record,(outgroup),not in BAMM,,JX870656.1,JX870788.1,,de Souza et al. 2013,,1,1
Archidendron_hirsutum,Archidendron_hirsutum,Archidendron hirsutum I.C.Nielsen,(outgroup),not in BAMM,,,AF365042.1,,de Souza et al. 2013,,0,1
Balizia_pedicellaris,Balizia_pedicellaris,Albizia pedicellaris (DC.) L.Rico,(outgroup),not in BAMM,,JX870657.1,,,de Souza et al. 2013,,0,1
Blanchetiodendron_blanchetii,Blanchetiodendron_blanchetii,Blanchetiodendron blanchetii (Benth.) Barneby & J.W.Grimes,(outgroup),not in BAMM,,JX870658.1,JX870790.1,,de Souza et al. 2013,,1,1
Calliandra_aeschynomenoides,Calliandra_aeschynomenoides,Calliandra aeschynomenoides Benth.,Microcallis,1,,JX870659.1,,,de Souza et al. 2013,,0,1
Calliandra_angustifolia,Calliandra_angustifolia,Calliandra angustifolia Benth.,Androcallis,0.7,,JX870660.1,JX870792.1,,de Souza et al. 2013,,1,0
Calliandra_asplenioides,Calliandra_asplenioides,Calliandra asplenioides (Nees) Renvoize,Monticola,0.8,,JX870661.1,JX870793.1,,de Souza et al. 2013,,1,0
Calliandra_bahiana,Calliandra_bahiana,Calliandra bahiana Renvoize,Monticola,0.8,,JX870663.1,JX870794.1,,de Souza et al. 2013,,1,0
Calliandra_belizensis,Calliandra_belizensis,Calliandra belizensis (Standl.) Standl.,Androcallis,0.7,,JX870665.1,,,de Souza et al. 2013,,0,1
Calliandra_bella,Calliandra_bella,Calliandra bella Benth.,Androcallis,0.7,,JX870666.1,JX870797.1,,de Souza et al. 2013,,0,1
Calliandra_biflora,Calliandra_biflora,Calliandra biflora Tharp,Septentrionalis,0.8,,JX870667.1,JX870798.1,,de Souza et al. 2013,,1,0
Calliandra_blanchetii,Calliandra_blanchetii,Calliandra blanchetii Benth.,Androcallis,0.7,,JX870668.1,JX870799.1,,de Souza et al. 2013,,1,0
Calliandra_brenesii,Calliandra_brenesii,Calliandra brenesii Standl.,Androcallis,0.7,,JX870669.1,JX870800.1,,de Souza et al. 2013,,0,1
Calliandra_brevicaulis,Calliandra_brevicaulis,Calliandra brevicaulis Micheli,Androcallis,0.7,,JX870670.1,JX870801.1,,de Souza et al. 2013,,0,1
Calliandra_brevipes,Calliandra_brevipes,Calliandra brevipes Benth.,Androcallis,0.7,,JX870671.1,JX870802.1,,de Souza et al. 2013,,0,1
Calliandra_caeciliae,Calliandra_caeciliae,Calliandra caeciliae Harms,Androcallis,0.7,,JX870674.1,JX870803.1,,de Souza et al. 2013,,0,1
Calliandra_californica,Calliandra_californica,Calliandra californica Benth.,Septentrionalis,0.8,,JX870672.1,,,de Souza et al. 2013,,0,1
Calliandra_calycina,Calliandra_calycina,Calliandra calycina Benth.,Monticola,0.8,,JX870673.1,JX870804.1,,de Souza et al. 2013,,1,0
Calliandra_carbonaria,Calliandra_carbonaria,Calliandra trinervia var. carbonaria (Benth.) Barneby,Androcallis,0.7,,,AF278516.1,,de Souza et al. 2013,,0,1
Calliandra_chilensis,Calliandra_chilensis,Calliandra chilensis Benth.,Microcallis,1,,JX870675.1,,,de Souza et al. 2013,,0,1
Calliandra_coccinea,Calliandra_coccinea,Calliandra coccinea Renvoize,Monticola,0.8,,JX870676.1,JX870805.1,,de Souza et al. 2013,,1,0
Calliandra_coriacea,Calliandra_coriacea,Calliandra coriacea (Willd.) Benth.,Androcallis,0.7,,JX870677.1,JX870806.1,,de Souza et al. 2013,,0,1
Calliandra_crassipes,Calliandra_crassipes,Calliandra crassipes Benth.,Monticola,0.8,,JX870678.1,JX870807.1,,de Souza et al. 2013,,1,0
Calliandra_cruegeri,Calliandra_cruegeri,Calliandra cruegeri Griseb.,Androcallis,0.7,,JX870679.1,JX870808.1,,de Souza et al. 2013,,0,1
Calliandra_cumbucana,Calliandra_cumbucana,Calliandra cumbucana Renvoize,Monticola,0.8,,JX870680.1,JX870809.1,,de Souza et al. 2013,,1,0
Calliandra_debilis,Calliandra_debilis,Calliandra debilis Renvoize,Monticola,0.8,,JX870681.1,JX870810.1,,de Souza et al. 2013,,1,0
Calliandra_depauperata,Calliandra_depauperata,Calliandra depauperata Benth.,Microcallis,1,,JX870682.1,JX870811.1,,de Souza et al. 2013,,1,1
Calliandra_dolichopoda,Calliandra_dolichopoda,Calliandra dolichopoda H.M. Hern.,Septentrionalis,0.8,,JX870683.1,,,de Souza et al. 2013,,0,1
Calliandra_dysantha,Calliandra_dysantha,Calliandra dysantha Benth.,Androcallis,0.7,,JX870684.1,JX870813.1,,de Souza et al. 2013,,1,1
Calliandra_eriophylla,Calliandra_eriophylla,Calliandra parvifolia (Hook. & Arn.) Speg.,Septentrionalis,0.8,,JX870685.1,,,de Souza et al. 2013,,0,1
Calliandra_erubescens,Calliandra_erubescens,Calliandra erubescens Renvoize,Monticola,0.8,,JX870686.1,JX870812.1,,de Souza et al. 2013,,1,0
Calliandra_fasciculata,Calliandra_fasciculata,Calliandra fasciculata Benth.,Monticola,0.8,,JX870687.1,JX870814.1,,de Souza et al. 2013,,1,0
Calliandra_feioana,Calliandra_feioana,Calliandra feioana Renvoize,Monticola,0.8,,JX870688.1,,,de Souza et al. 2013,,1,0
Calliandra_gardneri,Calliandra_gardneri,Calliandra gardneri Benth.,clade1,1,,,JX870816.1,,de Souza et al. 2013,,1,0
