hpd_name,cleaned_name,accepted_name,,clade,sampling_fraction,,phyC,rpl32-trnl,rps16-trnk,trnD-trnY,trnK-matK,rps16,,Reference,,campo_rupestre,Non_campo_rupestre
Deuterocohnia_brevifolia,Deuterocohnia_brevifolia,Deuterocohnia brevifolia (Griseb.) M.A.Spencer & L.B.Sm.,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784038.1,KF784162.1,KF784286.1,KF784410.1,KF784658.1,KF784534.1,,Krapp et al. 2014,,0,1
Deuterocohnia_brevispicata,Deuterocohnia_brevispicata,Deuterocohnia brevispicata Rauh & L.Hrom.,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784035.1,KF784159.1,KF784283.1,KF784407.1,KF784655.1,KF784531.1,,Krapp et al. 2014,,0,1
Deuterocohnia_cf_haumanii,Deuterocohnia_haumanii,NA,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784039.1,KF784163.1,KF784287.1,KF784411.1,KF784659.1,KF784535.1,,Krapp et al. 2014,,0,1
Deuterocohnia_glandulosa,Deuterocohnia_glandulosa,Deuterocohnia glandulosa E.Gross,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784036.1,KF784160.1,KF784284.1,KF784408.1,KF784656.1,KF784532.1,,Krapp et al. 2014,,0,1
Deuterocohnia_meziana,Deuterocohnia_meziana,Deuterocohnia meziana Kuntze ex Mez,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784037.1,KF784161.1,KF784285.1,KF784409.1,KF784657.1,KF784533.1,,Krapp et al. 2014,,0,1
Dyckia_aff_brevifolia,Dyckia_sp8,NA,,(BAMM analysis not performed),(BAMM analysis not performed),,KF783993.1,KF784117.1,KF784241.1,KF784365.1,KF784613.1,KF784489.1,,Krapp et al. 2014,,1,0
Dyckia_aff_ibiramensis,Dyckia_sp9,NA,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784007.1,KF784131.1,KF784255.1,KF784379.1,KF784627.1,KF784503.1,,Krapp et al. 2014,,1,0
Dyckia_aff_leptostachyaFK0016,x,NA,,(BAMM analysis not performed),(BAMM analysis not performed),,KF783999.1,KF784123.1,KF784247.1,KF784371.1,KF784619.1,KF784495.1,,Krapp et al. 2014,,(double entry),(double entry)
Dyckia_aff_leptostachyaFK0035,x,NA,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784014.1,KF784138.1,KF784262.1,KF784386.1,KF784634.1,KF784510.1,,Krapp et al. 2014,,(double entry),(double entry)
Dyckia_aff_pumila,Dyckia_sp10,NA,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784000.1,KF784124.1,KF784248.1,KF784372.1,KF784620.1,KF784496.1,,Krapp et al. 2014,,0,1
Dyckia_aff_reitzii,Dyckia_reitzii,NA,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784025.1,KF784149.1,KF784273.1,KF784397.1,KF784645.1,KF784521.1,,Krapp et al. 2014,,0,1
Dyckia_aff_tuberosa,Dyckia_tuberosa,NA,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784104.1,KF784228.1,KF784352.1,KF784476.1,KF784724.1,KF784600.1,,Krapp et al. 2014,,0,1
Dyckia_aurea,Dyckia_aurea,Dyckia aurea L.B.Sm.,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784100.1,KF784224.1,KF784348.1,KF784472.1,KF784720.1,KF784596.1,,Krapp et al. 2014,,0,1
Dyckia_beateae_FK0044,x,Dyckia beateae E.Gross & Rauh,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784021.1,KF784145.1,KF784269.1,KF784393.1,KF784641.1,KF784517.1,,Krapp et al. 2014,,(double entry),(double entry)
Dyckia_beateae_FK0091,Dyckia_beateae,Dyckia beateae E.Gross & Rauh,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784055.1,KF784179.1,KF784303.1,KF784427.1,KF784675.1,KF784551.1,,Krapp et al. 2014,,0,1
Dyckia_brachyphylla,Dyckia_brachyphylla,Dyckia brachyphylla L.B.Sm.,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784022.1,KF784146.1,KF784270.1,KF784394.1,KF784642.1,KF784518.1,,Krapp et al. 2014,,1,0
Dyckia_braunii,Dyckia_braunii,Dyckia braunii Rauh,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784019.1,KF784143.1,KF784267.1,KF784391.1,KF784639.1,KF784515.1,,Krapp et al. 2014,,1,0
Dyckia_brevifolia,Dyckia_brevifolia,Dyckia brevifolia Baker,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784032.1,KF784156.1,KF784280.1,KF784404.1,KF784652.1,KF784528.1,,Krapp et al. 2014,,1,0
Dyckia_cf_leptostachya,x,NA,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784079.1,KF784203.1,KF784327.1,KF784451.1,KF784699.1,KF784575.1,,Krapp et al. 2014,,(double entry),(double entry)
Dyckia_cf_microcalyx,x,NA,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784026.1,KF784150.1,KF784274.1,KF784398.1,KF784646.1,KF784522.1,,Krapp et al. 2014,,(double entry),(double entry)
Dyckia_cf_velascana,x,NA,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784070.1,KF784194.1,KF784318.1,KF784442.1,KF784690.1,KF784566.1,,Krapp et al. 2014,,(double entry),(double entry)
Dyckia_choristaminea_FK0021,x,Dyckia choristaminea Mez,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784004.1,KF784128.1,KF784252.1,KF784376.1,KF784624.1,KF784500.1,,Krapp et al. 2014,,(double entry),(double entry)
Dyckia_choristaminea_FK0040,Dyckia_choristaminea,Dyckia choristaminea Mez,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784018.1,KF784142.1,KF784266.1,KF784390.1,KF784638.1,KF784514.1,,Krapp et al. 2014,,0,1
Dyckia_cinerea_FK0047,Dyckia_cinerea,Dyckia cinerea Mez,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784023.1,KF784147.1,KF784271.1,KF784395.1,KF784643.1,KF784519.1,,Krapp et al. 2014,,1,1
Dyckia_dawsonii_FK0043,Dyckia_dawsonii,Dyckia dawsonii L.B.Sm.,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784020.1,KF784144.1,KF784268.1,KF784392.1,KF784640.1,KF784516.1,,Krapp et al. 2014,,1,0
Dyckia_delicata_FK0184,Dyckia_delicata,Dyckia delicata Larocca & Sobral,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784093.1,KF784217.1,KF784341.1,KF784465.1,KF784713.1,KF784589.1,,Krapp et al. 2014,,0,1
Dyckia_densiflora_FK0213,Dyckia_densiflora,Dyckia densiflora Schult. & Schult.f.,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784107.1,KF784231.1,KF784355.1,KF784479.1,KF784727.1,KF784603.1,,Krapp et al. 2014,,1,0
Dyckia_dissitiflora_FK0141,Dyckia_dissitiflora,Dyckia dissitiflora Schult. & Schult.f.,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784091.1,KF784215.1,KF784339.1,KF784463.1,KF784711.1,KF784587.1,,Krapp et al. 2014,,1,1
Dyckia_distachya,Dyckia_distachya,Dyckia distachya Hassl.,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784090.1,KF784214.1,KF784338.1,KF784462.1,KF784710.1,KF784586.1,,Krapp et al. 2014,,0,1
Dyckia_elisabethae,Dyckia_elisabethae,Dyckia elisabethae S.Winkl.,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784109.1,KF784233.1,KF784357.1,KF784481.1,KF784729.1,KF784605.1,,Krapp et al. 2014,,0,1
Dyckia_encholirioides,Dyckia_encholirioides,Dyckia encholirioides (Gaudich.) Mez,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784059.1,KF784183.1,KF784307.1,KF784431.1,KF784679.1,KF784555.1,,Krapp et al. 2014,,0,1
Dyckia_espiritosantensis,Dyckia_espiritosantensis,Dyckia espiritosantensis Leme & A.P.Fontana,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784105.1,KF784229.1,KF784353.1,KF784477.1,KF784725.1,KF784601.1,,Krapp et al. 2014,,0,1
Dyckia_estevesii_FK0001,Dyckia_estevesii,Dyckia estevesii Rauh,,(BAMM analysis not performed),(BAMM analysis not performed),,KF783987.1,KF784111.1,KF784235.1,KF784359.1,KF784607.1,KF784483.1,,Krapp et al. 2014,,0,1
Dyckia_estevesii_FK0005,x,Dyckia estevesii Rauh,,(BAMM analysis not performed),(BAMM analysis not performed),,KF783989.1,KF784113.1,KF784237.1,KF784361.1,KF784609.1,KF784485.1,,Krapp et al. 2014,,(double entry),(double entry)
Dyckia_estevesii_FK0033,Dyckia_sp7,Dyckia estevesii Rauh,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784013.1,KF784137.1,KF784261.1,KF784385.1,KF784633.1,KF784509.1,,Krapp et al. 2014,,0,1
Dyckia_estevesii_var_braunii,Dyckia_estevesii_var_braunii,Dyckia estevesii Rauh,,(BAMM analysis not performed),(BAMM analysis not performed),,KF783988.1,KF784112.1,KF784236.1,KF784360.1,KF784608.1,KF784484.1,,Krapp et al. 2014,,0,1
Dyckia_ferox,Dyckia_sp6,Dyckia ferox Mez,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784003.1,KF784127.1,KF784251.1,KF784375.1,KF784623.1,KF784499.1,,Krapp et al. 2014,,0,1
Dyckia_ferox_FK0027,x,Dyckia ferox Mez,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784008.1,KF784132.1,KF784256.1,KF784380.1,KF784628.1,KF784504.1,,Krapp et al. 2014,,(double entry),(double entry)
Dyckia_ferox_FK0056,Dyckia_ferox,Dyckia ferox Mez,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784031.1,KF784155.1,KF784279.1,KF784403.1,KF784651.1,KF784527.1,,Krapp et al. 2014,,0,1
Dyckia_ferruginea,Dyckia_ferruginea,Dyckia ferruginea Mez,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784054.1,KF784178.1,KF784302.1,KF784426.1,KF784674.1,KF784550.1,,Krapp et al. 2014,,0,1
Dyckia_floribunda_FK0052,x,Dyckia floribunda Griseb.,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784027.1,KF784151.1,KF784275.1,KF784399.1,KF784647.1,KF784523.1,,Krapp et al. 2014,,(double entry),(double entry)
