hpd_name,cleaned_name,accepted_name,clade,sampling_fraction,,ITS (nuclear),rpoC1 (plastid),rps16 (plastid),trnG (plastid),psbA-trnH (plastid),trnk (plastid),,Reference,,campo_rupestre,non_campo_rupestre
Deluciris_rupestris,Deluciris_rupestris,NA,Deluciris,1,,JQ230343,MH177093,MH177169,JQ230513,JQ230456,JQ230400,,Lovo et al. 2018,,1,1
Deluciris_violacea,Deluciris_violacea,NA,Deluciris,1,,JQ230387,MH177139,,JQ230557,JQ230500,JQ230443.,,Lovo et al. 2018,,1,1
Neomarica_altivalis,Neomarica_altivalis,Neomarica altivallis (Ravenna) A. Gil,Neomarica,0.67,,MH212241,MH177081,MH177151,MH177024,MH184678,MH184726,,Lovo et al. 2018,,0,1
Neomarica_candida,Neomarica_candida,Neomarica candida (Hassl.) Sprague,Neomarica,0.67,,JX070196,MH177082,MH177152,JX070212,JX070204,JX070220,,Lovo et al. 2018,,0,1
Neomarica_decora,Neomarica_decora,Neomarica decora (Ravenna) A. Gil,Neomarica,0.67,,MH212243,MH177083,MH177154,MH177026,MH184680,MH184728,,Lovo et al. 2018,,0,1
Neomarica_decumbens,Neomarica_decumbens,Neomarica decumbens (Ravenna) A. Gil,Neomarica,0.67,,MH212244,MH177084,MH177155,MH177027,MH184681,MH184729,,Lovo et al. 2018,,0,1
Neomarica_eburnea,Neomarica_eburnea,Neomarica eburnea A. Gil & M.C.E.Amaral,Neomarica,0.67,,MH212245,MH177085,MH177156,MH177028,MH184682,MH184730,,Lovo et al. 2018,,0,1
Neomarica_floscella,Neomarica_floscella,Neomarica floscella A. Gil & M.C.E.Amaral,Neomarica,0.67,,MH212246,MH177086,MH177157,MH177029,MH184683,MH184731,,Lovo et al. 2018,,0,1
Neomarica_glauca,Neomarica_glauca,Neomarica glauca (Seub. ex Klatt) Sprague,Neomarica,0.67,,MH212247,,MH177158,MH177030,MH184684,MH184732,,Lovo et al. 2018,,1,1
Neomarica_gracilis,Neomarica_gracilis,Neomarica gracilis (Herb.) Sprague,Neomarica,0.67,,MH269703,MH177080,MH177150,MH349441,MH349442,MH349440,,Lovo et al. 2018,,0,1
Neomarica_humilis,Neomarica_humilis,Neomarica humilis (Klatt) Capell.,Neomarica,0.67,,JX070197,MH177087,MH177161,JX070213,JX070205,JX070221,,Lovo et al. 2018,,0,1
Neomarica_imbricata,Neomarica_imbricata,Neomarica imbricata (Hand.-Mazz.) Sprague,Neomarica,0.67,,MH212251,MH177088,MH177163,MH177035,MH184689,MH184737,,Lovo et al. 2018,,0,1
Neomarica_involuta,Neomarica_involuta,Neomarica involuta A.Gil & M.C.E.Amaral,Neomarica,0.67,,MH212252,MH177089,MH177164,MH177036,MH184690,MH184738,,Lovo et al. 2018,,0,1
Neomarica_itatiaica,Neomarica_itatiaica,Neomarica itatiaica (Ravenna) A. Gil,Neomarica,0.67,,MH212253,,MH177165,MH177037,MH184691,MH184739,,Lovo et al. 2018,,0,1
Neomarica_mauroi,Neomarica_mauroi,NA,Neomarica,0.67,,MH212254,MH177090,MH177166,MH177038,MH184692,MH184740,,Lovo et al. 2018,,0,1
Neomarica_northiana,Neomarica_northiana,Neomarica northiana (Schneev.) Sprague,Neomarica,0.67,,MH212255,MH177091,MH177167,MH177039,MH184693,MH184741,,Lovo et al. 2018,,0,1
Neomarica_rigida,Neomarica_rigida,Neomarica caerulea (Ker Gawl.) Sprague,Neomarica,0.67,,Q230341,MH177099,MH177178,JQ230511,JQ230454,JQ230397,,Lovo et al. 2018,,0,1
Neomarica_sabinei,Neomarica_sabinei,Neomarica sabinei (Lindl.) Chukr,Neomarica,0.67,,MH212257,MH177094,MH177170,MH177041,,MH184743,,Lovo et al. 2018,,0,1
Neomarica_santivicenti,Neomarica_santivicenti,NA,Neomarica,0.67,,MH212261,MH177097,MH177174,MH177045,MH184698,MH184746,,Lovo et al. 2018,,0,1
Neomarica_sp1,Neomarica_sp1,NA,Neomarica,0.67,,MH212265,,MH177175,MH177046,MH184702,MH184747,,Lovo et al. 2018,,0,1
Neomarica_sp2,Neomarica_sp2,NA,Neomarica,0.67,,MH212266,MH177098,MH177176,MH177047,MH184703,MH184748,,Lovo et al. 2018,,0,1
Neomarica_speciosa,Neomarica_speciosa,NA,Neomarica,0.67,,JQ230341,MH177099,MH177178,JQ230511,JQ230454,JQ230397,,Lovo et al. 2018,,0,1
Neomarica_unca,Neomarica_unca,Neomarica unca (Ravenna) A. Gil,Neomarica,0.67,,MH212264,MH177101,MH177181,MH177050,MH184701,,,Lovo et al. 2018,,0,1
Pseudiris_speciosa,Pseudiris_speciosa,Pseudiris speciosa Chukr & A.Gil,Pseudiris,1,,JQ230344,MH177102,MH177182,JQ230514,JQ230457,JQ230401,,Lovo et al. 2018,,1,0
Pseudotrimezia_aff_juncifolia,Pseudotrimezia_aff_juncifolia,NA,Pseudotrimezia,0.9,,MH212273,MH177120,MH177200,MH177057,MH184709,MH184756,,Lovo et al. 2018,,1,1
Pseudotrimezia_barretoi,Pseudotrimezia_barretoi,Pseudotrimezia barretoi R.C.Foster,Pseudotrimezia,0.9,,JQ230345,MH177103,MH177183,JQ230515,JQ230458,JQ230402,,Lovo et al. 2018,,1,0
Pseudotrimezia_cathartica,Pseudotrimezia_cathartica,Trimezia cathartica (Klatt) Niederl.,Pseudotrimezia,0.9,,JQ230372,MH177123,,JQ230541,JQ230485,JQ230428,,Lovo et al. 2018,,1,1
Pseudotrimezia_cipoana,Pseudotrimezia_cipoana,Pseudotrimezia cipoana Ravenna,Pseudotrimezia,0.9,,JQ230350,MH177105,MH177185,JQ230520,JQ230463,JQ230407,,Lovo et al. 2018,,1,0
Pseudotrimezia_diamantinensis,Pseudotrimezia_diamantinensis,Pseudotrimezia diamantinensis Ravenna,Pseudotrimezia,0.9,,JQ230352,MH177106,MH177186,JQ230522,JQ230465,JQ230409,,Lovo et al. 2018,,1,0
Pseudotrimezia_elegans,Pseudotrimezia_elegans,Pseudotrimezia elegans Ravenna,Pseudotrimezia,0.9,,JQ230354,MH177109,MH177189,JQ230524,JQ230467,JQ230411,,Lovo et al. 2018,,1,0
Pseudotrimezia_fistulosa,Pseudotrimezia_fistulosa,NA,Pseudotrimezia,0.9,,JQ230373,MH177125,MH177205,JQ230543,JQ230486,JQ230430,,Lovo et al. 2018,,1,0
Pseudotrimezia_fulva,Pseudotrimezia_fulva,Pseudotrimezia fulva Ravenna,Pseudotrimezia,0.9,,JQ230346,MH177110,MH177190,JQ230516,JQ230459,JQ230403,,Lovo et al. 2018,,1,0
Pseudotrimezia_gracilis,Pseudotrimezia_gracilis,Pseudotrimezia gracilis Chukr,Pseudotrimezia,0.9,,JQ230355,MH177111,MH177191,JQ230525,JQ230468,JQ230412,,Lovo et al. 2018,,1,0
Pseudotrimezia_juncifolia,Pseudotrimezia_juncifolia,NA,Pseudotrimezia,0.9,,MH212278,MH177130,MH177210,MH177062,MH184714,MH184761,,Lovo et al. 2018,,1,1
Pseudotrimezia_juncifolia_36,Pseudotrimezia_juncifolia_36,NA,Pseudotrimezia,0.9,,MH177127,MH177207,JQ230547,JQ230490,JQ230434,,,Lovo et al. 2018,,1,0
Pseudotrimezia_laevis,Pseudotrimezia_laevis,Pseudotrimezia laevis Ravenna,Pseudotrimezia,0.9,,JQ230357,MH177112,MH177192,JQ230527,JQ230470,JQ230414,,Lovo et al. 2018,,1,0
Pseudotrimezia_nana,Pseudotrimezia_nana,Pseudotrimezia nana Lovo & Mello-Silva,Pseudotrimezia,0.9,,MH212268,MH177113,MH177193,MH177052,MH184705,MH184751,,Lovo et al. 2018,,1,0
Pseudotrimezia_pauloi,Pseudotrimezia_pauloi,Pseudotrimezia pauloi Chukr,Pseudotrimezia,0.9,,JQ230358,MH177114,,JQ230528,JQ230471,JQ230415,,Lovo et al. 2018,,1,0
Pseudotrimezia_planifolia,Pseudotrimezia_planifolia,Pseudotrimezia planifolia Ravenna,Pseudotrimezia,0.9,,JQ230360,MH177115,MH177194,JQ230530,JQ230473,JQ230417,,Lovo et al. 2018,,1,0
Pseudotrimezia_plicatifolia,Pseudotrimezia_plicatifolia,NA,Pseudotrimezia,0.9,,JQ230382,MH177133,MH177213,JQ230552,JQ230495,JQ230438,,Lovo et al. 2018,,1,1
Pseudotrimezia_recurvata,Pseudotrimezia_recurvata,Pseudotrimezia recurvata Ravenna,Pseudotrimezia,0.9,,JQ230360,MH177116,,JQ230531,JQ230474,JQ230418,,Lovo et al. 2018,,1,0
Pseudotrimezia_sp1,Pseudotrimezia_sp1,NA,Pseudotrimezia,0.9,,MH212269,,MH177195,MH177053,MH184706,MH184752,,Lovo et al. 2018,,1,0
Pseudotrimezia_striata,Pseudotrimezia_striata,Pseudotrimezia striata Lovo & Mello-Silva,Pseudotrimezia,0.9,,MH212270,,MH177196,MH177054,MH184707,MH184753,,Lovo et al. 2018,,1,0
Pseudotrimezia_sublateralis,Pseudotrimezia_sublateralis,Pseudotrimezia sublateralis Ravenna,Pseudotrimezia,0.9,,JQ230363,MH177117,MH177197,JQ230533,JQ230476,JQ230420,,Lovo et al. 2018,,1,0
Pseudotrimezia_synandra,Pseudotrimezia_synandra,Pseudotrimezia synandra Ravenna,Pseudotrimezia,0.9,,MH212272,MH177119,MH177199,MH177056,MH184708,MH184755,,Lovo et al. 2018,,1,0
Pseudotrimezia_tenuissima,Pseudotrimezia_tenuissima,Pseudotrimezia tenuissima Ravenna,Pseudotrimezia,0.9,,JQ230368,,,JQ230538,JQ230481,JQ230425,,Lovo et al. 2018,,1,0
Pseudotrimezia_truncata,Pseudotrimezia_truncata,NA,Pseudotrimezia,0.9,,JQ230385,MH177136,MH177215,JQ230555,JQ230498,JQ230441,,Lovo et al. 2018,,1,1
Trimezia_aff_sincorana,Trimezia_aff_sincorana,NA,Trimezia,0.6,,MH212274,,MH177201,MH177058,MH184710,MH184757,,Lovo et al. 2018,,1,0
Trimezia_brevicaulis,Trimezia_brevicaulis,Trimezia brevicaulis Ravenna,Trimezia,0.6,,JQ230369,MH177121,MH177202,JQ230539,JQ230482,JQ230426,,Lovo et al. 2018,,1,0
Trimezia_campanula,Trimezia_campanula,Trimezia campanula Lovo & Mello-Silva,Trimezia,0.6,,JQ230370,MH177122,MH177203,JQ230540,JQ230483,JQ230427,,Lovo et al. 2018,,0,1
Trimezia_caulosa,Trimezia_caulosa,Trimezia caulosa Ravenna,Trimezia,0.6,,MH212275,MH177124,MH177204,MH177059,MH184711,MH184758,,Lovo et al. 2018,,0,1
Trimezia_galaxioides,Trimezia_galaxioides,Trimezia martinicensis (Jacq.) Herb.,Trimezia,0.6,,JQ230374,MH177126,MH177206,JQ230544,JQ230487,JQ230431,,Lovo et al. 2018,,1,1
Trimezia_lutea,Trimezia_lutea,Trimezia lutea (Klatt) Foster,Trimezia,0.6,,JQ230380,MH177131,MH177211,JQ230550,JQ230493,JQ230437,,Lovo et al. 2018,,1,1
Trimezia_martinicensis,Trimezia_martinicensis,Trimezia martinicensis (Jacq.) Herb.,Trimezia,0.6,,MH212279,MH177132,MH177212,MH177064,MH184716,MH184763,,Lovo et al. 2018,,1,1
Trimezia_sincorana,Trimezia_sincorana,Trimezia sincorana Ravenna,Trimezia,0.6,,MH212280,MH177134,MH177214,MH177065,MH184717,MH184764,,Lovo et al. 2018,,1,1
Trimezia_spathata,Trimezia_spathata,Trimezia spathata (Klatt) Baker,Trimezia,0.6,,JQ230384,,,JQ230554,JQ230497,JQ230440,,Lovo et al. 2018,,0,1
Trimezia_steyermarkii,Trimezia_steyermarkii,NA,Trimezia,0.6,,MH212281,MH177135,MH177214,MH177066,MH184718,MH184765,,Lovo et al. 2018,,0,1
Calydorea_campestris,x,Calydorea campestris (Klatt) Baker,(outgroup),(outgroup),,JQ230331,MH177072,MH177141,JQ230501,JQ230444,JQ230388,,Lovo et al. 2018,,(outgroup),(outgroup)
Cipura_paludosa,x,Cipura paludosa Aubl.,(outgroup),(outgroup),,JQ230332,MH177073,MH177142,JQ230502,JQ230445,JQ230389,,Lovo et al. 2018,,(outgroup),(outgroup)
Cypella_sp,x,NA,(outgroup),(outgroup),,MH212238,MH177074,MH177143,MH177021,MH184675,MH184723,,Lovo et al. 2018,,(outgroup),(outgroup)
Gelasine_coerulea,x,Gelasine coerulea (Vell.) Ravenna,(outgroup),(outgroup),,JQ230334,MH177075,MH177144,JQ230504,JQ230447,JQ230391,,Lovo et al. 2018,,(outgroup),(outgroup)
Gelasine_elongata,x,Gelasine elongata (Graham) Ravenna,(outgroup),(outgroup),,JQ230335,MH177076,MH177145,JQ230505,JQ230448,JQ230392,,Lovo et al. 2018,,(outgroup),(outgroup)
Herbertia_lahue,x,Herbertia lahue (Molina) Goldblatt,(outgroup),(outgroup),,JX070193,MH177077,MH177146,JX070209,JX070201,JX070217,,Lovo et al. 2018,,(outgroup),(outgroup)
Kelissa_sp,x,Kelissa brasiliensis,(outgroup),(outgroup),,JX070194,MH177078,MH177147,JX070210,JX070202,JX070218,,Lovo et al. 2018,,(outgroup),(outgroup)
Onira_unguiculata,x,Onira unguiculata (Baker) Ravenna,(outgroup),(outgroup),,MH212239,MH177079,MH177148,MH177022,MH184676,MH184724,,Lovo et al. 2018,,(outgroup),(outgroup)
