hpd_name,cleaned_name,accepted_name,clade,sampling_fraction,,ITS (nuclear),ETS (nuclear),,Reference,,campo_rupestre,non_campo_rupestre
Adenaria_floribunda,Adenaria_floribunda,Adenaria floribunda Kunth,(outgroup),(outgroup),,KF471185.1,KF471140.1,,Inglis & Cavalcanti 2018,,0,1
Capuronia_madagascariensis,Capuronia_madagascariensis,Capuronia madagascariensis Lourteig,(outgroup),(outgroup),,AY905420.1,KF471158.1,,Inglis & Cavalcanti 2018,,0,1
Cuphea_acicularis,Cuphea_acicularis,Cuphea acicularis Koehne,(outgroup),(outgroup),,KF471202.1,KF471154.1,,Inglis & Cavalcanti 2018,,1,0
Diplusodon_adpressipilus,Diplusodon_adpressipilus,Diplusodon adpressipilus Lourteig,(BAMM analysis not performed),NA*,,JN701268.1,JN701210.1,,Inglis & Cavalcanti 2018,,1,0
Diplusodon_aggregatifolius,Diplusodon_aggregatifolius,Diplusodon aggregatifolius T.B.Cavalc.,NA*,NA*,,JN701270.1,JN701212.1,,Inglis & Cavalcanti 2018,,1,0
Diplusodon_alatus,Diplusodon_alatus,Diplusodon alatus T.B.Cavalc.,NA*,NA*,,JN701298.1,JN701237.1,,Inglis & Cavalcanti 2018,,1,0
Diplusodon_appendiculosus,Diplusodon_appendiculosus,Diplusodon appendiculosus Lourteig,NA*,NA*,,JN701280.1,JN701222.1,,Inglis & Cavalcanti 2018,,1,0
Diplusodon_argenteus,Diplusodon_argenteus,Diplusodon argenteus Lourteig,NA*,NA*,,JN701284.1,JN701225.1,,Inglis & Cavalcanti 2018,,1,0
Diplusodon_argyrophyllus,Diplusodon_argyrophyllus,Diplusodon argyrophyllus T.B.Cavalc.,NA*,NA*,,KF471218.1,KF471172.1,,Inglis & Cavalcanti 2018,,1,0
Diplusodon_astictus,Diplusodon_astictus,Diplusodon astictus Lourteig,NA*,NA*,,JN701295.1,JN701234.1,,Inglis & Cavalcanti 2018,,1,0
Diplusodon_bahiensis,Diplusodon_bahiensis,Diplusodon bahiensis T.B. Cavalc.,NA*,NA*,,KY321374.1,KY321378.1,,Inglis & Cavalcanti 2018,,1,0
Diplusodon_bolivianus,Diplusodon_bolivianus,Diplusodon bolivianus T.B.Cavalc. & S.A.Graham,NA*,NA*,,KF471219.1,KF471173.1,,Inglis & Cavalcanti 2018,,1,0
Diplusodon_bradei,Diplusodon_bradei,Diplusodon bradei Pilg.,NA*,NA*,,JN701278.1,JN701220.1,,Inglis & Cavalcanti 2018,,1,0
Diplusodon_burchellii,Diplusodon_burchellii,Diplusodon burchellii Koehne,NA*,NA*,,JN701282.1,JN701223.1,,Inglis & Cavalcanti 2018,,1,0
Diplusodon_buxifolius,Diplusodon_buxifolius,Diplusodon buxifolius (Cham. & Schltdl.) A.DC.,NA*,NA*,,JN701269.1,JN701211.1,,Inglis & Cavalcanti 2018,,1,0
Diplusodon_candollei,Diplusodon_candollei,Diplusodon candollei Pohl ex DC.,NA*,NA*,,KF471206.1,KF471159.1,,Inglis & Cavalcanti 2018,,1,0
Diplusodon_capitalensis,Diplusodon_capitalensis,Diplusodon capitalensis T.B.Cavalc.,NA*,NA*,,JN701305.1,JN701240.1,,Inglis & Cavalcanti 2018,,1,0
Diplusodon_chapadensis,Diplusodon_chapadensis,Diplusodon chapadensis T.B.Cavalc.,NA*,NA*,,JN701311.1,JN701244.1,,Inglis & Cavalcanti 2018,,1,0
Diplusodon_ciliatiflorus,Diplusodon_ciliatiflorus,Diplusodon ciliatiflorus T.B.Cavalc.,NA*,NA*,,JN701291.1,JN701231.1,,Inglis & Cavalcanti 2018,,1,0
Diplusodon_cordifolius,Diplusodon_cordifolius,Diplusodon cordifolius Lourteig,NA*,NA*,,JN701283.1,JN701224.1,,Inglis & Cavalcanti 2018,,1,0
