,cr,nonCr,Single_trait
Mimosa_sinaloensis,0,1,0
Mimosa_robusta,0,1,0
Mimosa_rupertiana,0,1,0
Mimosa_nuttallii,0,1,0
Mimosa_quadrivalvis,0,1,0
Mimosa_antioquensis_isthmensis,0,1,0
Mimosa_vilersii,0,1,0
Mimosa_myriocephala,0,1,0
Mimosa_menabeensis,0,1,0
Mimosa_volubilis,0,1,0
Mimosa_grandidieri,0,1,0
Mimosa_onilahensis,0,1,0
Mimosa_delicatula,0,1,0
Mimosa_latispinosa,0,1,0
Mimosa_nossibiensis,0,1,0
Mimosa_levenensis,0,1,0
Mimosa_psoralea,0,1,0
Mimosa_himalayana,0,1,0
Mimosa_hamata,0,1,0
Mimosa_prainiana,0,1,0
Mimosa_mossambicensis,0,1,0
Mimosa_busseana,0,1,0
Mimosa_hafomantsina,0,1,0
Mimosa_waterlotii,0,1,0
Mimosa_acutistipula_acutistipula,0,1,0
Mimosa_farinosa,0,1,0
Mimosa_arenosa_leiocarpa,0,1,0
Mimosa_spirocarpa,0,1,0
Mimosa_distachya_oligacantha,0,1,0
Mimosa_polyantha,0,1,0
Mimosa_malacophylla,0,1,0
Mimosa_torresiae,0,1,0
Mimosa_ephedroides,0,1,0
Mimosa_detinens,0,1,0
Mimosa_quitensis,0,1,0
Mimosa_andina,0,1,0
Mimosa_hexandra,0,1,0
Mimosa_caduca,0,1,0
Mimosa_montana_montana,0,1,0
Mimosa_weberbaueri,0,1,0
Mimosa_jaenensis,0,1,0
Mimosa_montana_sandemanii,0,1,0
Mimosa_bahamensis,0,1,0
Mimosa_dichroa,0,1,0
Mimosa_guilandinae,0,1,0
Mimosa_rufescens,0,1,0
Mimosa_watsonii,0,1,0
Mimosa_colombiana,0,1,0
Mimosa_lepidophora,0,1,0
Mimosa_myriadenia,0,1,0
Mimosa_townsendii,0,1,0
Mimosa_nothacacia,0,1,0
Mimosa_revoluta,0,1,0
Mimosa_longepedunculata,1,0,2
