,cr,nonCr,Single_trait
Afrocalliandra_gilbertii,0,1,0
Afrocalliandra_redacta,0,1,0
Albizia_polycephala,0,1,0
Calliandra_aeschynomenoides,0,1,0
Calliandra_belizensis,0,1,0
Calliandra_bella,0,1,0
Calliandra_brenesii,0,1,0
Calliandra_brevicaulis,0,1,0
Calliandra_brevipes,0,1,0
Calliandra_caeciliae,0,1,0
Calliandra_californica,0,1,0
Calliandra_carbonaria,0,1,0
Calliandra_chilensis,0,1,0
Calliandra_coriacea,0,1,0
Calliandra_cruegeri,0,1,0
Calliandra_dolichopoda,0,1,0
Calliandra_eriophylla,0,1,0
Calliandra_gardneri,1,0,2
Calliandra_glomerulata,0,1,0
Calliandra_glyphoxylon,0,1,0
Calliandra_goldmanii,0,1,0
Calliandra_guildingii,0,1,0
Calliandra_haematocephala,0,1,0
Calliandra_haematomma,0,1,0
Calliandra_harrisii,0,1,0
Calliandra_hintonii,0,1,0
Calliandra_hirsuta,0,1,0
Calliandra_houstoniana,0,1,0
Calliandra_humilis,0,1,0
Calliandra_juzepczukii,0,1,0
Calliandra_laevis,0,1,0
Calliandra_laxa,0,1,0
Calliandra_leptopoda,0,1,0
Calliandra_longipes,1,0,2
Calliandra_magdalenae,0,1,0
Calliandra_molinae,0,1,0
Calliandra_mollissima,0,1,0
Calliandra_palmeri,0,1,0
Calliandra_pedicellata,0,1,0
Calliandra_peninsularis,0,1,0
Calliandra_physocalyx,0,1,0
Calliandra_pittieri,0,1,0
Calliandra_purdiei,0,1,0
Calliandra_purpurea,0,1,0
Calliandra_rhodocephala,0,1,0
Calliandra_riparia,0,1,0
Calliandra_rubescens,0,1,0
Calliandra_silvicola,1,0,2
Calliandra_spinosa,0,1,0
Calliandra_surinamensis,0,1,0
Calliandra_taxifolia,0,1,0
Calliandra_tehuantepecensis,0,1,0
Calliandra_tergemina,0,1,0
Calliandra_trinervia,0,1,0
Calliandra_tsugoides,0,1,0
Calliandra_tumbeziana,0,1,0
Calliandra_tweedii,0,1,0
Calliandra_ulei,0,1,0
Calliandra_umbellifera,0,1,0
Calliandra_vaupesiana,0,1,0
Calliandra_virgata,1,0,2
Calliandra_angustifolia,1,0,2
Calliandra_asplenioides,1,0,2
Calliandra_bahiana,1,0,2
Calliandra_biflora,1,0,2
Calliandra_blanchetii,1,0,2
Calliandra_calycina,1,0,2
Calliandra_coccinea,1,0,2
Calliandra_crassipes,1,0,2
Calliandra_cumbucana,1,0,2
Calliandra_debilis,1,0,2
Calliandra_erubescens,1,0,2
Calliandra_fasciculata,1,0,2
Calliandra_feioana,1,0,2
Calliandra_hirtiflora,1,0,2
Calliandra_hygrophila,1,0,2
Calliandra_iligna,1,0,2
Calliandra_lanata,1,0,2
Calliandra_lintea,1,0,2
Calliandra_longipinna,1,0,2
Calliandra_luetzelburgii,1,0,2
Calliandra_mucugeana,1,0,2
Calliandra_nebulosa,1,0,2
Calliandra_paganuccii,1,0,2
Calliandra_paterna,1,0,2
Calliandra_pilgerana,1,0,2
Calliandra_renvoizeana,1,0,2
Calliandra_semisepulta,1,0,2
Calliandra_sincorana,1,0,2
Calliandra_sp1,1,0,2
Calliandra_sp2,1,0,2
Calliandra_sp3,1,0,2
Calliandra_sp4,1,0,2
Calliandra_sp5,1,0,2
Calliandra_viscidula,1,0,2
Calliandra_depauperata,1,1,1
Calliandra_dysantha,1,1,1
Calliandra_macrocalyx,1,1,1
Calliandra_parviflora,1,1,1
Calliandra_sessilis,1,1,1
Abarema_floribunda,0,1,OUT
Abarema_piresii,0,1,OUT
Acacia_spinescens,0,1,OUT
Archidendron_hirsutum,0,1,OUT
Balizia_pedicellaris,0,1,OUT
Blanchetiodendron_blanchetii,0,1,OUT
Cedrelinga_cateniformis,0,1,OUT
Cojoba_arborea,0,1,OUT
Cojoba_catenata,0,1,OUT
Cojoba_undulatomarginata,0,1,OUT
Ebenopsis_ebano,0,1,OUT
Enterolobium_timbouva,0,1,OUT
Havardia_mexicana,0,1,OUT
Hydrochorea_corymbosa,0,1,OUT
Inga_edulis,0,1,OUT
Inga_thibaudiana,0,1,OUT
Leucochloron_limae,0,1,OUT
Macrosamanea_pubiramea,0,1,OUT
Pithecellobium_diversifolium,0,1,OUT
Pseudosamanea_guachapele,0,1,OUT
Samanea_saman,0,1,OUT
Sphinga_acatlensis,0,1,OUT
Thailentadopsis_nitida,0,1,OUT
Thailentadopsis_tenuis,0,1,OUT
Viguieranthus_ambongensis,0,1,OUT
Viguieranthus_densinervus,0,1,OUT
Viguieranthus_glaber,0,1,OUT
Viguieranthus_kony,0,1,OUT
Viguieranthus_megalophyllus,0,1,OUT
Viguieranthus_subauriculatus,0,1,OUT
Zapoteca_alinae,0,1,OUT
Zapoteca_filipes,0,1,OUT
Zapoteca_formosa,0,1,OUT
Zapoteca_lambertiana,0,1,OUT
Zapoteca_media,0,1,OUT
Zapoteca_sousae,0,1,OUT
Zapoteca_tetragona,0,1,OUT
Zygia_racemosa,0,1,OUT
