,cr,nonCr
Calyptranthes_barkeri,0,1
Calyptranthes_bipennis,0,1
Calyptranthes_brasiliensis,1,1
Calyptranthes_clusiifolia,1,1
Calyptranthes_concinna,0,1
Calyptranthes_eriocephala,0,1
Calyptranthes_fasciculata,0,1
Calyptranthes_garciae,0,1
Calyptranthes_grandifolia,0,1
Calyptranthes_hatschbachii,0,1
Calyptranthes_kiaerskovii,0,1
Calyptranthes_laevigata,0,1
Calyptranthes_lanceolata,0,1
Calyptranthes_lindeniana,0,1
Calyptranthes_longicalyptrata,0,1
Calyptranthes_lucida,0,1
Calyptranthes_multiflora,0,1
Calyptranthes_pallens,0,1
Calyptranthes_pulchella,1,1
Calyptranthes_restingae,0,1
Calyptranthes_sintenisii,0,1
Calyptranthes_speciosa,0,1
Calyptranthes_spruceana,0,1
Calyptranthes_thomasiana,0,1
Calyptranthes_widgreniana,1,1
Marlierea_aff_montana,0,1
Marlierea_aff_subacuminata,0,1
Marlierea_caudata,0,1
Marlierea_clausseniana,1,0
Marlierea_dimorpha,0,1
Marlierea_eugeniopsoides,0,1
Marlierea_excoriata,1,1
Marlierea_glabra,0,1
Marlierea_glazioviana,0,1
Marlierea_mcvaughii,0,1
Marlierea_neuwiedeana,0,1
Marlierea_obscura,1,1
Marlierea_obversa,0,1
Marlierea_regeliana,0,1
Marlierea_riedeliana,0,1
Marlierea_rubiginosa,1,0
Marlierea_sp_Harms_20,0,1
Marlierea_suaveolens,0,1
Marlierea_sucrei,0,1
Marlierea_teuscheriana,0,1
Marlierea_tomentosa,0,1
Marlierea_umbraticola,0,1
Mitranthes_claredonensis,0,1
Mitranthes_glabra,0,1
Myrcia_abbotiana,0,1
Myrcia_aff_amazonica,0,1
Myrcia_aff_bergiana,0,1
Myrcia_aff_crocea,0,1
Myrcia_aff_glazioviana,0,1
Myrcia_aff_hirtiflora,0,1
Myrcia_aff_lucida,0,1
Myrcia_aff_plusiantha,0,1
Myrcia_aff_pubescens,1,0
Myrcia_aff_racemosa,0,1
Myrcia_aff_servata,0,1
Myrcia_aff_subobliqua,0,1
Myrcia_aff_truncata,0,1
Myrcia_amazonica,1,1
Myrcia_amplex,0,1
Myrcia_anacardifolia,0,1
Myrcia_anceps,0,1
Myrcia_antonia,0,1
Myrcia_ascendens,1,0
Myrcia_aurea,0,1
Myrcia_barituensis,0,1
Myrcia_basicordata,0,1
Myrcia_bicarinata,0,1
Myrcia_bicolor,0,1
Myrcia_blanchetiana,1,0
Myrcia_bracteata,0,1
Myrcia_brasiliensis,0,1
Myrcia_calyptranthoides,1,1
Myrcia_carvalhoi,0,1
Myrcia_cerqueiria,0,1
Myrcia_clavija,0,1
Myrcia_cordiifolia,0,1
Myrcia_costeira,0,1
Myrcia_coumete,0,1
Myrcia_crocea,0,1
Myrcia_cuprea,0,1
Myrcia_decorticans,0,1
Myrcia_densa,1,1
Myrcia_elevata,0,1
Myrcia_eriocalyx,1,1
Myrcia_eriopus,1,1
Myrcia_espiritosantensis,0,1
Myrcia_eumecephylla,0,1
Myrcia_eximia,1,1
Myrcia_fenzliana,1,1
Myrcia_ferruginosa,0,1
Myrcia_flagellaris,0,1
Myrcia_folli,0,1
Myrcia_glazioviana,0,1
Myrcia_grandifolia,0,1
Myrcia_grandis,0,1
Myrcia_grazielae,0,1
Myrcia_guianensis,1,1
Myrcia_hartwegiana,1,1
Myrcia_hatschbachii,0,1
Myrcia_hebepetala,1,1
Myrcia_hexasticha,0,1
Myrcia_ilheosensis,1,1
Myrcia_inaequiloba,0,1
Myrcia_isaiana,0,1
Myrcia_laruotteana,1,1
Myrcia_laxiflora,0,1
Myrcia_lenheirensis,1,1
Myrcia_lughadhai,1,0
Myrcia_macrocalyx,1,0
Myrcia_magnifolia,0,1
Myrcia_marianae,0,1
Myrcia_maricaensis,0,1
Myrcia_maximiliana,0,1
Myrcia_megaphylla,1,0
Myrcia_micropetala,0,1
Myrcia_microphylla,0,1
Myrcia_minutiflora,0,1
Myrcia_mischophylla,1,0
Myrcia_montana,1,1
Myrcia_mucugensis,1,0
Myrcia_multiflora,1,1
Myrcia_multipunctata,1,0
Myrcia_mutabilis,1,1
Myrcia_nitida,1,0
Myrcia_nivea,1,0
Myrcia_oblongata,0,1
Myrcia_palustris,0,1
Myrcia_paracatuensis,1,0
Myrcia_pendulla,0,1
Myrcia_pinifolia,1,0
Myrcia_platyclada,0,1
Myrcia_polyantha,0,1
Myrcia_pseudomarlierea,0,1
Myrcia_pubescens,1,1
Myrcia_pubipetala,0,1
Myrcia_pulchra,0,1
Myrcia_pulvinata,0,1
Myrcia_racemosa,0,1
Myrcia_reticulata,1,1
Myrcia_reticulosa,1,0
Myrcia_riodocensis,0,1
Myrcia_robusta,0,1
Myrcia_rorida,1,1
Myrcia_rosangelae,0,1
Myrcia_rotundata,0,1
Myrcia_rubella,1,0
Myrcia_rufipes,1,1
Myrcia_rupestris,1,0
Myrcia_rupta,0,1
Myrcia_ruschii,0,1
Myrcia_saxatilis,0,1
Myrcia_selloi,0,1
Myrcia_serrana,0,1
Myrcia_sessilissima,1,0
Myrcia_sp,0,1
Myrcia_sp1_T,0,1
Myrcia_sp11,0,1
Myrcia_sp12,0,1
Myrcia_sp13,0,1
Myrcia_sp2,0,1
Myrcia_sp2_T,1,0
Myrcia_sp3,0,1
Myrcia_sp4,0,1
Myrcia_sp5,0,1
Myrcia_sp6,0,1
Myrcia_sp7,0,1
Myrcia_sp8,0,1
Myrcia_spatulifolia,0,1
Myrcia_spectabilis,0,1
Myrcia_splendens,1,1
Myrcia_springiana,0,1
Myrcia_squamata,0,1
Myrcia_stricta,1,0
Myrcia_subavenia,1,0
Myrcia_subcordata,1,1
Myrcia_subsericea,0,1
Myrcia_subterminalis,0,1
Myrcia_subverticilaris,1,0
Myrcia_suffruticosa,0,1
Myrcia_tenuifolia,1,1
Myrcia_tenuivenosa,0,1
Myrcia_tetraphylla,0,1
Myrcia_thyrsoidea,0,1
Myrcia_tijucensis,0,1
Myrcia_tomentosa,1,1
Myrcia_torta,1,1
Myrcia_variabilis,1,1
Myrcia_venulosa,1,1
Myrcia_vestita,1,1
Myrcia_vittoriana,0,1
