,cr,nonCr
Cassia_grandis,0,1
Cassia_javanica,0,1
Chamaecrista_absus,0,1
Chamaecrista_altoana,1,0
Chamaecrista_amorimii,0,1
Chamaecrista_anamariae,1,0
Chamaecrista_anceps,1,0
Chamaecrista_aristata,1,0
Chamaecrista_azulana,0,1
Chamaecrista_belemii,1,1
Chamaecrista_belladonna,1,0
Chamaecrista_benthamiana,1,0
Chamaecrista_blanchetii,1,1
Chamaecrista_botryoides,1,0
Chamaecrista_brachyblepharis,1,0
Chamaecrista_brachyrachis,1,0
Chamaecrista_brachystachya,1,1
Chamaecrista_brevicalyx,1,1
Chamaecrista_burchellii,1,0
Chamaecrista_calycioides,0,1
Chamaecrista_campestris,0,1
Chamaecrista_campicola,1,1
Chamaecrista_cardiostegia,1,1
Chamaecrista_caribaea,0,1
Chamaecrista_cathartica,1,1
Chamaecrista_choriophylla,1,0
Chamaecrista_ciliolata_var_ciliolata,1,1
Chamaecrista_ciliolata_var_pulchella,1,0
Chamaecrista_cinerascens,1,0
Chamaecrista_cipoana,1,0
Chamaecrista_claussenii_var_claussenii,1,1
Chamaecrista_confertiformis,1,0
Chamaecrista_coradinii,0,1
Chamaecrista_coriacea,1,0
Chamaecrista_cytisoides,1,1
Chamaecrista_dalbergiifolia,1,1
Chamaecrista_dawsonii,1,0
Chamaecrista_decora,1,0
Chamaecrista_decumbens,1,0
Chamaecrista_densifolia,1,1
Chamaecrista_depauperata,1,0
Chamaecrista_desvauxii_var_devauxii,1,1
Chamaecrista_desvauxii_var_langsdorfii,1,1
Chamaecrista_desvauxii_var_latispula,1,1
Chamaecrista_desvauxii_var_mollissima,1,1
Chamaecrista_diphylla,1,1
Chamaecrista_distichoclada,1,0
Chamaecrista_elata,1,0
Chamaecrista_fagonioides,1,1
Chamaecrista_feliciana,1,0
Chamaecrista_filicifolia,1,1
Chamaecrista_flexuosa,1,1
Chamaecrista_floribunda,1,0
Chamaecrista_glaucofilix,1,0
Chamaecrista_gymnothyrsa,1,0
Chamaecrista_hispidula,0,1
Chamaecrista_irwiniana,1,0
Chamaecrista_isidorea,1,1
Chamaecrista_jacobinea,1,0
Chamaecrista_lagotois,1,0
Chamaecrista_latifolia,1,0
Chamaecrista_lineata,0,1
Chamaecrista_macedoi,1,0
Chamaecrista_mollicaulis,1,0
Chamaecrista_mucronata,1,1
Chamaecrista_multipennis,1,0
Chamaecrista_multiseta,1,1
Chamaecrista_nanodes,1,0
Chamaecrista_neesiana,1,1
Chamaecrista_nictitans_subsp_brachypoda,0,1
Chamaecrista_nictitans_var_disadena,0,1
Chamaecrista_nictitans_var_ramosa,0,1
Chamaecrista_nummulariifolia,1,0
Chamaecrista_obolaria,1,0
Chamaecrista_olesiphylla,1,0
Chamaecrista_onusta,0,1
Chamaecrista_pachyclada,1,0
Chamaecrista_papillata,1,1
Chamaecrista_pascuorum,1,1
Chamaecrista_philippi,1,0
Chamaecrista_pilosa,1,1
Chamaecrista_planaltoana,1,0
Chamaecrista_polita,1,0
Chamaecrista_potentilla,1,0
Chamaecrista_repens,1,1
Chamaecrista_roraimae,1,1
Chamaecrista_rossicorum,1,0
Chamaecrista_rotundata_var_grandistipula,1,0
Chamaecrista_rotundata_var_interstes,1,0
Chamaecrista_rotundata_var_rotundata,1,0
Chamaecrista_rotundifolia_var_grandiflora,1,1
Chamaecrista_rupestrium,1,0
Chamaecrista_scabra,1,0
Chamaecrista_setosa,1,1
Chamaecrista_setosa_var_detonsa,0,1
Chamaecrista_simplifacta,1,0
Chamaecrista_sincorana,1,0
Chamaecrista_sparsifolia,1,0
Chamaecrista_speciosa,1,0
Chamaecrista_strictula,1,0
Chamaecrista_supplex,0,1
Chamaecrista_swainsonii,1,1
Chamaecrista_tenuicaulis,1,0
Chamaecrista_tragacanthoides_var_rasa,1,0
Chamaecrista_tragacanthoides_var_tragacanthoides,1,0
Chamaecrista_ulmea,1,0
Chamaecrista_unijuga,0,1
Chamaecrista_urophyllidia,1,1
Chamaecrista_venulosa,1,0
Chamaecrista_viscosa_var_paraguayensis,0,1
Senna_cana,1,1
Senna_corifolia_var_caesia,1,0
Senna_corifolia_var_corifolia,1,0
Senna_gardneri,0,1
Senna_pendula,0,1
Senna_rugosa,1,1
