,cr,nonCr,Single_trait
Dyckia_brachyphylla,1,0,2
Dyckia_braunii,1,0,2
Dyckia_brevifolia,1,0,2
Dyckia_dawsonii,1,0,2
Dyckia_densiflora,1,0,2
Dyckia_goehringii,1,0,2
Dyckia_grandidentata,1,0,2
Dyckia_granmogulensis,1,0,2
Dyckia_lindevaldae,1,0,2
Dyckia_lunaris,1,0,2
Dyckia_macedoi,1,0,2
Dyckia_machrisiana,1,0,2
Dyckia_maracasensis,1,0,2
Dyckia_marnier_lapostollei_var_estevesii,1,0,2
Dyckia_marnier_lapostollei_var_marnier_lapostollei,1,0,2
Dyckia_milagrensis,1,0,2
Dyckia_mirandana,1,0,2
Dyckia_nana,1,0,2
Dyckia_oligantha_var_oligantha,1,0,2
Dyckia_pumila,1,0,2
Dyckia_rariflora,1,0,2
Dyckia_sp3,1,0,2
Dyckia_sp8,1,0,2
Dyckia_sp9,1,0,2
Dyckia_ursina,1,0,2
Encholirium_magalhaesii,1,0,2
Encholirium_maximum,1,0,2
Encholirium_sp1,1,0,2
Deuterocohnia_brevifolia,0,1,0
Deuterocohnia_brevispicata,0,1,0
Deuterocohnia_glandulosa,0,1,0
Deuterocohnia_haumanii,0,1,0
Deuterocohnia_meziana,0,1,0
Dyckia_aurea,0,1,0
Dyckia_beateae,0,1,0
Dyckia_choristaminea,0,1,0
Dyckia_delicata,0,1,0
Dyckia_distachya,0,1,0
Dyckia_elisabethae,0,1,0
Dyckia_encholirioides,0,1,0
Dyckia_espiritosantensis,0,1,0
Dyckia_estevesii,0,1,0
Dyckia_estevesii_var_braunii,0,1,0
Dyckia_ferox,0,1,0
Dyckia_ferruginea,0,1,0
Dyckia_floribunda,0,1,0
Dyckia_fosteriana,0,1,0
Dyckia_hebdingii,0,1,0
Dyckia_jonesiana,0,1,0
Dyckia_leptostachya,0,1,0
Dyckia_maritima,0,1,0
Dyckia_microcalyx,0,1,0
Dyckia_monticola,0,1,0
Dyckia_niederleinii,0,1,0
Dyckia_paraensis,0,1,0
Dyckia_pernambucana,0,1,0
Dyckia_platyphylla,0,1,0
Dyckia_pulquinensis,0,1,0
Dyckia_reitzii,0,1,0
Dyckia_remotiflora,0,1,0
Dyckia_rojasii,0,1,0
Dyckia_sp1,0,1,0
Dyckia_sp10,0,1,0
Dyckia_sp2,0,1,0
Dyckia_sp4,0,1,0
Dyckia_sp5,0,1,0
Dyckia_sp6,0,1,0
Dyckia_sp7,0,1,0
Dyckia_tobatiensis,0,1,0
Dyckia_tomentella,0,1,0
Dyckia_tuberosa,0,1,0
Dyckia_velascana,0,1,0
Dyckia_vestita,0,1,0
Encholirium_erectiflorum,0,1,0
Encholirium_horridum,0,1,0
Encholirium_sp6,0,1,0
Dyckia_cinerea,1,1,1
Dyckia_dissitiflora,1,1,1
Dyckia_pectinata,1,1,1
Dyckia_secunda,1,1,1
Encholirium_sp2,0,1,OUT
Encholirium_sp3,0,1,OUT
Encholirium_sp4,0,1,OUT
Encholirium_sp5,0,1,OUT
Fosterella_albicans,0,1,OUT
Fosterella_penduliflora,0,1,OUT
Fosterella_spectabilis,0,1,OUT
Fosterella_villosula,0,1,OUT
Fosterella_weddelliana,0,1,OUT
Pitcairnia_feliciana,0,1,OUT
Pitcairnia_fuertesii,0,1,OUT
Pitcairnia_heterophylla,0,1,OUT
Pitcairnia_piepenbringii,0,1,OUT
Pitcairnia_pungens,0,1,OUT
Puya_ferruginea,0,1,OUT
Puya_herzogii,0,1,OUT
