,cr,nonCr,Single_trait
Lychnophora_sp3,1,0,2
Eremanthus_brevifolius,1,0,2
Eremanthus_polycephalus,1,0,2
Eremanthus_veadeiroensis,1,0,2
Eremanthus_argenteus,1,0,2
Eremanthus_elaeagnus,1,0,2
Eremanthus_auriculatus,1,0,2
Lychnophoriopsis_hatschbachii,1,0,2
Lychnophoriopsis_candelabrum,1,0,2
Lychnophora_villosissima,1,0,2
Lychnophora_gardneri,1,0,2
Lychnophora_ericoides,1,0,2
Lychnophora_diamantinana,1,0,2
Lychnophora_ramosissima,1,0,2
Lychnophora_granmogolensis,1,0,2
Lychnophora_crispa,1,0,2
Lychnophora_passerina,1,0,2
Lychnophora_salicifolia,1,0,2
Piptolepis_oleaster,1,0,2
Piptolepis_sp1,1,0,2
Piptolepis_monticola,1,0,2
Piptolepis_schultziana,1,0,2
Piptolepis_ericoides,1,0,2
Lychnophora_regis,1,0,2
Lychnophora_triflora,1,0,2
Eremanthus_leucodendron,1,0,2
Lychnophora_bishopii,1,0,2
Lychnophora_santosii,1,0,2
Lychnophora_sp1,1,0,2
Lychnophora_sellowii,1,0,2
Lychnophora_mello_barretoi,1,0,2
Lychnophora_humillima,1,0,2
Lychnophora_tomentosa,1,0,2
Pretelia_sp1,1,0,2
Prestelia_eriopus,1,0,2
Lychnophoriopsis_damazioi,1,0,2
Paralychnophora_atkinsiae,1,0,2
Paralychnophora_harleyi,1,0,2
Paralychnophora_bicolor,1,0,2
Paralychnophora_patriciana,1,0,2
Paralychnophora_glaziouana,1,0,2
Lychnophora_markgravii,1,0,2
Heterocoma_ekmaniana,1,0,2
Heterocoma_lanuginosa,1,0,2
Heterocoma_robinsoniana,1,0,2
Heterocoma_gracilis,1,0,2
Heterocoma_erecta,1,0,2
Heterocoma_albida,1,0,2
Minasia_ramosa,1,0,2
Minasia_cabralensis,1,0,2
Minasia_scapigera,1,0,2
Minasia_sp1,1,0,2
Minasia_alpestris,1,0,2
Anteremanthus_hatschbachii,1,0,2
Lychnophora_sp2,1,0,2
Proteopsis_sp1,1,0,2
Proteopsis_argentea,1,0,2
Chronopappus_bifrons,1,0,2
Eremanthus_arboreus,0,1,0
Eremanthus_cinctus,0,1,0
Chresta_pacourinoides,0,1,0
Eremanthus_capitatus,1,1,1
Eremanthus_erythropappus,1,1,1
Eremanthus_uniflorus,1,1,1
Lychnophora_syncephala,1,1,1
Eremanthus_glomerulatus,1,1,1
Eremanthus_incanus,1,1,1
Eremanthus_mollis,1,1,1
Eremanthus_goyazensis,1,1,1
Eremanthus_mattogrossensis,1,1,1
Lychnophora_pinaster,1,1,1
Eremanthus_pabstii,1,1,1
Hololepis_pedunculata,1,1,1
Eremanthus_crotonoides,1,1,1
Paralychnophora_reflexoauriculata,1,1,1
Blanchetia_heterotricha,1,1,1
Gorceixia_decumens,1,1,1
Albertinia_brasiliensis,1,1,1
Piptocarpha_oblonga,1,1,1
